path,classification,planned_action,reason,starting_commit
.gitignore,KEEP_TRACKED_ACTIVE,retain,Active project or compact derived artifact; no safe replacement was proven.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
CSG_NI_整体算法设计总结.md,KEEP_TRACKED_ACTIVE,retain,Active project or compact derived artifact; no safe replacement was proven.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
README.md,KEEP_TRACKED_ACTIVE,retain,Active project or compact derived artifact; no safe replacement was proven.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
codex_algorithm_execution_spec.md,KEEP_TRACKED_ACTIVE,retain,Active project or compact derived artifact; no safe replacement was proven.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/advanced_baseline_handoff.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/advanced_baseline_v2_preliminary.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/dabc_source_fidelity.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/lghga_source_fidelity.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/lghga_v2_revision.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase2_final_validation_report.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase2a_canonical_benchmark_report.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase2b_tiny_validation_report.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
