AGV,工序,出发位置,目标机器,返回位置,开始运输,到达机器,返回仓库
AGV1,o11_1,Warehouse,M4,Warehouse,0,11,22
AGV1,o8_1,Warehouse,M8,Warehouse,22,25,28
AGV1,o14_1,Warehouse,M2,Warehouse,28,35,42
AGV1,o5_1,Warehouse,M6,Warehouse,42,47,52
AGV1,o11_2,Warehouse,M5,Warehouse,52,61,70
AGV1,o1_12,Warehouse,M6,Warehouse,70,75,80
AGV1,o20_1,Warehouse,M3,Warehouse,80,86,92
AGV1,o8_2,Warehouse,M6,Warehouse,92,97,102
AGV1,o16_1,Warehouse,M6,Warehouse,102,107,112
AGV1,o20_2,Warehouse,M9,Warehouse,112,118,124
AGV1,o17_1,Warehouse,M6,Warehouse,124,129,134
AGV1,o13_1,Warehouse,M2,Warehouse,134,141,148
AGV1,o3_1,Warehouse,M1,Warehouse,148,157,166
AGV1,o20_3,Warehouse,M3,Warehouse,166,172,178
AGV1,o7_2,Warehouse,M6,Warehouse,178,183,188
AGV1,o9_1,Warehouse,M6,Warehouse,188,193,198
AGV1,o13_2,Warehouse,M2,Warehouse,198,205,212
AGV1,o2_2,Warehouse,M8,Warehouse,212,215,218
AGV1,o15_1,Warehouse,M3,Warehouse,218,224,230
AGV1,o14_3,Warehouse,M7,Warehouse,230,241,252
AGV1,o2_3,Warehouse,M2,Warehouse,252,259,266
AGV1,o1_3,Warehouse,M2,Warehouse,266,273,280
AGV1,o15_2,Warehouse,M5,Warehouse,280,289,298
AGV1,o7_3,Warehouse,M2,Warehouse,298,305,312
AGV1,o12_1,Warehouse,M6,Warehouse,312,317,322
AGV1,o13_3,Warehouse,M9,Warehouse,322,328,334
AGV1,o14_4,Warehouse,M6,Warehouse,334,339,344
AGV1,o17_5,Warehouse,M6,Warehouse,344,349,354
AGV1,o6_2,Warehouse,M1,Warehouse,354,363,372
AGV1,o2_5,Warehouse,M7,Warehouse,372,383,394
AGV1,o16_4,Warehouse,M9,Warehouse,394,400,406
AGV1,o3_2,Warehouse,M2,Warehouse,406,413,420
AGV1,o19_3,Warehouse,M8,Warehouse,420,423,426
AGV1,o10_5,Warehouse,M3,Warehouse,426,432,438
AGV1,o15_4,Warehouse,M6,Warehouse,438,443,448
AGV1,o16_5,Warehouse,M2,Warehouse,448,455,462
AGV1,o4_1,Warehouse,M5,Warehouse,462,471,480
AGV1,o6_3,Warehouse,M8,Warehouse,480,483,486
AGV1,o3_4,Warehouse,M6,Warehouse,486,491,496
AGV1,o2_6,Warehouse,M5,Warehouse,496,505,514
AGV1,o5_4,Warehouse,M6,Warehouse,514,519,524
AGV1,o11_5,Warehouse,M5,Warehouse,524,533,542
AGV1,o6_4,Warehouse,M9,Warehouse,542,548,554
AGV1,o19_5,Warehouse,M3,Warehouse,554,560,566
AGV1,o8_7,Warehouse,M3,Warehouse,566,572,578
AGV1,o11_6,Warehouse,M2,Warehouse,578,585,592
AGV1,o18_2,Warehouse,M6,Warehouse,592,597,602
AGV1,o4_2,Warehouse,M9,Warehouse,602,608,614
AGV1,o1_5,Warehouse,M1,Warehouse,614,623,632
AGV1,o11_7,Warehouse,M8,Warehouse,632,635,638
AGV1,o15_6,Warehouse,M1,Warehouse,638,647,656
AGV1,o20_4,Warehouse,M2,Warehouse,656,663,670
AGV1,o16_6,Warehouse,M3,Warehouse,670,676,682
AGV1,o4_3,Warehouse,M5,Warehouse,682,691,700
AGV1,o5_6,Warehouse,M1,Warehouse,700,709,718
AGV1,o10_9,Warehouse,M6,Warehouse,718,723,728
AGV1,o8_8,Warehouse,M2,Warehouse,728,735,742
AGV1,o4_4,Warehouse,M2,Warehouse,742,749,756
AGV1,o5_7,Warehouse,M3,Warehouse,756,762,768
AGV1,o7_7,Warehouse,M2,Warehouse,768,775,782
AGV1,o7_8,Warehouse,M8,Warehouse,782,785,788
AGV1,o19_7,Warehouse,M3,Warehouse,788,794,800
AGV1,o17_7,Warehouse,M8,Warehouse,800,803,806
AGV1,o5_8,Warehouse,M2,Warehouse,806,813,820
AGV1,o12_3,Warehouse,M10,Warehouse,820,831,842
AGV1,o14_9,Warehouse,M8,Warehouse,842,845,848
