AGV,工序,出发位置,取件位置,目标机器,开始运输,到达取件点,离开取件点,到达机器,完成配送
AGV1,o4_11,Warehouse,Warehouse,M3,0,0,0,5,5
AGV1,o4_4,M3,M3,M2,5,5,58,68,68
AGV1,o3_3,M2,Warehouse,M1,68,74,74,82,82
AGV1,o6_10,M1,Warehouse,M3,82,90,90,95,95
AGV1,o10_3,M3,Warehouse,M9,95,100,100,105,105
AGV1,o15_7,M9,M8,M2,105,112,139,147,147
AGV1,o1_1,M2,M5,M2,147,151,151,155,155
AGV1,o8_1,M2,M5,M9,155,159,210,219,219
AGV1,o9_2,M9,M4,M2,219,232,232,242,242
AGV1,o13_7,M2,M4,M2,242,252,252,262,262
AGV1,o3_5,M2,M1,M6,262,269,269,279,279
AGV1,o6_1,M6,M3,M2,279,287,287,297,297
AGV1,o7_2,M2,M10,M6,297,306,308,320,320
AGV1,o8_7,M6,M9,M5,320,322,322,331,331
AGV1,o3_1,M5,M6,M1,331,339,366,376,376
AGV1,o3_2,M1,M1,M2,376,376,461,468,468
AGV1,o18_1,M2,Warehouse,M6,468,474,474,478,478
AGV1,o18_9,M6,M6,M9,478,478,496,498,498
AGV1,o6_5,M9,M2,M2,498,504,504,504,504
AGV1,o20_7,M2,M5,M2,504,508,508,512,512
AGV1,o11_4,M2,M3,M9,512,522,522,530,530
AGV1,o14_9,M9,M7,M2,530,537,537,541,541
AGV1,o9_3,M2,M2,M8,541,541,541,549,549
AGV1,o9_8,M8,M8,M3,549,549,559,561,561
AGV1,o19_1,M3,M5,M9,561,573,573,582,582
AGV1,o12_1,M9,M2,M6,582,588,628,632,632
AGV1,o5_6,M6,M2,M7,632,636,636,640,640
AGV1,o12_8,M7,M6,M2,640,646,646,650,650
AGV1,o17_1,M2,M6,M7,650,654,654,660,660
AGV1,o20_1,M7,M2,M3,660,664,664,674,674
AGV1,o9_7,M3,M2,M6,674,684,711,715,715
AGV1,o20_2,M6,M7,M9,715,721,738,745,745
AGV1,o15_4,M9,M5,M4,745,754,785,793,793
AGV1,o7_11,M4,M9,M4,793,806,806,819,819
AGV1,o6_2,M4,M7,M1,819,833,833,843,843
AGV1,o15_3,M1,M4,M1,843,847,847,851,851
AGV1,o4_1,M1,M10,M4,851,853,853,855,855
AGV1,o5_2,M4,M7,M9,855,869,905,912,912
AGV1,o5_8,M9,M5,M2,912,921,987,991,991
AGV1,o10_12,M2,M7,M8,991,995,995,1007,1007
AGV1,o9_6,M8,M6,M2,1007,1014,1014,1018,1018
AGV1,o16_4,M2,M5,M4,1018,1022,1022,1030,1030
AGV1,o4_6,M4,M4,M6,1030,1030,1030,1042,1042
AGV1,o3_7,M6,M3,M2,1042,1050,1050,1060,1060
AGV1,o16_5,M2,M4,M2,1060,1070,1070,1080,1080
AGV1,o2_4,M2,M3,M1,1080,1090,1090,1101,1101
AGV1,o7_14,M1,M4,M7,1101,1105,1105,1119,1119
AGV1,o8_4,M7,M3,M2,1119,1132,1132,1142,1142
AGV1,o18_2,M2,M6,M1,1142,1146,1146,1156,1156
AGV1,o15_5,M1,M1,M8,1156,1156,1156,1164,1164
AGV1,o5_11,M8,M5,M6,1164,1173,1173,1181,1181
AGV1,o14_4,M6,M8,M6,1181,1188,1188,1195,1195
AGV1,o4_9,M6,M10,M9,1195,1207,1284,1297,1297
AGV1,o13_5,M9,M3,M1,1297,1305,1305,1316,1316
AGV1,o13_11,M1,M1,M8,1316,1316,1331,1339,1339
AGV1,o11_5,M8,M7,M5,1339,1351,1351,1358,1358
AGV1,o9_4,M5,M2,M10,1358,1362,1362,1371,1371
AGV1,o2_10,M10,M3,M9,1371,1382,1382,1390,1390
AGV1,o16_7,M9,M2,M8,1390,1396,1396,1404,1404
AGV1,o12_4,M8,M8,M9,1404,1404,1404,1411,1411
AGV1,o1_9,M9,M8,M3,1411,1418,1418,1420,1420
AGV1,o16_13,M3,M7,M3,1420,1433,1444,1457,1457
AGV1,o16_10,M3,M3,M6,1457,1457,1465,1473,1473
AGV1,o17_10,M6,M2,M1,1473,1477,1477,1484,1484
AGV1,o11_8,M1,M5,M9,1484,1487,1487,1496,1496
AGV1,o14_8,M9,M10,M5,1496,1509,1509,1515,1515
AGV1,o16_12,M5,M6,M2,1515,1523,1523,1527,1527
AGV1,o17_11,M2,M6,M3,1527,1531,1533,1541,1541
AGV1,o7_6,M3,M8,M2,1541,1543,1543,1551,1551
AGV1,o12_11,M2,M6,M7,1551,1555,1555,1561,1561
AGV1,o19_5,M7,M2,M3,1561,1565,1565,1575,1575
AGV1,o13_9,M3,M6,M3,1575,1583,1583,1591,1591
AGV1,o13_10,M3,M3,M3,1591,1591,1599,1599,1599
AGV1,o5_14,M3,M6,M9,1599,1607,1607,1609,1609
AGV1,o20_10,M9,M9,M7,1609,1609,1629,1636,1636
AGV1,o18_7,M7,M2,M3,1636,1640,1640,1650,1650
AGV1,o19_4,M3,M3,M1,1650,1650,1650,1661,1661
AGV1,o1_6,M1,M1,M4,1661,1661,1661,1665,1665
AGV1,o8_8,M4,M1,M2,1665,1669,1683,1690,1690
AGV1,o8_9,M2,M2,M4,1690,1690,1698,1708,1708
AGV1,o7_9,M4,M2,M1,1708,1718,1718,1725,1725
AGV2,o14_1,Warehouse,Warehouse,M2,0,0,0,6,6
AGV2,o1_11,M2,Warehouse,M2,6,12,12,18,18
AGV2,o7_12,M2,Warehouse,M5,18,24,24,32,32
AGV2,o1_12,M5,M2,M5,32,36,93,97,97
AGV2,o7_1,M5,M5,M2,97,97,118,122,122
AGV2,o16_14,M2,Warehouse,M6,122,128,128,132,132
