机器,工序,开始加工,完成加工,加工时间
M1,o3_1,168,180,12
M1,o6_2,376,383,7
M1,o10_4,383,398,15
M1,o3_3,431,438,7
M1,o19_4,441,448,7
M1,o8_6,482,497,15
M1,o7_6,623,638,15
M1,o10_8,647,663,16
M1,o1_5,663,670,7
M1,o15_6,670,678,8
M1,o5_6,709,716,7
M1,o14_8,817,833,16
M1,o8_10,1029,1035,6
M1,o12_5,1130,1142,12
M1,o16_8,1165,1180,15
M1,o4_7,1275,1291,16
M1,o11_10,1400,1416,16
M1,o7_14,1491,1498,7
M1,o20_13,1563,1570,7
M2,o14_1,35,46,11
M2,o19_1,46,51,5
M2,o7_1,79,84,5
M2,o13_1,145,153,8
M2,o17_2,187,203,16
M2,o13_2,205,210,5
M2,o9_2,245,253,8
M2,o2_3,288,293,5
M2,o1_3,296,301,5
M2,o8_3,301,317,16
M2,o7_3,317,328,11
M2,o10_3,343,348,5
M2,o2_4,359,370,11
M2,o3_2,413,424,11
M2,o16_5,461,466,5
M2,o11_6,589,600,11
M2,o20_4,663,668,5
M2,o15_7,685,693,8
M2,o8_8,735,743,8
M2,o4_4,749,754,5
M2,o7_7,777,785,8
M2,o9_8,785,801,16
M2,o5_8,813,818,5
M2,o13_4,855,871,16
M2,o5_9,871,887,16
M2,o18_5,897,902,5
M2,o17_9,931,936,5
M2,o6_5,953,969,16
M2,o18_7,1047,1063,16
M2,o8_11,1091,1096,5
M2,o1_9,1121,1137,16
M2,o15_11,1221,1226,5
M2,o5_12,1226,1237,11
M2,o13_7,1256,1261,5
M2,o6_8,1286,1291,5
M2,o17_12,1303,1308,5
M2,o4_9,1360,1365,5
M2,o4_10,1365,1371,6
M2,o12_7,1376,1384,8
M2,o12_8,1384,1389,5
M2,o19_10,1411,1422,11
M2,o16_12,1422,1433,11
M2,o18_10,1433,1438,5
M2,o19_11,1438,1446,8
M2,o13_11,1446,1452,6
M2,o12_10,1459,1475,16
M2,o3_11,1475,1480,5
M2,o1_11,1480,1488,8
M2,o9_11,1506,1517,11
M2,o2_13,1537,1548,11
M3,o20_1,86,92,6
M3,o20_3,187,195,8
M3,o15_1,234,252,18
M3,o14_5,362,370,8
M3,o10_5,443,455,12
M3,o19_5,560,572,12
M3,o8_7,573,581,8
M3,o5_5,581,587,6
M3,o16_6,676,684,8
M3,o5_7,762,770,8
M3,o19_7,814,820,6
M3,o15_10,928,940,12
M3,o1_8,1003,1011,8
M3,o10_10,1044,1056,12
M3,o20_12,1224,1236,12
M3,o13_6,1240,1246,6
M3,o8_12,1260,1266,6
