算法名称,运行次数,最优解,求解时间(s),最优解代数,,,算法名称,最优解均值,求解时间均值,最优解代数均值
SL,1,1872,292.6106114,349,,,SL,1858.4,297.089229,316.9
SL,2,1865,282.1675091,252,,,EL,1648.8,577.3867714,465.6
SL,3,1858,289.2748568,247,,,HL,1674.5,461.3194962,410.1
SL,4,1851,276.4607956,466,,,BLEA,1498.8,421.412484,360.5
SL,5,1854,294.7289119,285,,,IBLEA,1653.2,535.7227503,433.7
SL,6,1852,306.4520228,163,,,LMEO,1469.3,1927.016,438.2
SL,7,1846,293.2693596,383,,,,,,
SL,8,1846,317.9455044,127,,,,,,
SL,9,1870,320.605216,487,,,,,,
SL,10,1870,297.3775022,410,,,,,,
EL,1,1637,598.6405196,496,,,,,,
EL,2,1680,616.9378359,481,,,,,,
EL,3,1624,586.9308534,377,,,,,,
EL,4,1640,604.6714771,461,,,,,,
EL,5,1646,551.1965845,480,,,,,,
EL,6,1636,549.8640506,453,,,,,,
EL,7,1654,549.2605691,444,,,,,,
EL,8,1670,593.7079482,477,,,,,,
EL,9,1660,554.2696977,492,,,,,,
EL,10,1641,568.3881783,495,,,,,,
HL,1,1656,504.9245954,304,,,,,,
HL,2,1668,468.3081019,446,,,,,,
HL,3,1696,451.9754825,287,,,,,,
HL,4,1698,454.1880374,477,,,,,,
HL,5,1690,453.5074077,467,,,,,,
HL,6,1647,455.6488371,471,,,,,,
HL,7,1698,450.7545886,387,,,,,,
HL,8,1675,457.2858741,381,,,,,,
HL,9,1626,455.0515554,474,,,,,,
HL,10,1691,461.5504823,407,,,,,,
BLEA,1,1515,423.1095548,163,,,,,,
BLEA,2,1519,421.4423606,442,,,,,,
BLEA,3,1490,423.3049686,241,,,,,,
BLEA,4,1508,418.8989048,231,,,,,,
BLEA,5,1490,424.2905655,446,,,,,,
BLEA,6,1484,419.4061236,405,,,,,,
BLEA,7,1520,421.4382298,347,,,,,,
BLEA,8,1498,421.3470619,495,,,,,,
BLEA,9,1466,419.4475546,500,,,,,,
BLEA,10,1498,421.4395161,335,,,,,,
IBLEA,1,1680,535.5410037,471,,,,,,
IBLEA,2,1636,530.3214104,410,,,,,,
IBLEA,3,1663,534.0227315,468,,,,,,
IBLEA,4,1642,539.6130049,489,,,,,,
IBLEA,5,1674,535.6046748,254,,,,,,
IBLEA,6,1656,534.584764,477,,,,,,
IBLEA,7,1660,534.4788983,486,,,,,,
IBLEA,8,1611,534.2795048,402,,,,,,
IBLEA,9,1668,539.2307003,464,,,,,,
IBLEA,10,1642,539.5508099,416,,,,,,
LMEO,1,1462,1884.43 ,476,,,,,,
LMEO,2,1468,1860.08 ,492,,,,,,
LMEO,3,1469,1867.60 ,497,,,,,,
LMEO,4,1449,1864.67 ,443,,,,,,
LMEO,5,1470,1937.90 ,434,,,,,,
LMEO,6,1466,1951.74 ,444,,,,,,
LMEO,7,1472,2003.78 ,370,,,,,,
LMEO,8,1478,1972.92 ,355,,,,,,
LMEO,9,1476,1857.37,481,,,,,,
LMEO,10,1483,2069.67 ,390,,,,,,
