算法名称,运行次数,最优解,求解时间(s),最优解代数
SL,1,1857.0,1035.2994844913483,249
SL,2,1858.0,1031.9233593940735,375
SL,3,1858.0,1035.5649318695068,93
SL,4,1876.0,1035.3004839420319,16
SL,5,1856.0,1036.0050044059753,330
SL,6,1859.0,1029.5775496959686,102
SL,7,1873.0,1031.988977432251,114
SL,8,1857.0,1031.89040517807,306
SL,9,1856.0,1029.3254301548004,47
SL,10,1866.0,1032.9665892124176,40
EL,1,1694.0,420.0999004840851,486
EL,2,1651.0,429.0717570781708,426
EL,3,1631.0,425.7763683795929,495
EL,4,1656.0,421.77936697006226,333
EL,5,1660.0,419.6370680332184,446
EL,6,1699.0,421.49274730682373,233
EL,7,1620.0,425.8832082748413,489
EL,8,1686.0,420.48297214508057,472
EL,9,1696.0,426.18214225769043,201
EL,10,1659.0,427.859267950058,487
