AGV,工序,出发位置,目标机器,返回位置,开始运输,到达机器,返回仓库
AGV1,o14_1,Warehouse,M2,Warehouse,0,7,14
AGV1,o7_1,Warehouse,M2,Warehouse,14,21,28
AGV1,o10_1,Warehouse,M9,Warehouse,28,34,40
AGV1,o15_1,Warehouse,M8,Warehouse,40,43,46
AGV1,o16_1,Warehouse,M6,Warehouse,46,51,56
AGV1,o20_1,Warehouse,M3,Warehouse,56,62,68
AGV1,o12_2,Warehouse,M5,Warehouse,68,77,86
AGV1,o4_1,Warehouse,M5,Warehouse,86,95,104
AGV1,o6_2,Warehouse,M1,Warehouse,104,113,122
AGV1,o14_2,Warehouse,M8,Warehouse,122,125,128
AGV1,o4_2,Warehouse,M3,Warehouse,128,134,140
AGV1,o11_1,Warehouse,M2,Warehouse,140,147,154
AGV1,o2_1,Warehouse,M6,Warehouse,154,159,164
AGV1,o18_1,Warehouse,M6,Warehouse,164,169,174
AGV1,o17_1,Warehouse,M6,Warehouse,174,179,184
AGV1,o4_3,Warehouse,M5,Warehouse,184,193,202
AGV1,o8_3,Warehouse,M2,Warehouse,202,209,216
AGV1,o20_2,Warehouse,M9,Warehouse,216,222,228
AGV1,o2_2,Warehouse,M8,Warehouse,228,231,234
AGV1,o17_2,Warehouse,M2,Warehouse,234,241,248
AGV1,o7_2,Warehouse,M6,Warehouse,248,253,258
AGV1,o5_2,Warehouse,M9,Warehouse,258,264,270
AGV1,o9_1,Warehouse,M6,Warehouse,270,275,280
AGV1,o5_3,Warehouse,M5,Warehouse,280,289,298
AGV1,o6_3,Warehouse,M9,Warehouse,298,304,310
AGV1,o17_3,Warehouse,M8,Warehouse,310,313,316
AGV1,o3_4,Warehouse,M6,Warehouse,316,321,326
AGV1,o9_3,Warehouse,M8,Warehouse,326,329,332
AGV1,o2_4,Warehouse,M2,Warehouse,332,339,346
AGV1,o8_5,Warehouse,M3,Warehouse,346,352,358
AGV1,o10_3,Warehouse,M9,Warehouse,358,364,370
AGV1,o5_4,Warehouse,M6,Warehouse,370,375,380
AGV1,o9_4,Warehouse,M9,Warehouse,380,386,392
AGV1,o5_7,Warehouse,M5,Warehouse,392,401,410
AGV1,o3_5,Warehouse,M6,Warehouse,410,415,420
AGV1,o19_2,Warehouse,M6,Warehouse,420,425,430
AGV1,o4_4,Warehouse,M2,Warehouse,430,437,444
AGV1,o7_5,Warehouse,M8,Warehouse,444,447,450
AGV1,o14_6,Warehouse,M5,Warehouse,450,459,468
AGV1,o15_4,Warehouse,M6,Warehouse,468,473,478
AGV1,o6_5,Warehouse,M2,Warehouse,478,485,492
AGV1,o12_4,Warehouse,M1,Warehouse,492,501,510
AGV1,o16_4,Warehouse,M9,Warehouse,510,516,522
AGV1,o2_5,Warehouse,M3,Warehouse,522,528,534
AGV1,o7_8,Warehouse,M8,Warehouse,534,537,540
AGV1,o15_5,Warehouse,M8,Warehouse,540,543,546
