AGV,工序,出发位置,取件位置,目标机器,开始运输,到达取件点,离开取件点,到达机器,完成配送
AGV1,o5_7,Warehouse,Warehouse,M3,0,0,0,5,5
AGV1,o18_9,M3,Warehouse,M1,5,10,10,18,18
AGV1,o13_7,M1,Warehouse,M2,18,26,26,32,32
AGV1,o20_2,M2,Warehouse,M9,32,38,38,43,43
AGV1,o19_1,M9,Warehouse,M9,43,48,48,53,53
AGV1,o14_2,M9,M2,M8,53,59,59,67,67
AGV1,o16_2,M8,Warehouse,M5,67,69,69,77,77
AGV1,o19_8,M5,M9,M9,77,86,157,157,157
AGV1,o19_13,M9,M9,M2,157,157,229,235,235
AGV1,o17_6,M2,M6,M8,235,239,239,246,246
AGV1,o4_5,M8,M2,M9,246,254,254,260,260
AGV1,o10_8,M9,M9,M5,260,260,260,269,269
AGV1,o10_9,M5,M5,M6,269,269,292,300,300
AGV1,o20_9,M6,M2,M6,300,304,304,308,308
AGV1,o9_3,M6,M5,M8,308,316,316,325,325
AGV1,o4_3,M8,M9,M5,325,332,332,341,341
AGV1,o17_7,M5,M8,M3,341,350,350,352,352
AGV1,o18_4,M3,M1,M6,352,363,363,373,373
AGV1,o15_1,M6,M6,M8,373,373,373,380,380
AGV1,o9_10,M8,M8,M6,380,380,380,387,387
AGV1,o10_6,M6,M4,M6,387,399,470,482,482
AGV1,o16_14,M6,M2,M6,482,486,486,490,490
AGV1,o16_1,M6,M6,M6,490,490,563,563,563
AGV1,o15_2,M6,M8,M5,563,570,570,579,579
AGV1,o2_3,M5,M1,M6,579,582,582,592,592
AGV1,o1_1,M6,M10,M6,592,604,604,616,616
AGV1,o4_6,M6,M8,M6,616,623,623,630,630
AGV1,o15_7,M6,M7,M7,630,636,636,636,636
AGV1,o20_11,M7,M5,M7,636,643,643,650,650
AGV1,o19_2,M7,M5,M6,650,657,657,665,665
AGV1,o6_8,M6,M2,M2,665,669,669,669,669
AGV1,o4_8,M2,M6,M6,669,673,673,673,673
AGV1,o17_13,M6,M5,M9,673,681,681,690,690
AGV1,o17_3,M9,M9,M8,690,690,703,710,710
AGV1,o17_4,M8,M8,M6,710,710,741,748,748
AGV1,o8_10,M6,M6,M1,748,748,761,771,771
AGV1,o18_2,M1,M8,M6,771,779,820,827,827
AGV1,o9_9,M6,M6,M9,827,827,827,829,829
AGV1,o6_11,M9,M2,M5,829,835,835,839,839
AGV1,o14_7,M5,M8,M9,839,848,848,855,855
AGV1,o6_2,M9,M5,M7,855,864,923,930,930
AGV1,o7_14,M7,M6,M1,930,936,936,946,946
AGV1,o17_10,M1,M6,M7,946,956,956,962,962
AGV1,o17_12,M7,M7,M9,962,962,971,978,978
AGV1,o2_10,M9,M3,M4,978,986,986,996,996
AGV1,o18_6,M4,M6,M2,996,1008,1008,1012,1012
AGV1,o20_8,M2,M8,M8,1012,1020,1091,1091,1091
AGV1,o1_5,M8,M6,M1,1091,1098,1098,1108,1108
AGV1,o4_2,M1,M4,M10,1108,1112,1112,1114,1114
AGV1,o16_5,M10,M9,M2,1114,1127,1155,1161,1161
AGV1,o17_11,M2,M9,M3,1161,1167,1167,1175,1175
AGV1,o1_6,M3,M2,M9,1175,1185,1189,1195,1195
AGV1,o5_4,M9,M9,M6,1195,1195,1195,1197,1197
AGV1,o15_3,M9,M9,M9,1195,1195,1195,1195,1195
AGV1,o15_4,M6,M9,M6,1197,1199,1218,1220,1220
AGV1,o16_9,M6,M2,M10,1220,1224,1224,1233,1233
AGV1,o7_10,M10,M8,M5,1233,1242,1253,1262,1262
AGV1,o9_7,M5,M8,M7,1262,1271,1271,1283,1283
AGV1,o14_6,M7,M9,M5,1283,1290,1290,1299,1299
AGV1,o16_10,M5,M10,M2,1299,1305,1305,1314,1314
AGV1,o20_4,M2,M8,M9,1314,1322,1322,1329,1329
AGV1,o1_8,M9,M9,M2,1329,1329,1329,1335,1335
AGV1,o15_5,M2,M6,M2,1335,1339,1339,1343,1343
AGV1,o16_11,M2,M2,M9,1343,1343,1419,1425,1425
AGV1,o3_11,M9,M9,M9,1425,1425,1425,1425,1425
AGV1,o18_7,M9,M9,M3,1425,1425,1425,1433,1433
AGV1,o5_11,M3,M10,M5,1433,1444,1444,1450,1450
AGV1,o2_12,M5,M4,M9,1450,1458,1458,1471,1471
AGV1,o19_7,M9,M2,M1,1471,1477,1477,1484,1484
AGV1,o18_8,M1,M3,M6,1484,1495,1495,1503,1503
AGV1,o15_9,M6,M2,M10,1503,1507,1507,1516,1516
AGV1,o14_8,M10,M3,M3,1516,1527,1527,1527,1527
AGV1,o4_9,M3,M3,M2,1527,1527,1573,1583,1583
AGV1,o1_7,M2,M2,M8,1583,1583,1583,1591,1591
AGV1,o16_13,M8,M9,M1,1591,1598,1598,1609,1609
AGV1,o18_11,M1,M2,M4,1609,1616,1616,1626,1626
AGV1,o1_10,M4,M8,M9,1626,1634,1634,1641,1641
AGV1,o4_10,M9,M2,M8,1641,1647,1647,1655,1655
AGV2,o6_1,Warehouse,Warehouse,M9,0,0,0,5,5
AGV2,o10_1,M9,Warehouse,M9,5,10,10,15,15
AGV2,o6_10,M9,M9,M1,15,15,29,40,40
AGV2,o5_6,M1,M3,M1,40,51,52,63,63
AGV2,o17_5,M1,M6,M6,63,73,73,73,73
AGV2,o15_8,M6,Warehouse,M6,73,77,77,81,81
AGV2,o10_3,M6,M9,M9,81,83,83,83,83
AGV2,o12_1,M9,Warehouse,M6,83,88,88,92,92
AGV2,o2_1,M6,M5,M6,92,100,100,108,108
AGV2,o4_4,M6,Warehouse,M2,108,112,112,118,118
AGV2,o6_3,M2,M1,M8,118,125,125,133,133
AGV2,o3_7,M8,M1,M9,133,141,196,207,207
AGV2,o3_5,M9,M9,M6,207,207,220,222,222
AGV2,o20_7,M6,M9,M2,222,224,224,230,230
AGV2,o11_10,M2,M5,M3,230,234,234,246,246
AGV2,o2_2,M3,M6,M8,246,254,254,261,261
AGV2,o2_4,M8,M8,M2,261,261,321,329,329
AGV2,o6_9,M2,M8,M2,329,337,337,345,345
AGV2,o12_2,M2,M5,M5,345,349,349,349,349
AGV2,o5_9,M5,M1,M8,349,352,352,360,360
AGV2,o14_3,M8,M8,M1,360,360,360,368,368
AGV2,o4_11,M1,M5,M8,368,371,406,415,415
AGV2,o3_4,M8,M3,M6,415,417,432,440,440
AGV2,o6_5,M6,M2,M2,440,444,444,444,444
AGV2,o14_4,M2,M1,M6,444,451,451,461,461
AGV2,o3_2,M6,M6,M1,461,461,480,490,490
AGV2,o11_3,M1,M5,M6,490,493,493,501,501
AGV2,o8_12,M6,M7,M5,501,507,507,514,514
AGV2,o19_12,M5,M2,M5,514,518,518,522,522
AGV2,o14_10,M5,M6,M3,522,530,534,542,542
AGV2,o8_7,M3,M5,M3,542,554,607,619,619
AGV2,o19_3,M3,M6,M8,619,627,686,693,693
AGV2,o5_12,M8,M3,M2,693,695,695,705,705
AGV2,o12_7,M2,M5,M4,705,709,709,717,717
AGV2,o10_10,M4,M6,M3,717,729,729,737,737
AGV2,o10_12,M3,M3,M9,737,737,749,757,757
AGV2,o2_8,M9,M5,M3,757,766,766,778,778
AGV2,o7_13,M3,M6,M1,778,786,786,796,796
AGV2,o10_4,M1,M9,M2,796,807,807,813,813
AGV2,o2_9,M2,M3,M4,813,823,823,833,833
AGV2,o2_5,M4,M4,M3,833,833,846,856,856
AGV2,o4_1,M3,M6,M4,856,864,864,876,876
AGV2,o19_6,M4,M8,M5,876,884,884,893,893
AGV2,o13_1,M5,M2,M7,893,897,897,901,901
AGV2,o6_6,M7,M7,M6,901,901,939,945,945
AGV2,o1_2,M6,M8,M6,945,952,952,959,959
AGV2,o9_11,M6,M9,M1,959,961,961,972,972
AGV2,o15_6,M1,M7,M9,972,982,982,989,989
AGV2,o20_3,M9,M3,M1,989,997,997,1008,1008
AGV2,o8_13,M1,M2,M8,1008,1015,1015,1023,1023
AGV2,o12_3,M8,M4,M9,1023,1031,1031,1044,1044
AGV2,o8_4,M9,M8,M4,1044,1051,1067,1075,1075
AGV2,o1_3,M4,M3,M2,1075,1085,1174,1184,1184
AGV2,o9_5,M2,M10,M8,1184,1193,1193,1202,1202
AGV2,o19_11,M8,M3,M2,1202,1204,1204,1214,1214
AGV2,o5_14,M2,M6,M2,1214,1218,1218,1222,1222
AGV2,o7_8,M2,M1,M8,1222,1229,1229,1237,1237
AGV2,o14_5,M8,M5,M3,1237,1246,1314,1326,1326
AGV2,o7_4,M3,M1,M9,1326,1337,1337,1348,1348
AGV2,o13_3,M9,M9,M7,1348,1348,1348,1355,1355
AGV2,o13_4,M7,M7,M2,1355,1355,1369,1373,1373
AGV2,o7_6,M2,M9,M2,1373,1379,1379,1385,1385
AGV2,o13_6,M2,M2,M5,1385,1385,1389,1393,1393
AGV2,o8_6,M5,M6,M2,1393,1401,1401,1405,1405
AGV2,o7_9,M2,M2,M1,1405,1405,1408,1415,1415
AGV2,o13_8,M1,M5,M6,1415,1418,1418,1426,1426
AGV2,o3_9,M6,M9,M8,1426,1428,1454,1461,1461
AGV2,o8_8,M8,M2,M4,1461,1469,1469,1479,1479
AGV2,o13_5,M4,M6,M9,1479,1491,1491,1493,1493
AGV2,o6_7,M9,M9,M6,1493,1493,1493,1495,1495
AGV2,o9_6,M6,M7,M2,1495,1501,1501,1505,1505
AGV2,o13_10,M2,M9,M3,1505,1511,1511,1519,1519
AGV2,o20_12,M3,M9,M3,1519,1527,1527,1535,1535
AGV2,o11_5,M3,M9,M5,1535,1543,1543,1552,1552
AGV2,o13_9,M5,M3,M9,1552,1564,1564,1572,1572
AGV2,o11_8,M9,M5,M9,1572,1581,1581,1590,1590
AGV2,o13_11,M9,M9,M2,1590,1590,1590,1596,1596
AGV2,o15_12,M2,M10,M5,1596,1605,1605,1611,1611
AGV2,o7_5,M5,M7,M4,1611,1618,1618,1632,1632
AGV2,o8_9,M4,M4,M6,1632,1632,1632,1644,1644
AGV3,o7_12,Warehouse,Warehouse,M3,0,0,0,5,5
AGV3,o14_1,M3,Warehouse,M2,5,10,10,16,16
AGV3,o17_1,M2,Warehouse,M6,16,22,22,26,26
AGV3,o1_11,M6,Warehouse,M2,26,30,30,36,36
AGV3,o7_1,M2,M3,M2,36,46,46,56,56
AGV3,o2_7,M2,Warehouse,M5,56,62,62,70,70
AGV3,o9_1,M5,Warehouse,M6,70,78,78,82,82
AGV3,o8_1,M6,Warehouse,M8,82,86,86,88,88
AGV3,o11_9,M8,Warehouse,M4,88,90,90,99,99
AGV3,o12_8,M4,M6,M2,99,111,138,142,142
AGV3,o11_1,M2,M4,M5,142,152,165,173,173
AGV3,o3_3,M5,Warehouse,M1,173,181,181,189,189
AGV3,o8_3,M1,M8,M7,189,197,197,209,209
AGV3,o7_11,M7,M2,M6,209,213,213,217,217
AGV3,o9_2,M6,M6,M2,217,217,217,221,221
AGV3,o9_8,M2,M2,M5,221,221,229,233,233
AGV3,o12_5,M5,M2,M1,233,237,237,244,244
AGV3,o12_10,M1,M1,M5,244,244,287,290,290
AGV3,o16_8,M5,M5,M2,290,290,290,294,294
AGV3,o1_12,M2,M2,M10,294,294,294,303,303
AGV3,o20_6,M10,M6,M5,303,315,347,355,355
AGV3,o2_11,M5,M2,M1,355,359,359,366,366
AGV3,o11_2,M1,M3,M5,366,377,377,389,389
AGV3,o10_2,M5,M6,M5,389,397,397,405,405
AGV3,o3_1,M5,M6,M3,405,413,413,421,421
AGV3,o10_5,M3,M5,M4,421,433,435,443,443
AGV3,o19_10,M4,M2,M2,443,453,453,453,453
AGV3,o17_8,M2,M3,M5,453,463,463,475,475
AGV3,o17_2,M5,M5,M5,475,475,494,494,494
AGV3,o5_5,M5,M8,M3,494,503,503,505,505
AGV3,o15_10,M3,M5,M7,505,517,596,603,603
AGV3,o3_6,M7,M1,M9,603,613,613,624,624
AGV3,o16_3,M9,M6,M9,624,626,626,628,628
AGV3,o1_4,M9,M6,M8,628,630,630,637,637
AGV3,o5_1,M8,M2,M6,637,645,718,722,722
AGV3,o2_6,M6,M6,M5,722,722,722,730,730
AGV3,o8_2,M5,M3,M6,730,742,742,750,750
AGV3,o20_13,M6,M7,M1,750,756,756,766,766
AGV3,o18_1,M1,M6,M4,766,776,776,788,788
AGV3,o18_3,M4,M4,M8,788,788,796,804,804
AGV3,o14_9,M8,M3,M8,804,806,806,808,808
AGV3,o11_6,M8,M6,M2,808,815,815,819,819
AGV3,o7_2,M2,M1,M6,819,826,826,836,836
AGV3,o11_7,M6,M2,M4,836,840,843,853,853
AGV3,o17_9,M6,M6,M6,836,836,836,836,836
AGV3,o5_3,M4,M6,M5,853,865,865,873,873
AGV3,o8_5,M5,M1,M2,873,876,876,883,883
AGV3,o20_1,M2,M1,M3,883,890,890,901,901
AGV3,o16_6,M3,M9,M3,901,909,909,917,917
AGV3,o11_4,M3,M4,M9,917,927,927,940,940
AGV3,o10_7,M9,M2,M5,940,946,946,950,950
AGV3,o9_4,M5,M1,M10,950,953,981,983,983
AGV3,o5_10,M10,M5,M9,983,989,989,998,998
AGV3,o12_6,M9,M9,M2,998,998,1054,1060,1060
AGV3,o19_4,M2,M5,M1,1060,1064,1064,1067,1067
AGV3,o20_5,M1,M1,M8,1067,1067,1067,1075,1075
AGV3,o5_2,M8,M9,M9,1075,1082,1082,1082,1082
AGV3,o6_4,M9,M6,M9,1082,1084,1084,1086,1086
AGV3,o12_4,M9,M2,M1,1086,1092,1092,1099,1099
