机器,工序,开始加工,完成加工,加工时间
M1,o18_9,59,74,15
M1,o6_10,74,86,12
M1,o5_6,86,93,7
M1,o3_3,189,196,7
M1,o12_5,275,287,12
M1,o2_11,369,385,16
M1,o14_3,439,446,7
M1,o3_2,553,562,9
M1,o20_13,766,773,7
M1,o7_13,796,812,16
M1,o8_10,812,818,6
M1,o9_11,972,981,9
M1,o7_14,981,988,7
M1,o20_3,1021,1033,12
M1,o19_4,1099,1106,7
M1,o12_4,1106,1114,8
M1,o1_5,1114,1121,7
M1,o7_3,1280,1289,9
M1,o7_9,1415,1421,6
M1,o19_7,1484,1500,16
M1,o12_11,1500,1507,7
M1,o16_13,1613,1632,19
M2,o14_1,16,27,11
M2,o1_11,93,101,8
M2,o7_1,101,106,5
M2,o13_7,106,111,5
M2,o4_4,147,152,5
M2,o12_8,173,178,5
M2,o9_2,221,229,8
M2,o19_13,259,275,16
M2,o20_7,275,291,16
M2,o2_4,329,340,11
M2,o6_9,345,353,8
M2,o16_8,353,372,19
M2,o19_10,453,464,11
M2,o6_5,465,481,16
M2,o6_8,693,698,5
M2,o5_12,707,718,11
M2,o10_4,813,832,19
M2,o11_6,832,843,11
M2,o8_5,907,923,16
M2,o12_6,1083,1089,6
M2,o18_6,1089,1100,11
M2,o1_3,1184,1189,5
M2,o16_5,1189,1194,5
M2,o19_11,1214,1222,8
M2,o5_14,1222,1238,16
M2,o5_8,1287,1292,5
M2,o16_10,1314,1319,5
M2,o1_8,1335,1351,16
M2,o15_5,1351,1367,16
M2,o13_4,1373,1389,16
M2,o7_6,1389,1408,19
M2,o16_12,1408,1419,11
M2,o8_6,1419,1438,19
M2,o9_6,1505,1511,6
M2,o18_10,1519,1524,5
M2,o4_9,1583,1588,5
M2,o13_11,1596,1602,6
M2,o15_11,1663,1668,5
M3,o7_12,6,14,8
M3,o5_7,44,52,8
M3,o11_10,296,302,6
M3,o17_7,402,420,18
M3,o3_1,424,432,8
M3,o5_5,505,511,6
M3,o14_10,636,648,12
M3,o8_7,648,656,8
M3,o10_10,737,749,12
M3,o2_8,778,786,8
M3,o2_5,856,868,12
M3,o20_1,938,944,6
M3,o16_6,984,992,8
M3,o19_5,1140,1152,12
M3,o1_9,1162,1174,12
M3,o17_11,1178,1184,6
M3,o14_5,1326,1334,8
M3,o18_7,1433,1445,12
M3,o13_10,1519,1537,18
M3,o20_12,1537,1549,12
M3,o14_8,1549,1555,6
M3,o3_10,1555,1567,12
M3,o4_7,1567,1573,6
M4,o11_9,155,165,10
M4,o10_5,459,470,11
M4,o12_7,717,724,7
M4,o18_1,788,796,8
M4,o2_9,833,846,13
M4,o4_1,876,887,11
M4,o11_7,891,904,13
M4,o2_10,1001,1011,10
M4,o8_4,1075,1088,13
M4,o8_8,1479,1486,7
M4,o18_11,1626,1637,11
M4,o7_5,1645,1655,10
M5,o2_7,85,90,5
M5,o11_1,173,188,15
M5,o16_2,189,204,15
M5,o9_8,237,252,15
M5,o10_8,281,292,11
M5,o12_10,317,326,9
M5,o12_2,349,364,15
M5,o20_6,367,382,15
M5,o4_3,391,406,15
M5,o11_2,409,420,11
M5,o10_2,420,435,15
M5,o17_8,489,494,5
M5,o17_2,494,509,15
M5,o15_2,581,596,15
M5,o8_12,596,607,11
M5,o19_12,607,612,5
M5,o2_6,730,740,10
M5,o19_6,893,908,15
M5,o6_11,908,923,15
M5,o5_3,923,934,11
M5,o10_7,1039,1048,9
M5,o7_10,1262,1277,15
M5,o14_6,1299,1314,15
M5,o10_11,1314,1324,10
M5,o13_6,1393,1404,11
M5,o5_11,1457,1468,11
M5,o11_5,1552,1567,15
M5,o15_12,1611,1616,5
M5,o2_13,1657,1668,11
M6,o17_1,26,44,18
M6,o17_5,105,116,11
M6,o15_8,116,127,11
M6,o12_1,127,138,11
M6,o9_1,138,149,11
M6,o2_1,149,160,11
M6,o3_5,222,235,13
M6,o7_11,247,265,18
M6,o10_9,331,336,5
M6,o20_9,336,347,11
M6,o3_4,475,480,5
M6,o18_4,503,514,11
M6,o9_10,519,524,5
M6,o14_4,529,534,5
M6,o10_6,539,552,13
M6,o16_14,552,563,11
M6,o11_3,567,585,18
M6,o16_1,585,596,11
M6,o2_3,596,601,5
M6,o1_1,616,621,5
M6,o4_6,630,641,11
M6,o19_2,681,686,5
M6,o4_8,686,697,11
M6,o5_1,725,736,11
M6,o8_2,750,761,11
M6,o17_4,761,772,11
M6,o18_2,827,840,13
M6,o7_2,840,851,11
M6,o17_9,851,856,5
M6,o6_6,945,958,13
M6,o1_2,959,970,11
M6,o5_4,1197,1208,11
M6,o15_4,1220,1238,18
M6,o8_11,1358,1363,5
M6,o13_8,1426,1437,11
M6,o12_9,1437,1450,13
M6,o6_7,1495,1506,11
M6,o18_8,1506,1511,5
M6,o8_9,1644,1662,18
M7,o8_3,231,239,8
M7,o15_10,619,634,15
M7,o15_7,636,641,5
M7,o20_11,665,678,13
M7,o13_1,901,906,5
M7,o6_2,930,939,9
M7,o17_10,962,971,9
M7,o9_7,1283,1296,13
M7,o13_3,1355,1369,14
M7,o7_7,1593,1598,5
M8,o8_1,121,131,10
M8,o14_2,131,141,10
M8,o6_3,193,203,10
M8,o17_6,246,262,16
M8,o2_2,305,321,16
M8,o9_3,357,367,10
M8,o5_9,379,395,16
M8,o4_11,415,425,10
M8,o15_1,511,521,10
M8,o19_3,693,701,8
M8,o1_4,717,727,10
M8,o17_3,733,741,8
M8,o18_3,804,820,16
M8,o14_9,820,828,8
M8,o8_13,1051,1067,16
M8,o20_5,1075,1091,16
M8,o20_8,1091,1101,10
M8,o9_5,1202,1218,16
M8,o7_8,1237,1253,16
M8,o16_7,1370,1378,8
M8,o3_9,1461,1477,16
M8,o1_7,1591,1599,8
M8,o4_10,1655,1663,8
M9,o6_1,20,29,9
M9,o10_1,32,42,10
M9,o10_3,83,102,19
M9,o20_2,126,135,9
M9,o19_1,138,157,19
M9,o3_7,207,220,13
M9,o19_8,220,229,9
M9,o4_5,260,270,10
M9,o3_6,648,658,10
M9,o16_3,658,677,19
M9,o17_13,690,703,13
M9,o10_12,757,764,7
M9,o9_9,834,846,12
M9,o14_7,864,874,10
M9,o15_6,989,1001,12
M9,o17_12,1001,1020,19
M9,o11_4,1020,1030,10
M9,o12_3,1044,1054,10
M9,o5_10,1054,1063,9
M9,o5_2,1114,1124,10
M9,o6_4,1124,1143,19
