instance_id,family,source_file,seed,num_products,num_operations,num_islands,num_configurations,num_w_agvs,num_f_agvs,num_precedence_edges,dag_density,mean_eligible_islands,min_eligible_islands,max_eligible_islands,mean_processing_time,reconfiguration_time_mean,reconfiguration_time_max,source_sha256,generated_sha256,schema_version,generator_version,valid
BR_Mk01,brandimarte,Mk/Mk01.fjs,765606715,10,55,6,6,2,2,31,0.248,2.09090909,1,3,4.04347826,4.29605263,8,0c1a8cf9b7bddd841bc13e896a388e4c96943690fda12eba8b132d1f4a8c1848,4112d83c0050d4ca17df1fe185a3f5eb877a74c6a2ac87b9528d51cc099b8883,RCIAS-2.0,2.1.0,True
BR_Mk02,brandimarte,Mk/Mk02.fjs,3830764225,10,58,6,6,2,2,28,0.2,4.10344828,1,6,3.81932773,4.28888889,8,6970dc68f3d11ab91688faf05c93da2c58ed3d8134a7d63a5dc9197f280a4a45,6d4e10d7d227395b757259531f41972cc79ee659f71bfb7b1db72b6f5567dd86,RCIAS-2.0,2.1.0,True
BR_Mk03,brandimarte,Mk/Mk03.fjs,320047425,15,150,8,6,2,2,129,0.19111111,3.00666667,1,5,10.46341463,4.28333333,8,6e4964830b2d6cab35a2f079b6f03082954c2bbbca1ea345e93c95e57831192e,d0eab1ecd1e542bbb35e762de1b24c2c2bc025c1a876ffd330c3f68646cf870f,RCIAS-2.0,2.1.0,True
BR_Mk04,brandimarte,Mk/Mk04.fjs,1807956931,15,90,8,6,2,2,53,0.2145749,1.91111111,1,3,5.04651163,4.32380952,8,89cf1aa0eb5975372a8f3c8974aba72d2472da1a8121a7af85294836cecede88,910b4aef31bc8e8efb088f039e7354fb28e32ea5d944beeeb12f27d66d01658a,RCIAS-2.0,2.1.0,True
BR_Mk05,brandimarte,Mk/Mk05.fjs,4160330056,15,106,4,5,2,2,58,0.17365269,1.70754717,1,2,6.72928177,3.8875,7,561fb2d21936b8666d9a0a351c9271a385fa6d9de3e425b34e5017d215171429,5a9f14227477b9b1ec35b36bfa01c9d390675337e5e07ef14395e4f65e8bb854,RCIAS-2.0,2.1.0,True
BR_Mk06,brandimarte,Mk/Mk06.fjs,3495732307,10,150,15,6,2,2,191,0.18190476,3.26666667,2,5,4.97959184,4.4,8,1a0f79d456e3326b5007f542b77fc870c9e78a3d9ee06eec8a828f34fc923d69,e848dd1638982c76e4961031b9828502d5062e18db23ce62cdba70c25a8e9387,RCIAS-2.0,2.1.0,True
BR_Mk07,brandimarte,Mk/Mk07.fjs,3688703336,20,100,5,6,2,2,42,0.21,2.83,1,5,10.03886926,4.5,8,b11e8b0e16ca006c8b727842594c9402699385d700f3b6a2011fa7a4afbff2a6,5c9fc19a3e443e7f3df4405c9707f78ba3f615746c226fb1909a6e97283ad737,RCIAS-2.0,2.1.0,True
BR_Mk08,brandimarte,Mk/Mk08.fjs,3587867256,20,225,10,6,2,2,210,0.17979452,1.43111111,1,2,12.03726708,4.30534351,8,5c897caaa9069d4e15175d113de73040e0f7cc70c5e308c6665343ed3e888ddf,bb6afe9cdca122dbf7409cf49446a63338f3c9f6e6f91fef00806b454c7f835d,RCIAS-2.0,2.1.0,True
BR_Mk09,brandimarte,Mk/Mk09.fjs,3445844550,20,240,10,6,2,2,256,0.19161677,2.525,1,5,11.38943894,4.38666667,8,55b5970c34cc345391da995cf611767dfb78e8d2cd274256224997b9cc734859,225a8fca94419df7bf4fd85aaaa9837bc462b503614b73d6cddc13493ce4bac4,RCIAS-2.0,2.1.0,True
BR_Mk10,brandimarte,Mk/Mk10.fjs,3121659137,20,240,15,6,2,2,242,0.18113772,2.98333333,1,5,11.02793296,4.28698225,8,af2f1b273a881f03b20a45f67e5a1ef4a574bd018f20841f6b468700b50895f1,52d1663ddab3366980acddf9e16c65813c5be7cbf332b8bd823df6166fae6641,RCIAS-2.0,2.1.0,True
