instance_id,calibration_split,scale,CF_level,RI_level,TI_level,replicate,base_structure,base_generation_seed,final_generation_seed,relative_path,sha256
CB1_CAL_L_CF1_RI2_TI2_R07,CAL_FIT,L,CF1,RI2,TI2,R07,CB1_CAL_BASE_L_CF1_R07,671317,671317001,cal_fit/CB1_CAL_L_CF1_RI2_TI2_R07.json,86866d60a8d314890db4f31bf68d4d9ca0c7cfa560d4ed885bd3e5e06803c1df
CB1_CAL_L_CF1_RI2_TI2_R08,CAL_HOLDOUT,L,CF1,RI2,TI2,R08,CB1_CAL_BASE_L_CF1_R08,671318,671318001,cal_holdout/CB1_CAL_L_CF1_RI2_TI2_R08.json,b792ff1eb8691ddee9815a1c114c534cf64f29ce4af6808e7c4a23c4bbcb94c6
CB1_CAL_L_CF2_RI2_TI2_R07,CAL_FIT,L,CF2,RI2,TI2,R07,CB1_CAL_BASE_L_CF2_R07,671327,671327001,cal_fit/CB1_CAL_L_CF2_RI2_TI2_R07.json,8d486bd18eb0cde517112023d290e56b75efb7edf7a610ee6c674aad8f1bdea2
CB1_CAL_L_CF2_RI2_TI2_R08,CAL_HOLDOUT,L,CF2,RI2,TI2,R08,CB1_CAL_BASE_L_CF2_R08,671328,671328001,cal_holdout/CB1_CAL_L_CF2_RI2_TI2_R08.json,898392a89275c1473845b1e718f2c06779d4fab4908556f3dd40c5b32488e606
CB1_CAL_L_CF3_RI2_TI2_R07,CAL_FIT,L,CF3,RI2,TI2,R07,CB1_CAL_BASE_L_CF3_R07,671337,671337001,cal_fit/CB1_CAL_L_CF3_RI2_TI2_R07.json,507437d3ba1405bd1b3ec43b3fffa5dd75e018c318e75c6c0477d6ce6ebcc334
CB1_CAL_L_CF3_RI2_TI2_R08,CAL_HOLDOUT,L,CF3,RI2,TI2,R08,CB1_CAL_BASE_L_CF3_R08,671338,671338001,cal_holdout/CB1_CAL_L_CF3_RI2_TI2_R08.json,008b69324df8e0222f5a480f9a6a7bc8a8482b6678d63f72934a687c5a1b0da3
CB1_CAL_M_CF1_RI2_TI2_R07,CAL_FIT,M,CF1,RI2,TI2,R07,CB1_CAL_BASE_M_CF1_R07,671217,671217001,cal_fit/CB1_CAL_M_CF1_RI2_TI2_R07.json,6dab30fce5cac02fa49dd32a533f3ed7cde927fea7a72601669eef5470146f04
CB1_CAL_M_CF1_RI2_TI2_R08,CAL_HOLDOUT,M,CF1,RI2,TI2,R08,CB1_CAL_BASE_M_CF1_R08,671218,671218001,cal_holdout/CB1_CAL_M_CF1_RI2_TI2_R08.json,cc2b964cb7a123a137e2a74eb0c33d4fbeb25d48a960824582a4bb24408b0f3d
CB1_CAL_M_CF2_RI2_TI2_R07,CAL_FIT,M,CF2,RI2,TI2,R07,CB1_CAL_BASE_M_CF2_R07,671227,671227001,cal_fit/CB1_CAL_M_CF2_RI2_TI2_R07.json,b9f73d8a55e0e151f6d99749502041cafda02c9e3ca809d2ca23383e65bba386
CB1_CAL_M_CF2_RI2_TI2_R08,CAL_HOLDOUT,M,CF2,RI2,TI2,R08,CB1_CAL_BASE_M_CF2_R08,671228,671228001,cal_holdout/CB1_CAL_M_CF2_RI2_TI2_R08.json,5588e93ac2e4dafde4598cbbbc46d8d6fa37a48ac5dacdcda9144aaedabde751
CB1_CAL_M_CF3_RI2_TI2_R07,CAL_FIT,M,CF3,RI2,TI2,R07,CB1_CAL_BASE_M_CF3_R07,671237,671237001,cal_fit/CB1_CAL_M_CF3_RI2_TI2_R07.json,ac57f9bec24780829867f7848a5f27bfcf04a8afbf6064954d72ce5d9f671555
CB1_CAL_M_CF3_RI2_TI2_R08,CAL_HOLDOUT,M,CF3,RI2,TI2,R08,CB1_CAL_BASE_M_CF3_R08,671238,671238001,cal_holdout/CB1_CAL_M_CF3_RI2_TI2_R08.json,cbed13ada15ae7820571b71177fb7ee250da0de7215f1191a3f15c1608ff0420
CB1_CAL_S_CF1_RI2_TI2_R07,CAL_FIT,S,CF1,RI2,TI2,R07,CB1_CAL_BASE_S_CF1_R07,671117,671117001,cal_fit/CB1_CAL_S_CF1_RI2_TI2_R07.json,6baded1a3dc1cb0a9b1697f41d2a95e9e7bf49d4d1e75c59178c236267d83ccc
CB1_CAL_S_CF1_RI2_TI2_R08,CAL_HOLDOUT,S,CF1,RI2,TI2,R08,CB1_CAL_BASE_S_CF1_R08,671118,671118001,cal_holdout/CB1_CAL_S_CF1_RI2_TI2_R08.json,ab8f0ea58586dacd23e228dcefd4cfd7ad741d63dd6522041009c573328379a4
CB1_CAL_S_CF2_RI2_TI2_R07,CAL_FIT,S,CF2,RI2,TI2,R07,CB1_CAL_BASE_S_CF2_R07,671127,671127001,cal_fit/CB1_CAL_S_CF2_RI2_TI2_R07.json,8991bc1a55e4fa726252bb9dff8f6e346c278794f39ce2b6cef797b82a17da4a
CB1_CAL_S_CF2_RI2_TI2_R08,CAL_HOLDOUT,S,CF2,RI2,TI2,R08,CB1_CAL_BASE_S_CF2_R08,671128,671128001,cal_holdout/CB1_CAL_S_CF2_RI2_TI2_R08.json,797ac21fc4e1469eca6969dbd8deab73373fc192ce4a82b44a462704ad16d4da
CB1_CAL_S_CF3_RI2_TI2_R07,CAL_FIT,S,CF3,RI2,TI2,R07,CB1_CAL_BASE_S_CF3_R07,671137,671137001,cal_fit/CB1_CAL_S_CF3_RI2_TI2_R07.json,9babda4c38b71db5d7a05bad98e31e10c8c037e6735fa9361ac42fe5c50f40ac
CB1_CAL_S_CF3_RI2_TI2_R08,CAL_HOLDOUT,S,CF3,RI2,TI2,R08,CB1_CAL_BASE_S_CF3_R08,671138,671138001,cal_holdout/CB1_CAL_S_CF3_RI2_TI2_R08.json,33f653f7b052e1a02005984a8a4dcaf82fa50167fce799095b7652ce132b9840
