instance_id,calibration_split,scale,CF_level,RI_level,TI_level,replicate,base_structure,family,number_of_products,number_of_operations,number_of_islands,number_of_W_AGVs,number_of_F_AGVs,number_of_configurations,number_of_precedence_edges,F_route_mean,F_route_median,R_full_op,R_high_op,F_route_min,F_route_max,F_cap_mean,R_full_island,capability_heterogeneity,capability_selectivity_mean,capability_selectivity_median,capability_selectivity_std,capability_selectivity_min,capability_selectivity_max,processing_CV_mean,processing_CV_median,processing_CV_p90,processing_min_max_ratio_mean,mean_processing_time,precedence_edge_density,mean_predecessor_count,mean_successor_count,number_of_source_operations,number_of_sink_operations,mean_ready_set_size,max_ready_set_size,mean_reconfiguration_time,median_reconfiguration_time,maximum_reconfiguration_time,nonzero_reconfiguration_std,nonzero_reconfiguration_CV,RI,configuration_diversity_entropy,nonzero_offdiagonal_reconfiguration_ratio,W_transport_intensity,F_transport_intensity,operations_per_W_AGV,operations_per_F_AGV,islands_per_W_AGV,islands_per_F_AGV,configuration_entropy
CB1_CAL_L_CF1_RI2_TI2_R07,CAL_FIT,L,CF1,RI2,TI2,R07,CB1_CAL_BASE_L_CF1_R07,Unknown,22,184,15,2,2,8,270,0.2282608695652174,0.2,0.0,0.0,0.2,0.26666666666666666,0.35,0.0,0.14577379737113252,0.35,0.3666666666666667,0.09860132971832694,0.2,0.5333333333333333,0.32347767588647675,0.3217729191878679,0.3719561089663057,0.4178085467667044,63.39047619047619,0.38571428571428573,1.4673913043478262,1.4673913043478262,22,22,12.88586956521739,25,18.492753623188406,21.0,53.0,9.89388138643722,0.3721836258220898,0.4193584735576923,0.9397849100146257,1.0,0.5508393507737379,0.9985727163461537,92.0,92.0,7.5,7.5,0.9397849100146257
CB1_CAL_L_CF1_RI2_TI2_R08,CAL_HOLDOUT,L,CF1,RI2,TI2,R08,CB1_CAL_BASE_L_CF1_R08,Unknown,22,177,15,2,2,8,249,0.22259887005649717,0.2,0.0,0.0,0.2,0.26666666666666666,0.35,0.0,0.1947220240924654,0.35000000000000003,0.4,0.11902380714238084,0.2,0.4666666666666667,0.3214323345605551,0.31908925440815566,0.37152913750428135,0.4235209420685444,61.03045685279188,0.38544891640866874,1.4067796610169492,1.4067796610169492,22,22,12.627118644067796,25,18.68831168831169,21.0,48.0,10.112615252490226,0.3935416637522256,0.42104270386521075,0.9541323430647888,1.0,0.5492902925642519,1.0005933072721729,88.5,88.5,7.5,7.5,0.9541323430647888
CB1_CAL_L_CF2_RI2_TI2_R07,CAL_FIT,L,CF2,RI2,TI2,R07,CB1_CAL_BASE_L_CF2_R07,Unknown,22,193,15,2,2,8,292,0.3682210708117444,0.4,0.0,0.0,0.3333333333333333,0.4,0.5,0.0,0.1767766952966369,0.5,0.5,0.12018504251546629,0.3333333333333333,0.7333333333333333,0.3234790256133988,0.32635697593225266,0.36663855140251944,0.3656384546027696,62.19606003752345,0.37823834196891193,1.5129533678756477,1.5129533678756477,22,22,13.487046632124352,27,20.192592592592593,20.0,51.0,10.094245234195203,0.38880988613004264,0.4174204080811824,0.972710774446729,1.0,0.5498614981297416,1.0000633474608227,96.5,96.5,7.5,7.5,0.972710774446729
CB1_CAL_L_CF2_RI2_TI2_R08,CAL_HOLDOUT,L,CF2,RI2,TI2,R08,CB1_CAL_BASE_L_CF2_R08,Unknown,22,193,15,2,2,8,281,0.35958549222797925,0.3333333333333333,0.0,0.0,0.26666666666666666,0.4,0.5,0.0,0.15811388300841897,0.5,0.5333333333333333,0.12909944487358055,0.26666666666666666,0.6666666666666666,0.3221113424143023,0.32169911656284894,0.3658973210996776,0.3701531641989506,61.964457252641694,0.3668407310704961,1.455958549222798,1.455958549222798,22,22,12.875647668393782,25,20.117424242424242,21.0,54.0,10.228458905810339,0.39288375386656166,0.4201491448451328,0.9361866197187959,1.0,0.5496472536043717,1.0021874273312146,96.5,96.5,7.5,7.5,0.9361866197187959
CB1_CAL_L_CF3_RI2_TI2_R07,CAL_FIT,L,CF3,RI2,TI2,R07,CB1_CAL_BASE_L_CF3_R07,Unknown,22,169,15,2,2,8,246,0.5001972386587771,0.5333333333333333,0.0,0.0,0.4666666666666667,0.5333333333333333,0.65,0.0,0.09354143466934854,0.65,0.6666666666666666,0.10408329997330663,0.4666666666666667,0.8,0.3229568804669951,0.31725632775947804,0.3720616928397355,0.3452413668068485,63.27444794952682,0.42634315424610053,1.455621301775148,1.455621301775148,22,22,12.568047337278106,25,21.57246376811594,21.0,53.0,9.508741335066954,0.35773564982448736,0.42008042747460933,0.9566873191776488,1.0,0.5491330999476518,1.000403828896201,84.5,84.5,7.5,7.5,0.9566873191776488
CB1_CAL_L_CF3_RI2_TI2_R08,CAL_HOLDOUT,L,CF3,RI2,TI2,R08,CB1_CAL_BASE_L_CF3_R08,Unknown,22,171,15,2,2,8,250,0.4982456140350877,0.4666666666666667,0.0,0.0,0.4666666666666667,0.5333333333333333,0.65,0.0,0.15942605391424158,0.65,0.6666666666666666,0.11902380714238084,0.4666666666666667,0.8,0.3280178964687312,0.33261175619202465,0.3705367103320583,0.33814769333990136,62.9452269170579,0.4180602006688963,1.4619883040935673,1.4619883040935673,22,22,12.461988304093568,24,21.63720930232558,22.0,55.0,9.975874824414984,0.37741916790563995,0.41991775193132663,0.9625102106499677,1.0,0.5505778864800358,1.0029884143006316,85.5,85.5,7.5,7.5,0.9625102106499677
CB1_CAL_M_CF1_RI2_TI2_R07,CAL_FIT,M,CF1,RI2,TI2,R07,CB1_CAL_BASE_M_CF1_R07,Unknown,15,111,10,2,2,6,161,0.25135135135135134,0.3,0.0,0.0,0.2,0.3,0.35,0.0,0.1740051084818425,0.35,0.35,0.09574271077563382,0.2,0.5,0.32629902439300157,0.32659863237109044,0.367816091954023,0.4684438502664341,63.88172043010753,0.4410958904109589,1.4504504504504505,1.4504504504504505,15,15,9.00900900900901,16,16.581818181818182,17.0,46.0,9.519239305481152,0.354883921476271,0.41989366020772895,0.9603442118969086,1.0,0.5495693882405639,1.004982326207709,55.5,55.5,5.0,5.0,0.9603442118969086
CB1_CAL_M_CF1_RI2_TI2_R08,CAL_HOLDOUT,M,CF1,RI2,TI2,R08,CB1_CAL_BASE_M_CF1_R08,Unknown,15,127,10,2,2,6,188,0.22125984251968506,0.2,0.0,0.0,0.2,0.3,0.35,0.0,0.13844373104863458,0.35,0.35,0.13844373104863458,0.2,0.6,0.32347677277704134,0.3235294117647059,0.36507276507276504,0.49520156352098865,61.5338078291815,0.3900414937759336,1.4803149606299213,1.4803149606299213,15,15,9.440944881889763,18,15.254901960784315,17.0,41.0,9.440809758113383,0.36404150738226415,0.42144853777495034,0.9312398222236399,1.0,0.5494527081637559,0.9970128968827714,63.5,63.5,5.0,5.0,0.9312398222236399
CB1_CAL_M_CF2_RI2_TI2_R07,CAL_FIT,M,CF2,RI2,TI2,R07,CB1_CAL_BASE_M_CF2_R07,Unknown,15,124,10,2,2,6,185,0.3379032258064516,0.3,0.0,0.0,0.3,0.4,0.5,0.0,0.14907119849998599,0.5,0.5,0.14142135623730948,0.3,0.7,0.32477441280512387,0.32429351829455133,0.3670703733098269,0.4176493772943991,63.801909307875896,0.3952991452991453,1.4919354838709677,1.4919354838709677,15,15,8.983870967741936,17,18.6734693877551,18.0,48.0,9.569767490748646,0.3555979176890207,0.4218018707875923,0.9054271867944206,1.0,0.5502568559056454,1.0007537500467587,62.0,62.0,5.0,5.0,0.9054271867944206
CB1_CAL_M_CF2_RI2_TI2_R08,CAL_HOLDOUT,M,CF2,RI2,TI2,R08,CB1_CAL_BASE_M_CF2_R08,Unknown,15,125,10,2,2,6,189,0.336,0.3,0.0,0.0,0.2,0.4,0.5,0.0,0.18257418583505539,0.5,0.5,0.15275252316519466,0.2,0.7,0.32361707238149384,0.3203586375980999,0.36386118511731563,0.42515246353455105,59.85476190476191,0.40298507462686567,1.512,1.512,15,15,8.832,17,17.686274509803923,18.0,43.0,8.130684146574508,0.32450624088323976,0.41860588461487463,0.9431300313722246,1.0,0.5498157516933124,0.9999204423405863,62.5,62.5,5.0,5.0,0.9431300313722246
