instance_id,caur_split,scale,CF_level,RI_level,TI_level,replicate,cell_replicate,base_structure,base_generation_seed,final_generation_seed,relative_path,sha256,size_bytes
CB1_CAUR_L_CF1_RI2_TI2_R12,CAUR_FIT,L,CF1,RI2,TI2,R12,C01,CB1_CAUR_BASE_L_CF1_R12,690322,690322002,r12_caur_fit/CB1_CAUR_L_CF1_RI2_TI2_R12.json,c0b6374d4eb72ada83b8a8452425b71b4322e61123edbb755f2cd08927288b7a,109504
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,CAUR_FIT,L,CF1,RI2,TI2,R12,C02,CB1_CAUR_BASE_L_CF1_R12_C02,695322,695322001,r12_caur_fit/CB1_CAUR_L_CF1_RI2_TI2_R12_C02.json,dd5c1ce71a5d72aad6c85617cb1718c9e57f3a6cfe23a0d18a92f0942ba56dc1,112011
CB1_CAUR_L_CF1_RI2_TI2_R13,CAUR_SELECT,L,CF1,RI2,TI2,R13,C01,CB1_CAUR_BASE_L_CF1_R13,690323,690323001,r13_caur_select/CB1_CAUR_L_CF1_RI2_TI2_R13.json,a6262c82a23b89dd356a9dcdacc734379d544037fdcb6bd2519fce959cde454b,112813
CB1_CAUR_L_CF1_RI2_TI2_R13_C02,CAUR_SELECT,L,CF1,RI2,TI2,R13,C02,CB1_CAUR_BASE_L_CF1_R13_C02,695323,695323001,r13_caur_select/CB1_CAUR_L_CF1_RI2_TI2_R13_C02.json,9ef0322790a12d0e20cc6f54c0d093bcebf6f2a55a8bbb3a9ba3d39c35323ef4,110476
CB1_CAUR_L_CF1_RI2_TI2_R14,CAUR_HOLDOUT,L,CF1,RI2,TI2,R14,C01,CB1_CAUR_BASE_L_CF1_R14,690324,690324001,r14_caur_holdout/CB1_CAUR_L_CF1_RI2_TI2_R14.json,8eacf49792b3b2db4c8d909cabe88f82f737371ed212516947fb956e57d47920,112587
CB1_CAUR_L_CF1_RI2_TI2_R14_C02,CAUR_HOLDOUT,L,CF1,RI2,TI2,R14,C02,CB1_CAUR_BASE_L_CF1_R14_C02,695324,695324001,r14_caur_holdout/CB1_CAUR_L_CF1_RI2_TI2_R14_C02.json,ed63a0c325f4c277bab04cc763f099c8b277e4a14ef6fa463ae7ec9e149a2883,109008
CB1_CAUR_L_CF2_RI2_TI2_R12,CAUR_FIT,L,CF2,RI2,TI2,R12,C01,CB1_CAUR_BASE_L_CF2_R12,690332,690332001,r12_caur_fit/CB1_CAUR_L_CF2_RI2_TI2_R12.json,74b633a78dfe171189160ec0651f63c472fd7c4b456c8aa149cbc69f56bbcc8c,136415
CB1_CAUR_L_CF2_RI2_TI2_R12_C02,CAUR_FIT,L,CF2,RI2,TI2,R12,C02,CB1_CAUR_BASE_L_CF2_R12_C02,695332,695332001,r12_caur_fit/CB1_CAUR_L_CF2_RI2_TI2_R12_C02.json,48a9ab11246faafcf8189c16695cbf926f0ae8bdbc42dfab76d38b2d7830b091,139513
CB1_CAUR_L_CF2_RI2_TI2_R13,CAUR_SELECT,L,CF2,RI2,TI2,R13,C01,CB1_CAUR_BASE_L_CF2_R13,690333,690333001,r13_caur_select/CB1_CAUR_L_CF2_RI2_TI2_R13.json,958bf9ff8c096bdc220b66648b9b0359bf01623f7b174c2e248f170e77197e43,139856
CB1_CAUR_L_CF2_RI2_TI2_R13_C02,CAUR_SELECT,L,CF2,RI2,TI2,R13,C02,CB1_CAUR_BASE_L_CF2_R13_C02,695333,695333001,r13_caur_select/CB1_CAUR_L_CF2_RI2_TI2_R13_C02.json,08dc08f31be68b55ed56004acab62ba0135278162b56d79f45625974cbe3cfbb,135824
