instance_id,caur_split,scale,CF_level,RI_level,TI_level,replicate,cell_replicate,base_structure,family,number_of_products,number_of_operations,number_of_islands,number_of_W_AGVs,number_of_F_AGVs,number_of_configurations,number_of_precedence_edges,F_route_mean,F_route_median,R_full_op,R_high_op,F_route_min,F_route_max,F_cap_mean,R_full_island,capability_heterogeneity,capability_selectivity_mean,capability_selectivity_median,capability_selectivity_std,capability_selectivity_min,capability_selectivity_max,processing_CV_mean,processing_CV_median,processing_CV_p90,processing_min_max_ratio_mean,mean_processing_time,precedence_edge_density,mean_predecessor_count,mean_successor_count,number_of_source_operations,number_of_sink_operations,mean_ready_set_size,max_ready_set_size,mean_reconfiguration_time,median_reconfiguration_time,maximum_reconfiguration_time,nonzero_reconfiguration_std,nonzero_reconfiguration_CV,RI,configuration_diversity_entropy,nonzero_offdiagonal_reconfiguration_ratio,W_transport_intensity,F_transport_intensity,operations_per_W_AGV,operations_per_F_AGV,islands_per_W_AGV,islands_per_F_AGV,configuration_entropy
CB1_CAUR_L_CF1_RI2_TI2_R12,CAUR_FIT,L,CF1,RI2,TI2,R12,C01,CB1_CAUR_BASE_L_CF1_R12,Unknown,22,166,15,2,2,8,235,0.23373493975903614,0.26666666666666666,0.0,0.0,0.2,0.26666666666666666,0.35,0.0,0.15942605391424158,0.35,0.3333333333333333,0.09860132971832694,0.2,0.4666666666666667,0.3257509038640175,0.32587140280949345,0.3687967301850788,0.41175033977907605,61.692439862542955,0.4211469534050179,1.4156626506024097,1.4156626506024097,22,22,12.801204819277109,24,18.218309859154928,21.0,52.0,10.730941244830296,0.4148025220266833,0.41933825372510797,0.9588250234722915,1.0,0.5499179692939702,1.0001225456064615,83.0,83.0,7.5,7.5,0.9588250234722915
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,CAUR_FIT,L,CF1,RI2,TI2,R12,C02,CB1_CAUR_BASE_L_CF1_R12_C02,Unknown,22,172,15,2,2,8,251,0.22868217054263568,0.2,0.0,0.0,0.2,0.26666666666666666,0.35,0.0,0.17795130420052185,0.35,0.3333333333333333,0.0927960727138337,0.2,0.5333333333333333,0.32731650195336975,0.3296052956355213,0.3682013993363391,0.4124510386798747,62.73220338983051,0.41487603305785126,1.4593023255813953,1.4593023255813953,22,22,12.668604651162791,25,18.83108108108108,21.0,48.0,10.195232867811656,0.38776271402512935,0.4191221001245899,0.9382263929321762,1.0,0.5497699648087107,0.9994866529774128,86.0,86.0,7.5,7.5,0.9382263929321762
CB1_CAUR_L_CF1_RI2_TI2_R13,CAUR_SELECT,L,CF1,RI2,TI2,R13,C01,CB1_CAUR_BASE_L_CF1_R13,Unknown,22,175,15,2,2,8,253,0.21866666666666668,0.2,0.0,0.0,0.13333333333333333,0.26666666666666666,0.35,0.0,0.20514222708485286,0.35,0.3666666666666667,0.10408329997330665,0.13333333333333333,0.4666666666666667,0.3278469693778746,0.3304867113278891,0.3714117844255107,0.42241488102550423,62.59407665505226,0.4009508716323296,1.4457142857142857,1.4457142857142857,22,22,13.06857142857143,24,19.28481012658228,21.0,53.0,10.424075050855782,0.3968469661632001,0.41964420250282886,0.9631953408790419,1.0,0.5499846485429597,1.0027572898401478,87.5,87.5,7.5,7.5,0.9631953408790419
CB1_CAUR_L_CF1_RI2_TI2_R13_C02,CAUR_SELECT,L,CF1,RI2,TI2,R13,C02,CB1_CAUR_BASE_L_CF1_R13_C02,Unknown,22,169,15,2,2,8,241,0.23471400394477318,0.26666666666666666,0.0,0.0,0.2,0.26666666666666666,0.35,0.0,0.1136515141415488,0.35,0.33333333333333337,0.08660254037844388,0.26666666666666666,0.4666666666666667,0.32309508069303533,0.3237831269196155,0.36711022743502364,0.4144122211822699,61.9781512605042,0.40640809443507586,1.4260355029585798,1.4260355029585798,22,22,12.461538461538462,25,17.746153846153845,20.0,49.0,9.264360920455486,0.353386979193794,0.422986303362283,0.9141775360175715,1.0,0.5498409408303279,1.0008903471902089,84.5,84.5,7.5,7.5,0.9141775360175715
CB1_CAUR_L_CF2_RI2_TI2_R12,CAUR_FIT,L,CF2,RI2,TI2,R12,C01,CB1_CAUR_BASE_L_CF2_R12,Unknown,22,188,15,2,2,8,288,0.35602836879432626,0.3333333333333333,0.0,0.0,0.26666666666666666,0.4,0.5,0.0,0.10206207261596575,0.5,0.5333333333333333,0.1247219128924647,0.26666666666666666,0.6666666666666666,0.3269591807904865,0.32843837829663697,0.36558976754522066,0.36455706499287294,62.646414342629484,0.3956043956043956,1.5319148936170213,1.5319148936170213,22,22,13.191489361702128,26,20.008,21.0,53.0,9.642495970020208,0.3662683395249579,0.4202365939970361,0.9540002972828131,1.0,0.5498369357839007,1.0003232798596646,94.0,94.0,7.5,7.5,0.9540002972828131
CB1_CAUR_L_CF2_RI2_TI2_R12_C02,CAUR_FIT,L,CF2,RI2,TI2,R12,C02,CB1_CAUR_BASE_L_CF2_R12_C02,Unknown,22,194,15,2,2,8,290,0.3618556701030928,0.3333333333333333,0.0,0.0,0.3333333333333333,0.4,0.5,0.0,0.13693063937629152,0.5,0.43333333333333335,0.14907119849998599,0.3333333333333333,0.8,0.3210396959219057,0.3191123245901449,0.3671027318428527,0.37030914107748103,62.896486229819565,0.37467700258397935,1.4948453608247423,1.4948453608247423,22,22,13.030927835051546,26,20.344961240310077,21.0,52.0,10.095873694057518,0.3808312043100378,0.42148779048220386,0.9564288847970814,1.0,0.5487687320700588,0.9989959232975992,97.0,97.0,7.5,7.5,0.9564288847970814
CB1_CAUR_L_CF2_RI2_TI2_R13,CAUR_SELECT,L,CF2,RI2,TI2,R13,C01,CB1_CAUR_BASE_L_CF2_R13,Unknown,22,194,15,2,2,8,287,0.36529209621993125,0.3333333333333333,0.0,0.0,0.3333333333333333,0.4,0.5,0.0,0.12909944487358058,0.5,0.5,0.08819171036881966,0.4,0.6,0.32590178708260253,0.32822428077974075,0.3656853121493676,0.3630428579885934,61.733772342427095,0.36936936936936937,1.4793814432989691,1.4793814432989691,22,22,13.216494845360824,27,19.86328125,20.0,50.0,10.114240983824926,0.3898507832506756,0.42025420716417555,0.9710224532974152,1.0,0.5499294383257395,0.9994529357085169,97.0,97.0,7.5,7.5,0.9710224532974152
CB1_CAUR_L_CF2_RI2_TI2_R13_C02,CAUR_SELECT,L,CF2,RI2,TI2,R13,C02,CB1_CAUR_BASE_L_CF2_R13_C02,Unknown,22,183,15,2,2,8,268,0.37012750455373405,0.4,0.0,0.0,0.3333333333333333,0.4,0.5,0.0,0.19364916731037085,0.5,0.5,0.08164965809277258,0.4,0.6666666666666666,0.32659779743179,0.3253000243161777,0.36933225543178205,0.3613427118671469,63.06496062992126,0.39067055393586003,1.46448087431694,1.46448087431694,22,22,13.650273224043715,27,20.77173913043478,22.0,50.0,10.590794613982256,0.3990252287842608,0.4208623362570362,0.9635826139658418,1.0,0.549160931110903,0.9994984965300537,91.5,91.5,7.5,7.5,0.9635826139658418
CB1_CAUR_L_CF3_RI2_TI2_R12,CAUR_FIT,L,CF3,RI2,TI2,R12,C01,CB1_CAUR_BASE_L_CF3_R12,Unknown,22,183,15,2,2,8,266,0.4972677595628415,0.4666666666666667,0.0,0.0,0.4666666666666667,0.5333333333333333,0.65,0.0,0.13844373104863458,0.65,0.6333333333333333,0.11426091000668408,0.4666666666666667,0.8,0.32820621215261275,0.3333333333333333,0.36955014287230387,0.337828369271338,61.577289377289375,0.3855072463768116,1.453551912568306,1.453551912568306,22,22,13.120218579234972,25,21.117924528301888,21.0,51.0,9.740402380696239,0.37638811969185826,0.42026229115417063,0.9712051023430266,1.0,0.5503753955837388,0.9982035144492166,91.5,91.5,7.5,7.5,0.9712051023430266
CB1_CAUR_L_CF3_RI2_TI2_R12_C02,CAUR_FIT,L,CF3,RI2,TI2,R12,C02,CB1_CAUR_BASE_L_CF3_R12_C02,Unknown,22,179,15,2,2,8,251,0.49757914338919923,0.4666666666666667,0.0,0.0,0.4666666666666667,0.5333333333333333,0.65,0.0,0.15275252316519466,0.65,0.6333333333333333,0.1481365736219265,0.4666666666666667,0.8666666666666667,0.3234243754914183,0.3230834716330212,0.3679012645677098,0.3441334696380693,63.471556886227546,0.38088012139605465,1.4022346368715084,1.4022346368715084,22,22,12.625698324022347,24,21.740654205607477,21.0,53.0,10.18078422062558,0.3829419105017682,0.41886028309293005,0.9477177890743737,1.0,0.5490279104460011,1.0009732933952844,89.5,89.5,7.5,7.5,0.9477177890743737
CB1_CAUR_L_CF3_RI2_TI2_R13,CAUR_SELECT,L,CF3,RI2,TI2,R13,C01,CB1_CAUR_BASE_L_CF3_R13,Unknown,22,193,15,2,2,8,290,0.5008635578583766,0.5333333333333333,0.0,0.0,0.4666666666666667,0.5333333333333333,0.65,0.0,0.1224744871391589,0.65,0.6333333333333333,0.10408329997330665,0.5333333333333333,0.8666666666666667,0.32286131923736283,0.3225806451612903,0.36644391754949784,0.3446607174388682,62.66965517241379,0.37037037037037035,1.5025906735751295,1.5025906735751295,22,22,12.699481865284975,24,21.423809523809524,21.0,54.0,10.382050721777592,0.39460561756478507,0.41981947161006666,0.9551075579970592,1.0,0.5494460382025069,0.9999523133526281,96.5,96.5,7.5,7.5,0.9551075579970592
CB1_CAUR_L_CF3_RI2_TI2_R13_C02,CAUR_SELECT,L,CF3,RI2,TI2,R13,C02,CB1_CAUR_BASE_L_CF3_R13_C02,Unknown,22,191,15,2,2,8,283,0.4956369982547993,0.4666666666666667,0.0,0.0,0.4666666666666667,0.5333333333333333,0.65,0.0,0.1136515141415488,0.65,0.6666666666666666,0.09860132971832693,0.4666666666666667,0.8,0.3247430209201369,0.3251666239535253,0.36363636363636365,0.3429538457908987,62.349295774647885,0.3753315649867374,1.4816753926701571,1.4816753926701571,22,22,13.612565445026178,26,21.3133971291866,21.0,53.0,10.21979006616769,0.39002453951027216,0.42026041915817564,0.9454798407821307,1.0,0.5497631260165357,1.0013478509683442,95.5,95.5,7.5,7.5,0.9454798407821307
CB1_CAUR_M_CF1_RI2_TI2_R12,CAUR_FIT,M,CF1,RI2,TI2,R12,C01,CB1_CAUR_BASE_M_CF1_R12,Unknown,15,114,10,2,2,6,160,0.2280701754385965,0.2,0.0,0.0,0.2,0.3,0.35,0.0,0.1740051084818425,0.35000000000000003,0.4,0.11180339887498948,0.2,0.5,0.32593456690249006,0.3221280602636535,0.37132163913357735,0.4872569417169102,64.8423076923077,0.4050632911392405,1.4035087719298245,1.4035087719298245,15,15,9.62280701754386,18,16.90909090909091,20.0,46.0,9.57902841978914,0.35020103900304383,0.42183787329511546,0.976213626966846,1.0,0.5499674254965466,1.0001186309982797,57.0,57.0,5.0,5.0,0.976213626966846
CB1_CAUR_M_CF1_RI2_TI2_R12_C02,CAUR_FIT,M,CF1,RI2,TI2,R12,C02,CB1_CAUR_BASE_M_CF1_R12_C02,Unknown,15,117,10,2,2,6,176,0.24017094017094018,0.2,0.0,0.0,0.2,0.3,0.35,0.0,0.15723301886761007,0.35000000000000003,0.4,0.07637626158259735,0.2,0.4,0.3211773219189945,0.32075471698113206,0.36433566433566433,0.48344815892763165,62.34163701067616,0.4261501210653753,1.5042735042735043,1.5042735042735043,15,15,9.692307692307692,18,15.660377358490566,18.0,49.0,9.666105407556861,0.37266912414677056,0.41605420139285304,0.9743646445764497,1.0,0.5490937774511034,0.9969260189519351,58.5,58.5,5.0,5.0,0.9743646445764497
CB1_CAUR_M_CF1_RI2_TI2_R13,CAUR_SELECT,M,CF1,RI2,TI2,R13,C01,CB1_CAUR_BASE_M_CF1_R13,Unknown,15,129,10,2,2,6,191,0.2534883720930233,0.3,0.0,0.0,0.2,0.3,0.35,0.0,0.21666666666666667,0.35,0.3,0.07637626158259735,0.3,0.5,0.32635683368063206,0.3275862068965517,0.3698854136054793,0.46632520714765785,63.62691131498471,0.3767258382642998,1.4806201550387597,1.4806201550387597,15,15,9.674418604651162,17,17.672131147540984,18.0,47.0,8.37242497726913,0.310665119750246,0.42356291454388156,0.9460525291945878,1.0,0.5493023706607201,0.9995770450831492,64.5,64.5,5.0,5.0,0.9460525291945878
CB1_CAUR_M_CF1_RI2_TI2_R13_C02,CAUR_SELECT,M,CF1,RI2,TI2,R13,C02,CB1_CAUR_BASE_M_CF1_R13_C02,Unknown,15,124,10,2,2,6,185,0.23629032258064517,0.2,0.0,0.0,0.2,0.3,0.35,0.0,0.11666666666666667,0.35,0.35,0.12583057392117916,0.2,0.5,0.326689121908922,0.3287593984962406,0.36652621242744626,0.4799300622235976,61.33105802047782,0.3961456102783726,1.4919354838709677,1.4919354838709677,15,15,10.435483870967742,20,14.73469387755102,20.0,52.0,7.4227312207509035,0.2878621526052982,0.420434851737022,0.9415489778180697,1.0,0.5505953448585107,1.0003088480801334,62.0,62.0,5.0,5.0,0.9415489778180697
CB1_CAUR_M_CF2_RI2_TI2_R12,CAUR_FIT,M,CF2,RI2,TI2,R12,C01,CB1_CAUR_BASE_M_CF2_R12,Unknown,15,122,10,2,2,6,176,0.3475409836065574,0.3,0.0,0.0,0.3,0.4,0.5,0.0,0.16666666666666666,0.5,0.5,0.0,0.5,0.5,0.32308324472293964,0.3192637684540628,0.3661173595376669,0.4162443796070494,61.033018867924525,0.38596491228070173,1.4426229508196722,1.4426229508196722,15,15,9.385245901639344,18,18.12,18.0,48.0,8.578282973620665,0.3313906226012398,0.4241263952833626,0.9314693751793749,1.0,0.5503050231250388,0.9994589999227144,61.0,61.0,5.0,5.0,0.9314693751793749
CB1_CAUR_M_CF2_RI2_TI2_R12_C02,CAUR_FIT,M,CF2,RI2,TI2,R12,C02,CB1_CAUR_BASE_M_CF2_R12_C02,Unknown,15,127,10,2,2,6,182,0.34488188976377954,0.3,0.0,0.0,0.3,0.4,0.5,0.0,0.12909944487358055,0.5,0.55,0.11547005383792515,0.3,0.6,0.3219011563583368,0.32256655048996585,0.3648832126737968,0.4187730299469701,61.87899543378995,0.37448559670781895,1.4330708661417322,1.4330708661417322,15,15,9.67716535433071,18,17.916666666666668,17.0,46.0,9.359614709563552,0.359148006297206,0.4211543170330021,0.9577276165411431,1.0,0.5507950539463321,0.9995314171862894,63.5,63.5,5.0,5.0,0.9577276165411431
CB1_CAUR_M_CF2_RI2_TI2_R13,CAUR_SELECT,M,CF2,RI2,TI2,R13,C01,CB1_CAUR_BASE_M_CF2_R13,Unknown,15,119,10,2,2,6,178,0.3378151260504202,0.3,0.0,0.0,0.3,0.4,0.5,0.0,0.10540925533894598,0.5,0.5,0.12909944487358055,0.3,0.7,0.32301950377066124,0.31989702239669504,0.36641939707149024,0.4200557836861802,61.58457711442786,0.413953488372093,1.495798319327731,1.495798319327731,15,15,9.092436974789916,16,17.74468085106383,18.0,48.0,8.76048478966775,0.33613370895607675,0.423198489316153,0.9698062719959357,1.0,0.5495365364566729,1.0002504342206244,59.5,59.5,5.0,5.0,0.9698062719959357
CB1_CAUR_M_CF2_RI2_TI2_R13_C02,CAUR_SELECT,M,CF2,RI2,TI2,R13,C02,CB1_CAUR_BASE_M_CF2_R13_C02,Unknown,15,116,10,2,2,6,172,0.3448275862068966,0.3,0.0,0.0,0.3,0.4,0.5,0.0,0.18257418583505539,0.5,0.5,0.14142135623730948,0.3,0.7,0.3262807639329311,0.32722946012192045,0.37043455515503176,0.4133883211572801,61.7875,0.4236453201970443,1.4827586206896552,1.4827586206896552,15,15,9.431034482758621,18,18.41176470588235,25.0,43.0,7.319589393462511,0.28062323553210905,0.4221457954009036,0.9519237675516639,1.0,0.550406869719764,0.9985838559579203,58.0,58.0,5.0,5.0,0.9519237675516639
