instance_id,live_revision_split,scale,CF_level,RI_level,TI_level,replicate,base_structure,base_generation_seed,final_generation_seed,relative_path,sha256,size_bytes,cell_replicate
CB1_LIVE_REV_L_CF1_RI2_TI2_R09,LIVE_REV_FIT,L,CF1,RI2,TI2,R09,CB1_LIVE_REV_BASE_L_CF1_R09,680319,680319001,r09_live_rev_fit/CB1_LIVE_REV_L_CF1_RI2_TI2_R09.json,213b2ebd7f3aed3dc922c6172ed8c63b2ce8bf098b1b780241dcff42c7e0348b,113929,C01
CB1_LIVE_REV_L_CF1_RI2_TI2_R09_C02,LIVE_REV_FIT,L,CF1,RI2,TI2,R09,CB1_LIVE_REV_BASE_L_CF1_R09_C02,690319,690319001,r09_live_rev_fit/CB1_LIVE_REV_L_CF1_RI2_TI2_R09_C02.json,211aadbefd6894e406e6548ad5bf8ce5b5767297cc2d50e1f94a78131492017b,116632,C02
CB1_LIVE_REV_L_CF1_RI2_TI2_R10,LIVE_REV_SELECT,L,CF1,RI2,TI2,R10,CB1_LIVE_REV_BASE_L_CF1_R10,680320,680320001,r10_live_rev_select/CB1_LIVE_REV_L_CF1_RI2_TI2_R10.json,3418a0dc7d67f27e82649af2bb4b619cf982d3dac0e0cab5e1243c974a12ef47,120181,C01
CB1_LIVE_REV_L_CF1_RI2_TI2_R10_C02,LIVE_REV_SELECT,L,CF1,RI2,TI2,R10,CB1_LIVE_REV_BASE_L_CF1_R10_C02,690320,690320001,r10_live_rev_select/CB1_LIVE_REV_L_CF1_RI2_TI2_R10_C02.json,d250a303379d1bffc8234c5889565c54f249d8fbad2d7340463085909b09c780,117884,C02
CB1_LIVE_REV_L_CF1_RI2_TI2_R11,LIVE_REV_HOLDOUT,L,CF1,RI2,TI2,R11,CB1_LIVE_REV_BASE_L_CF1_R11,680321,680321001,r11_live_rev_holdout/CB1_LIVE_REV_L_CF1_RI2_TI2_R11.json,9560525fac902dc9d470db0997b4db00a9bd3505ac71a8eb71a7a5a9e8636015,113625,C01
CB1_LIVE_REV_L_CF1_RI2_TI2_R11_C02,LIVE_REV_HOLDOUT,L,CF1,RI2,TI2,R11,CB1_LIVE_REV_BASE_L_CF1_R11_C02,690321,690321001,r11_live_rev_holdout/CB1_LIVE_REV_L_CF1_RI2_TI2_R11_C02.json,3dd2c8eaceb57188e9c5bf5701f835bf6179c9370dc5f1304a70aaa1deb3f32d,119207,C02
CB1_LIVE_REV_L_CF2_RI2_TI2_R09,LIVE_REV_FIT,L,CF2,RI2,TI2,R09,CB1_LIVE_REV_BASE_L_CF2_R09,680329,680329001,r09_live_rev_fit/CB1_LIVE_REV_L_CF2_RI2_TI2_R09.json,005db57690d627bd0b6a4e849d7f98f7cd2ab88a051a253a3ef79d491af54dbe,128926,C01
CB1_LIVE_REV_L_CF2_RI2_TI2_R09_C02,LIVE_REV_FIT,L,CF2,RI2,TI2,R09,CB1_LIVE_REV_BASE_L_CF2_R09_C02,690329,690329001,r09_live_rev_fit/CB1_LIVE_REV_L_CF2_RI2_TI2_R09_C02.json,fd700fe200b225aa23a4d2416bc390c5dbe33536e0fbd13bdae145f39b5664e0,127061,C02
CB1_LIVE_REV_L_CF2_RI2_TI2_R10,LIVE_REV_SELECT,L,CF2,RI2,TI2,R10,CB1_LIVE_REV_BASE_L_CF2_R10,680330,680330001,r10_live_rev_select/CB1_LIVE_REV_L_CF2_RI2_TI2_R10.json,3f08d8113b34f682ee2cd78b523e59095abcbf60350889b41282fde7fbcaa06d,134274,C01
CB1_LIVE_REV_L_CF2_RI2_TI2_R10_C02,LIVE_REV_SELECT,L,CF2,RI2,TI2,R10,CB1_LIVE_REV_BASE_L_CF2_R10_C02,690330,690330001,r10_live_rev_select/CB1_LIVE_REV_L_CF2_RI2_TI2_R10_C02.json,5e5537ec9286e7358989c2fb253b3b22dc99dc9fe9c4a1385f6567a7c826ff85,136777,C02
