instance_id,suite,scale,CF_level,RI_level,TI_level,replicate,base_structure,base_seed,accepted_attempt,final_seed,target_F_cap,realized_F_cap,target_F_route,realized_F_route,target_processing_CV,realized_processing_CV,target_RI,realized_RI,realized_W_TI,realized_F_TI,configuration_entropy,R_full_op,R_full_island,number_of_operations,relative_path
CB1_CORE_S_CF1_R01,CORE,S,CF1,BASE,BASE,R01,,552111,1,552111001,0.35,0.34285714285714286,0.25,0.2857142857142857,0.20-0.45,0.3215943759005633,0.42,0.42010993176648975,0.5498641647712914,1.0072565796599156,0.9490578725440902,0.0,0.0,62,core/CB1_CORE_S_CF1_R01.json
CB1_CORE_S_CF1_R02,CORE,S,CF1,BASE,BASE,R02,,552112,1,552112001,0.35,0.34285714285714286,0.25,0.2857142857142857,0.20-0.45,0.32704989196098644,0.42,0.4189402926057731,0.5501000889679716,1.000169462802915,0.8711528896217989,0.0,0.0,65,core/CB1_CORE_S_CF1_R02.json
CB1_CORE_S_CF1_R03,CORE,S,CF1,BASE,BASE,R03,,552113,1,552113001,0.35,0.34285714285714286,0.25,0.2857142857142857,0.20-0.45,0.3254748450200563,0.42,0.42009389307053624,0.5518909560021728,0.9975750756576395,0.93316878366641,0.0,0.0,61,core/CB1_CORE_S_CF1_R03.json
CB1_CORE_S_CF1_R04,CORE,S,CF1,BASE,BASE,R04,,552114,1,552114001,0.35,0.34285714285714286,0.25,0.2857142857142857,0.20-0.45,0.3298433227570076,0.42,0.42093908629441623,0.5505155456852792,1.0003625815808557,0.9732248336067069,0.0,0.0,62,core/CB1_CORE_S_CF1_R04.json
CB1_CORE_S_CF1_R05,CORE,S,CF1,BASE,BASE,R05,,552115,1,552115001,0.35,0.34285714285714286,0.25,0.2857142857142857,0.20-0.45,0.33161155435196715,0.42,0.42375068643602415,0.54957784184514,0.9989605397348397,0.9623586736879324,0.0,0.0,61,core/CB1_CORE_S_CF1_R05.json
CB1_CORE_S_CF2_R01,CORE,S,CF2,BASE,BASE,R01,,552121,1,552121001,0.5,0.5142857142857142,0.38,0.33035714285714285,0.20-0.45,0.32549192968278307,0.42,0.41889464359571094,0.5501561024241789,0.9973464461868282,0.9047336746388583,0.0,0.0,64,core/CB1_CORE_S_CF2_R01.json
CB1_CORE_S_CF2_R02,CORE,S,CF2,BASE,BASE,R02,,552122,1,552122001,0.5,0.5142857142857143,0.38,0.36507936507936506,0.20-0.45,0.31791117653124695,0.42,0.4201469985658677,0.5504379225568531,1.0013316943249335,0.9611951398891327,0.0,0.0,63,core/CB1_CORE_S_CF2_R02.json
CB1_CORE_S_CF2_R03,CORE,S,CF2,BASE,BASE,R03,,552123,1,552123001,0.5,0.5142857142857143,0.38,0.3448275862068965,0.20-0.45,0.3267596029310771,0.42,0.4161729857819905,0.5497136650868879,0.9986459038591741,0.938997264123094,0.0,0.0,58,core/CB1_CORE_S_CF2_R03.json
CB1_CORE_S_CF2_R04,CORE,S,CF2,BASE,BASE,R04,,552124,1,552124001,0.5,0.5142857142857143,0.38,0.3526785714285714,0.20-0.45,0.317830165793237,0.42,0.41826341266639777,0.5484727964905204,0.999279663458768,0.9500202898251632,0.0,0.0,64,core/CB1_CORE_S_CF2_R04.json
CB1_CORE_S_CF2_R05,CORE,S,CF2,BASE,BASE,R05,,552125,1,552125001,0.5,0.5142857142857143,0.38,0.34382566585956414,0.20-0.45,0.32510272954934083,0.42,0.41909180759938497,0.551154458598726,0.9991371466223211,0.9228747303661313,0.0,0.0,59,core/CB1_CORE_S_CF2_R05.json
CB1_CORE_S_CF3_R01,CORE,S,CF3,BASE,BASE,R01,,552131,1,552131001,0.65,0.6571428571428571,0.52,0.4879120879120879,0.20-0.45,0.322768124058377,0.42,0.41488277268093776,0.5499305890873973,0.9992067324273988,0.8863292295616482,0.0,0.0,65,core/CB1_CORE_S_CF3_R01.json
