AGV,工序,出发位置,目标机器,返回位置,开始运输,到达机器,返回仓库
AGV1,o6_10,Warehouse,M3,Warehouse,0,6,12
AGV1,o15_8,Warehouse,M6,Warehouse,12,17,22
AGV1,o16_14,Warehouse,M6,Warehouse,22,27,32
AGV1,o19_8,Warehouse,M9,Warehouse,32,38,44
AGV1,o5_6,Warehouse,M1,Warehouse,44,53,62
AGV1,o7_11,Warehouse,M6,Warehouse,62,67,72
AGV1,o14_9,Warehouse,M8,Warehouse,72,75,78
AGV1,o7_14,Warehouse,M1,Warehouse,78,87,96
AGV1,o18_9,Warehouse,M9,Warehouse,96,102,108
AGV1,o2_4,Warehouse,M2,Warehouse,108,115,122
AGV1,o13_7,Warehouse,M6,Warehouse,122,127,132
AGV1,o16_1,Warehouse,M6,Warehouse,132,137,142
AGV1,o20_6,Warehouse,M5,Warehouse,142,151,160
AGV1,o20_9,Warehouse,M6,Warehouse,160,165,170
AGV1,o20_1,Warehouse,M3,Warehouse,170,176,182
AGV1,o14_1,Warehouse,M2,Warehouse,182,189,196
AGV1,o7_1,Warehouse,M2,Warehouse,196,203,210
AGV1,o17_7,Warehouse,M8,Warehouse,210,213,216
AGV1,o12_5,Warehouse,M3,Warehouse,216,222,228
AGV1,o9_9,Warehouse,M9,Warehouse,228,234,240
AGV1,o18_4,Warehouse,M6,Warehouse,240,245,250
AGV1,o4_11,Warehouse,M8,Warehouse,250,253,256
AGV1,o5_12,Warehouse,M2,Warehouse,256,263,270
AGV1,o2_8,Warehouse,M9,Warehouse,270,276,282
AGV1,o19_6,Warehouse,M5,Warehouse,282,291,300
AGV1,o5_5,Warehouse,M3,Warehouse,300,306,312
AGV1,o13_1,Warehouse,M2,Warehouse,312,319,326
AGV1,o20_11,Warehouse,M6,Warehouse,326,331,336
AGV1,o4_5,Warehouse,M9,Warehouse,336,342,348
AGV1,o4_2,Warehouse,M3,Warehouse,348,354,360
AGV1,o6_5,Warehouse,M2,Warehouse,360,367,374
AGV1,o20_4,Warehouse,M2,Warehouse,374,381,388
AGV1,o8_2,Warehouse,M6,Warehouse,388,393,398
AGV1,o6_8,Warehouse,M2,Warehouse,398,405,412
AGV1,o17_8,Warehouse,M5,Warehouse,412,421,430
AGV1,o18_1,Warehouse,M6,Warehouse,430,435,440
AGV1,o9_11,Warehouse,M2,Warehouse,440,447,454
AGV1,o1_12,Warehouse,M6,Warehouse,454,459,464
AGV1,o2_6,Warehouse,M5,Warehouse,464,473,482
AGV1,o4_8,Warehouse,M6,Warehouse,482,487,492
AGV1,o20_3,Warehouse,M3,Warehouse,492,498,504
AGV1,o18_3,Warehouse,M8,Warehouse,504,507,510
AGV1,o20_7,Warehouse,M2,Warehouse,510,517,524
AGV1,o11_7,Warehouse,M8,Warehouse,524,527,530
AGV1,o18_5,Warehouse,M2,Warehouse,530,537,544
AGV1,o5_10,Warehouse,M9,Warehouse,544,550,556
AGV1,o2_1,Warehouse,M6,Warehouse,556,561,566
AGV1,o7_13,Warehouse,M3,Warehouse,566,572,578
AGV1,o11_3,Warehouse,M6,Warehouse,578,583,588
AGV1,o9_2,Warehouse,M2,Warehouse,588,595,602
AGV1,o10_5,Warehouse,M3,Warehouse,602,608,614
AGV1,o14_2,Warehouse,M8,Warehouse,614,617,620
AGV1,o8_5,Warehouse,M3,Warehouse,620,626,632
AGV1,o10_10,Warehouse,M3,Warehouse,632,638,644
AGV1,o19_13,Warehouse,M2,Warehouse,644,651,658
AGV1,o15_7,Warehouse,M2,Warehouse,658,665,672
AGV1,o17_2,Warehouse,M3,Warehouse,672,678,684
AGV1,o14_3,Warehouse,M1,Warehouse,684,693,702
AGV1,o7_8,Warehouse,M8,Warehouse,702,705,708
AGV1,o15_2,Warehouse,M5,Warehouse,708,717,726
AGV1,o11_9,Warehouse,M8,Warehouse,726,729,732
AGV1,o3_8,Warehouse,M8,Warehouse,732,735,738
AGV1,o2_11,Warehouse,M3,Warehouse,738,744,750
AGV1,o13_2,Warehouse,M9,Warehouse,750,756,762
AGV1,o16_3,Warehouse,M2,Warehouse,762,769,776
AGV1,o12_10,Warehouse,M8,Warehouse,776,779,782
AGV1,o10_4,Warehouse,M9,Warehouse,782,788,794
AGV1,o9_3,Warehouse,M9,Warehouse,794,800,806
AGV1,o3_6,Warehouse,M9,Warehouse,806,812,818
AGV1,o9_7,Warehouse,M6,Warehouse,818,823,828
AGV1,o5_11,Warehouse,M6,Warehouse,828,833,838
AGV1,o10_6,Warehouse,M6,Warehouse,838,843,848
AGV1,o12_3,Warehouse,M9,Warehouse,848,854,860
AGV1,o10_7,Warehouse,M8,Warehouse,860,863,866
AGV1,o15_3,Warehouse,M9,Warehouse,866,872,878
AGV1,o17_3,Warehouse,M8,Warehouse,878,881,884
AGV1,o11_4,Warehouse,M9,Warehouse,884,890,896
AGV1,o14_4,Warehouse,M6,Warehouse,896,901,906
AGV1,o15_6,Warehouse,M9,Warehouse,906,912,918
AGV1,o16_5,Warehouse,M2,Warehouse,918,925,932
AGV1,o12_6,Warehouse,M8,Warehouse,932,935,938
AGV1,o3_9,Warehouse,M8,Warehouse,938,941,944
AGV1,o4_7,Warehouse,M3,Warehouse,944,950,956
AGV1,o1_2,Warehouse,M6,Warehouse,956,961,966
AGV1,o20_13,Warehouse,M1,Warehouse,966,975,984
AGV1,o17_10,Warehouse,M1,Warehouse,984,993,1002
AGV1,o20_8,Warehouse,M8,Warehouse,1002,1005,1008
AGV1,o12_9,Warehouse,M6,Warehouse,1008,1013,1018
AGV1,o14_6,Warehouse,M5,Warehouse,1018,1027,1036
AGV1,o1_7,Warehouse,M8,Warehouse,1036,1039,1042
AGV1,o1_5,Warehouse,M1,Warehouse,1042,1051,1060
AGV1,o6_6,Warehouse,M6,Warehouse,1060,1065,1070
AGV1,o14_8,Warehouse,M3,Warehouse,1070,1076,1082
AGV1,o20_10,Warehouse,M9,Warehouse,1082,1088,1094
AGV1,o4_9,Warehouse,M2,Warehouse,1094,1101,1108
AGV1,o2_3,Warehouse,M6,Warehouse,1108,1113,1118
