AGV,工序,出发位置,取件位置,目标机器,开始运输,到达取件点,离开取件点,到达机器,完成配送
AGV1,o17_5,Warehouse,Warehouse,M6,0,0,0,4,4
AGV1,o19_8,M6,Warehouse,M9,4,8,8,13,13
AGV1,o17_6,M9,M6,M8,13,15,16,23,23
AGV1,o2_4,M8,Warehouse,M2,23,25,25,31,31
AGV1,o13_7,M2,Warehouse,M6,31,37,37,41,41
AGV1,o20_6,M6,Warehouse,M5,41,45,45,53,53
AGV1,o19_10,M5,M5,M2,53,53,97,101,101
AGV1,o9_8,M2,Warehouse,M3,101,107,107,112,112
AGV1,o7_1,M3,M1,M2,112,123,123,130,130
AGV1,o12_5,M2,Warehouse,M3,130,136,136,141,141
AGV1,o8_12,M3,Warehouse,M3,141,146,146,151,151
AGV1,o18_4,M3,M9,M6,151,159,159,161,161
AGV1,o10_1,M6,Warehouse,M9,161,165,165,170,170
AGV1,o15_10,M9,M6,M3,170,172,172,180,180
AGV1,o3_4,M3,Warehouse,M6,180,185,185,189,189
AGV1,o4_5,M6,M2,M9,189,193,289,295,295
AGV1,o10_2,M9,M9,M5,295,295,295,304,304
AGV1,o4_2,M5,M5,M3,304,304,390,402,402
AGV1,o17_9,M3,M8,M6,402,404,404,411,411
AGV1,o3_7,M6,M6,M9,411,411,411,413,413
AGV1,o3_3,M9,M9,M1,413,413,426,437,437
AGV1,o6_5,M1,M9,M2,437,448,448,454,454
AGV1,o17_8,M2,M9,M5,454,460,460,469,469
AGV1,o18_1,M5,M6,M6,469,477,477,477,477
AGV1,o6_2,M6,M2,M1,477,481,481,488,488
AGV1,o5_8,M1,M3,M2,488,499,499,509,509
AGV1,o20_7,M2,M3,M2,509,519,519,529,529
AGV1,o5_3,M2,M2,M2,529,529,529,529,529
AGV1,o5_10,M2,M2,M9,529,529,561,567,567
AGV1,o2_1,M9,M5,M6,567,576,576,584,584
AGV1,o7_13,M6,M6,M3,584,584,584,592,592
AGV1,o8_3,M3,M6,M5,592,600,600,608,608
AGV1,o7_3,M5,M3,M2,608,620,620,630,630
AGV1,o11_10,M2,M6,M3,630,634,634,642,642
AGV1,o10_8,M3,M8,M3,642,644,644,646,646
AGV1,o15_1,M3,M3,M8,646,646,646,648,648
AGV1,o5_7,M8,M9,M3,648,655,655,663,663
AGV1,o7_12,M3,M2,M3,663,673,673,683,683
AGV1,o10_3,M3,M3,M9,683,683,683,691,691
AGV1,o10_10,M9,M9,M3,691,691,710,718,718
AGV1,o19_13,M3,M5,M2,718,730,730,734,734
AGV1,o15_7,M2,M8,M2,734,742,742,750,750
AGV1,o17_2,M2,M6,M3,750,754,754,762,762
AGV1,o14_3,M3,M8,M1,762,764,764,772,772
AGV1,o3_2,M1,M6,M2,772,782,782,786,786
AGV1,o8_10,M2,M3,M6,786,796,796,804,804
AGV1,o3_8,M6,M2,M8,804,808,808,816,816
AGV1,o12_8,M8,M5,M2,816,825,825,829,829
AGV1,o16_3,M2,M9,M2,829,835,835,841,841
AGV1,o10_4,M2,M3,M9,841,851,851,859,859
AGV1,o3_6,M9,M8,M9,859,866,866,873,873
AGV1,o5_11,M9,M3,M6,873,881,881,889,889
AGV1,o17_3,M6,M3,M8,889,897,897,899,899
AGV1,o16_5,M8,M9,M2,899,906,988,994,994
AGV1,o12_6,M2,M9,M8,994,1000,1000,1007,1007
AGV1,o18_11,M8,M3,M5,1007,1009,1009,1021,1021
AGV1,o20_13,M5,M8,M1,1021,1030,1030,1038,1038
AGV1,o20_8,M1,M1,M8,1038,1038,1045,1053,1053
AGV1,o1_9,M8,M6,M3,1053,1060,1060,1068,1068
AGV1,o14_6,M3,M3,M5,1068,1068,1068,1080,1080
AGV1,o12_11,M5,M6,M1,1080,1088,1088,1098,1098
AGV1,o16_7,M1,M2,M2,1098,1105,1105,1105,1105
AGV1,o13_3,M2,M9,M9,1105,1111,1111,1111,1111
AGV1,o5_13,M9,M6,M5,1111,1113,1113,1121,1121
AGV1,o14_8,M5,M5,M3,1121,1121,1121,1133,1133
AGV1,o20_10,M3,M8,M9,1133,1135,1135,1142,1142
AGV1,o16_9,M9,M2,M5,1142,1148,1148,1152,1152
AGV1,o19_5,M5,M8,M3,1152,1161,1161,1163,1163
AGV1,o15_4,M3,M9,M6,1163,1171,1171,1173,1173
AGV1,o2_5,M6,M6,M3,1173,1173,1173,1181,1181
AGV1,o6_7,M6,M6,M6,1173,1173,1173,1173,1173
AGV1,o18_8,M3,M5,M6,1181,1193,1193,1201,1201
AGV1,o10_11,M6,M6,M5,1201,1201,1201,1209,1209
