机器,工序,开始加工,完成加工,加工时间
M1,o5_6,53,60,7
M1,o7_14,95,102,7
M1,o3_3,437,444,7
M1,o6_2,488,495,7
M1,o18_2,545,551,6
M1,o14_3,772,779,7
M1,o20_13,1038,1045,7
M1,o17_10,1045,1052,7
M1,o12_11,1098,1105,7
M1,o1_5,1109,1116,7
M1,o19_4,1345,1352,7
M2,o2_4,115,126,11
M2,o11_6,184,195,11
M2,o19_10,195,206,11
M2,o14_1,206,217,11
M2,o7_1,217,222,5
M2,o6_9,222,230,8
M2,o5_12,273,284,11
M2,o4_4,284,289,5
M2,o12_7,300,308,8
M2,o13_1,355,363,8
M2,o6_5,454,470,16
M2,o20_4,470,475,5
M2,o6_8,475,480,5
M2,o1_11,480,488,8
M2,o9_11,488,499,11
M2,o5_8,509,514,5
M2,o20_7,529,545,16
M2,o5_3,545,561,16
M2,o18_5,573,578,5
M2,o7_3,630,641,11
M2,o9_2,641,649,8
M2,o19_13,734,750,16
M2,o15_7,750,758,8
M2,o3_2,786,797,11
M2,o19_1,797,802,5
M2,o12_8,829,834,5
M2,o18_6,834,845,11
M2,o11_2,845,861,16
M2,o16_3,861,866,5
M2,o16_5,994,999,5
M2,o1_3,999,1004,5
M2,o6_4,1020,1025,5
M2,o3_11,1085,1090,5
M2,o16_7,1105,1111,6
M2,o4_9,1138,1143,5
M2,o16_13,1219,1235,16
M2,o18_10,1274,1279,5
M2,o19_11,1298,1306,8
M2,o13_4,1306,1322,16
M2,o7_7,1322,1330,8
M2,o8_8,1330,1338,8
M2,o2_13,1395,1406,11
M2,o16_12,1421,1432,11
M2,o4_10,1435,1441,6
M3,o6_10,9,17,8
M3,o9_8,112,124,12
M3,o20_1,193,199,6
M3,o12_5,222,230,8
M3,o8_12,230,236,6
M3,o11_1,241,253,12
M3,o15_10,253,265,12
M3,o5_5,339,345,6
M3,o2_7,355,363,8
M3,o4_2,402,410,8
M3,o14_10,428,440,12
M3,o20_3,506,514,8
M3,o7_13,592,598,6
M3,o3_1,598,606,8
M3,o11_10,642,648,6
M3,o10_8,648,654,6
M3,o10_5,654,666,12
M3,o5_7,666,674,8
M3,o8_5,677,689,12
M3,o7_12,689,697,8
M3,o10_10,718,730,12
M3,o17_2,762,774,12
M3,o2_11,774,780,6
M3,o8_7,825,833,8
M3,o18_7,864,876,12
M3,o4_7,950,956,6
M3,o14_5,1030,1038,8
M3,o3_10,1038,1050,12
M3,o1_9,1068,1080,12
M3,o17_13,1081,1089,8
M3,o14_8,1133,1139,6
M3,o19_5,1166,1178,12
M3,o2_5,1181,1193,12
M3,o16_6,1245,1253,8
M3,o20_12,1269,1281,12
M3,o17_11,1284,1290,6
M3,o13_6,1360,1366,6
M3,o19_7,1408,1414,6
M3,o13_9,1431,1439,8
M5,o19_12,92,97,5
M5,o20_6,151,166,15
M5,o4_3,205,220,15
M5,o16_2,285,300,15
M5,o19_6,343,358,15
M5,o10_2,358,373,15
M5,o4_1,380,390,10
M5,o7_10,396,411,15
M5,o17_8,469,474,5
M5,o2_6,492,502,10
M5,o12_2,536,551,15
M5,o8_3,608,619,11
M5,o15_2,762,777,15
M5,o6_11,801,816,15
M5,o18_11,1021,1031,10
M5,o14_6,1080,1095,15
M5,o5_13,1133,1143,10
M5,o16_9,1152,1162,10
M5,o10_11,1209,1219,10
M5,o11_5,1262,1277,15
M5,o15_12,1373,1378,5
M6,o17_5,5,16,11
M6,o15_8,18,29,11
M6,o16_14,29,40,11
M6,o7_11,67,85,18
M6,o5_1,85,96,11
M6,o13_7,127,132,5
M6,o16_1,137,148,11
M6,o20_9,174,185,11
M6,o18_4,245,256,11
M6,o3_4,256,261,5
M6,o20_11,363,381,18
M6,o12_1,381,392,11
M6,o17_9,411,416,5
M6,o8_2,416,427,11
M6,o18_1,477,495,18
M6,o1_12,495,508,13
M6,o4_8,512,523,11
M6,o7_2,528,539,11
M6,o17_1,544,562,18
M6,o9_1,562,573,11
M6,o2_1,584,595,11
M6,o11_3,595,613,18
M6,o3_5,685,698,13
M6,o8_10,804,817,13
M6,o4_6,817,828,11
M6,o9_10,850,855,5
M6,o9_7,877,895,18
M6,o5_11,895,908,13
M6,o10_6,908,921,13
M6,o1_1,921,926,5
M6,o19_2,940,945,5
M6,o14_4,997,1002,5
M6,o8_11,1018,1023,5
M6,o1_2,1023,1034,11
M6,o17_4,1062,1073,11
M6,o12_9,1073,1086,13
M6,o10_9,1093,1098,5
M6,o6_6,1120,1133,13
M6,o2_3,1133,1138,5
M6,o15_4,1173,1191,18
M6,o6_7,1191,1202,11
M6,o18_8,1202,1207,5
M6,o5_4,1241,1252,11
M6,o15_11,1280,1285,5
M6,o16_10,1291,1296,5
M6,o13_8,1374,1385,11
M6,o7_9,1385,1398,13
M6,o19_9,1432,1443,11
M7,o8_9,1377,1390,13
M8,o5_9,13,29,16
M8,o17_6,29,45,16
M8,o14_9,76,84,8
M8,o17_7,213,223,10
M8,o4_11,262,272,10
M8,o8_1,299,309,10
M8,o6_3,309,319,10
M8,o10_12,405,415,10
M8,o18_3,521,537,16
M8,o11_7,558,566,8
M8,o15_1,648,658,10
M8,o14_2,658,668,10
M8,o9_5,681,697,16
M8,o20_5,697,713,16
M8,o7_8,713,729,16
M8,o11_9,776,786,10
M8,o3_8,816,826,10
M8,o12_10,843,859,16
M8,o10_7,928,944,16
M8,o8_4,950,958,8
M8,o17_3,958,966,8
M8,o12_6,1007,1015,8
M8,o3_9,1015,1031,16
M8,o20_8,1053,1063,10
M8,o19_3,1069,1077,8
M8,o2_2,1077,1093,16
M8,o1_7,1093,1101,8
M8,o15_5,1210,1226,16
M8,o8_13,1229,1245,16
M8,o9_6,1261,1269,8
M8,o2_9,1314,1322,8
M8,o2_10,1337,1347,10
M8,o13_11,1401,1409,8
M9,o19_8,38,47,9
M9,o18_9,102,111,9
M9,o9_9,234,246,12
M9,o10_1,246,256,10
M9,o20_2,309,318,9
M9,o5_2,321,331,10
M9,o2_8,333,346,13
M9,o4_5,346,356,10
M9,o6_1,377,386,9
M9,o3_7,413,426,13
M9,o17_12,426,445,19
M9,o5_10,567,576,9
M9,o16_8,596,605,9
M9,o10_3,691,710,19
M9,o13_2,756,775,19
M9,o7_4,826,836,10
M9,o10_4,859,868,9
M9,o9_3,868,875,7
M9,o3_6,875,885,10
M9,o12_3,888,898,10
M9,o15_3,906,915,9
M9,o11_4,964,974,10
M9,o16_4,976,988,12
M9,o12_4,988,1000,12
M9,o15_6,1000,1012,12
M9,o14_7,1012,1022,10
M9,o7_6,1022,1031,9
M9,o9_4,1057,1067,10
M9,o13_3,1118,1130,12
M9,o20_10,1142,1154,12
M9,o1_8,1188,1201,13
M9,o1_4,1201,1208,7
M9,o1_6,1208,1220,12
M9,o15_9,1238,1248,10
M9,o5_14,1254,1267,13
M9,o16_11,1267,1277,10
M9,o8_6,1280,1289,9
M9,o11_8,1289,1308,19
M9,o7_5,1308,1315,7
M9,o13_5,1330,1339,9
M9,o2_12,1354,1364,10
M9,o1_10,1394,1404,10
M9,o13_10,1416,1423,7
