CF_level,algorithm,runs,mean_final_makespan,mean_rpd_v001_percent
CF1,ALNS,18,2747.6666666666665,2.4168842499132754
CF1,LG_HGA_2O,18,2786.8888888888887,3.2741420682684144
CF1,NGAS_A1_6R,18,2650.0,-1.2046289667429864
CF1,PHASE6H,18,2776.1111111111113,3.8177753044762164
CF1,PHASE6N_TOP1,18,2759.1111111111113,3.0283558594309485
CF2,ALNS,18,3122.4444444444443,3.774789828333892
CF2,LG_HGA_2O,18,3120.3888888888887,3.709815259025578
CF2,NGAS_A1_6R,18,3091.1666666666665,2.2415981030811647
CF2,PHASE6H,18,3108.1111111111113,4.028203600930362
CF2,PHASE6N_TOP1,18,3153.1666666666665,4.980064045491578
CF3,ALNS,18,2895.3888888888887,6.831373746649195
CF3,LG_HGA_2O,18,2790.722222222222,2.9812345987323985
CF3,NGAS_A1_6R,18,2808.222222222222,3.424505140024667
CF3,PHASE6H,18,2890.6666666666665,7.264888862966419
CF3,PHASE6N_TOP1,18,2896.3333333333335,7.226812331465772
