budget_fraction,comparator,available_run_pairs,mean_paired_gain_percent,median_paired_gain_percent
0.1,PHASE6N_TOP1,54,3.6183394432448206,3.0181983876434026
0.1,PHASE6H,54,1.2506851235607424,0.6625668496172092
0.1,ALNS,54,1.736568536021771,1.8523408826228702
0.1,LG_HGA_2O,54,5.815833283425466,3.0851436301424364
0.25,PHASE6N_TOP1,54,3.592649305671561,3.4665577239638923
0.25,PHASE6H,54,2.7155542729654165,2.0101232478663538
0.25,ALNS,54,2.5483040143297484,2.980196625273178
0.25,LG_HGA_2O,54,4.442222851511685,2.7486696251134557
0.5,PHASE6N_TOP1,54,3.429943851817025,3.227471215837754
0.5,PHASE6H,54,3.0488819180769235,2.688583004564091
0.5,ALNS,54,2.9176513727051363,2.825940318825757
0.5,LG_HGA_2O,54,2.6102559446650018,1.8549648564930588
0.75,PHASE6N_TOP1,54,3.283383362137847,3.147928129578511
0.75,PHASE6H,54,3.2383396098978663,2.9526494498967173
0.75,ALNS,54,2.7873809105464398,2.861956698300957
0.75,LG_HGA_2O,54,2.0398553174885268,1.8172815288372999
1.0,PHASE6N_TOP1,54,3.3752122952602233,3.074536833719283
1.0,PHASE6H,54,3.314026641438669,3.832053195286394
1.0,ALNS,54,2.699949609820445,2.7633216743651454
1.0,LG_HGA_2O,54,1.6533485995626964,1.725395425986779
