algorithm,instance_id,seed,scale,CF_level,cell_replicate,budget_fraction,available,incumbent_makespan,normalized_incumbent_over_h1,rpd_v001_percent,decoder_evaluations
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12,746101,L,CF1,C01,0.1,True,3698.0,0.8330705113764362,7.095279467130032,2409
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12,746101,L,CF1,C01,0.25,True,3689.0,0.8310430277089434,6.834636547929337,5169
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12,746101,L,CF1,C01,0.5,True,3640.0,0.8200045055192611,5.41558065450333,10161
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12,746101,L,CF1,C01,0.75,True,3489.0,0.7859878350979951,1.0425716768027802,17385
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12,746101,L,CF1,C01,1.0,True,3481.0,0.7841856273935571,0.8108890819577179,24769
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12,746102,L,CF1,C01,0.1,True,3702.0,0.8339716152286551,7.211120764552563,537
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12,746102,L,CF1,C01,0.25,True,3617.0,0.814823158369002,4.749493194323777,4113
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12,746102,L,CF1,C01,0.5,True,3542.0,0.7979274611398963,2.5774688676513176,13985
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12,746102,L,CF1,C01,0.75,True,3542.0,0.7979274611398963,2.5774688676513176,13985
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12,746102,L,CF1,C01,1.0,True,3542.0,0.7979274611398963,2.5774688676513176,13985
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12,746103,L,CF1,C01,0.1,True,3603.0,0.8116692948862356,4.344048653344918,729
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12,746103,L,CF1,C01,0.25,True,3603.0,0.8116692948862356,4.344048653344918,729
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12,746103,L,CF1,C01,0.5,True,3509.0,0.7904933543590899,1.6217781639154358,9825
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12,746103,L,CF1,C01,0.75,True,3470.0,0.781707591799955,0.4923255140457573,15129
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12,746103,L,CF1,C01,1.0,True,3470.0,0.781707591799955,0.4923255140457573,15129
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746101,L,CF1,C02,0.1,True,4005.0,0.8548559231590181,7.951482479784366,2345
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746101,L,CF1,C02,0.25,True,3819.0,0.8151547491995731,2.9380053908355794,5553
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746101,L,CF1,C02,0.5,True,3710.0,0.791889007470651,0.0,12305
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746101,L,CF1,C02,0.75,True,3710.0,0.791889007470651,0.0,12305
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746101,L,CF1,C02,1.0,True,3710.0,0.791889007470651,0.0,12305
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746102,L,CF1,C02,0.1,True,3907.0,0.8339381003201708,5.309973045822103,2801
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746102,L,CF1,C02,0.25,True,3778.0,0.8064034151547492,1.8328840970350404,6665
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746102,L,CF1,C02,0.5,True,3778.0,0.8064034151547492,1.8328840970350404,6665
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746102,L,CF1,C02,0.75,True,3778.0,0.8064034151547492,1.8328840970350404,6665
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746102,L,CF1,C02,1.0,True,3778.0,0.8064034151547492,1.8328840970350404,6665
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746103,L,CF1,C02,0.1,True,3816.0,0.8145144076840982,2.857142857142857,2657
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746103,L,CF1,C02,0.25,True,3777.0,0.8061899679829242,1.8059299191374663,6505
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746103,L,CF1,C02,0.5,True,3777.0,0.8061899679829242,1.8059299191374663,6505
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746103,L,CF1,C02,0.75,True,3772.0,0.8051227321237994,1.6711590296495957,19241
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746103,L,CF1,C02,1.0,True,3759.0,0.8023479188900747,1.320754716981132,25841
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12,746101,L,CF2,C01,0.1,True,4572.0,0.9762972453555413,9.745559289486318,9
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12,746101,L,CF2,C01,0.25,True,4385.0,0.936365577621183,5.256841094575132,5881
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12,746101,L,CF2,C01,0.5,True,4295.0,0.9171471279094597,3.0964954392702833,10577
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12,746101,L,CF2,C01,0.75,True,4295.0,0.9171471279094597,3.0964954392702833,10577
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12,746101,L,CF2,C01,1.0,True,4295.0,0.9171471279094597,3.0964954392702833,10577
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12,746102,L,CF2,C01,0.1,True,4530.0,0.9673286354900704,8.737397983677388,33
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12,746102,L,CF2,C01,0.25,True,4382.0,0.9357249626307922,5.184829572731637,6289
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12,746102,L,CF2,C01,0.5,True,4382.0,0.9357249626307922,5.184829572731637,6289
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12,746102,L,CF2,C01,0.75,True,4370.0,0.9331625026692292,4.896783485357657,16521
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12,746102,L,CF2,C01,1.0,True,4370.0,0.9331625026692292,4.896783485357657,16521
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12,746103,L,CF2,C01,0.1,True,4596.0,0.9814221652786675,10.321651464234277,1361
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12,746103,L,CF2,C01,0.25,True,4596.0,0.9814221652786675,10.321651464234277,1361
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12,746103,L,CF2,C01,0.5,True,4522.0,0.9656203288490284,8.545367258761402,12337
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12,746103,L,CF2,C01,0.75,True,4426.0,0.9451206491565236,6.240998559769563,19705
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12,746103,L,CF2,C01,1.0,True,4395.0,0.9385009609224856,5.496879500720115,22641
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746101,L,CF2,C02,0.1,True,4203.0,1.0,6.21683093252464,1
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746101,L,CF2,C02,0.25,True,4203.0,1.0,6.21683093252464,1
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746101,L,CF2,C02,0.5,True,4203.0,1.0,6.21683093252464,1
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746101,L,CF2,C02,0.75,True,4203.0,1.0,6.21683093252464,1
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746101,L,CF2,C02,1.0,True,4203.0,1.0,6.21683093252464,1
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746102,L,CF2,C02,0.1,True,4096.0,0.9745419938139425,3.5127621935809956,9
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746102,L,CF2,C02,0.25,True,4096.0,0.9745419938139425,3.5127621935809956,9
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746102,L,CF2,C02,0.5,True,4096.0,0.9745419938139425,3.5127621935809956,9
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746102,L,CF2,C02,0.75,True,4096.0,0.9745419938139425,3.5127621935809956,9
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746102,L,CF2,C02,1.0,True,4096.0,0.9745419938139425,3.5127621935809956,9
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746103,L,CF2,C02,0.1,True,4119.0,0.9800142755174875,4.094010614101592,33
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746103,L,CF2,C02,0.25,True,4119.0,0.9800142755174875,4.094010614101592,33
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746103,L,CF2,C02,0.5,True,4119.0,0.9800142755174875,4.094010614101592,33
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746103,L,CF2,C02,0.75,True,4119.0,0.9800142755174875,4.094010614101592,33
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746103,L,CF2,C02,1.0,True,4119.0,0.9800142755174875,4.094010614101592,33
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746101,L,CF3,C01,0.1,True,4462.0,0.9852064473393685,7.647768395657419,9
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746101,L,CF3,C01,0.25,True,4462.0,0.9852064473393685,7.647768395657419,9
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746101,L,CF3,C01,0.5,True,4462.0,0.9852064473393685,7.647768395657419,9
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746101,L,CF3,C01,0.75,True,4462.0,0.9852064473393685,7.647768395657419,9
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746101,L,CF3,C01,1.0,True,4391.0,0.969529697504968,5.934861278648975,26633
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746102,L,CF3,C01,0.1,True,4162.0,0.9189666593066902,0.4101326899879373,17
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746102,L,CF3,C01,0.25,True,4162.0,0.9189666593066902,0.4101326899879373,17
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746102,L,CF3,C01,0.5,True,4162.0,0.9189666593066902,0.4101326899879373,17
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746102,L,CF3,C01,0.75,True,4162.0,0.9189666593066902,0.4101326899879373,17
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746102,L,CF3,C01,1.0,True,4162.0,0.9189666593066902,0.4101326899879373,17
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746103,L,CF3,C01,0.1,True,4376.0,0.9662177081033341,5.572979493365501,41
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746103,L,CF3,C01,0.25,True,4376.0,0.9662177081033341,5.572979493365501,41
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746103,L,CF3,C01,0.5,True,4358.0,0.9622433208213734,5.138721351025332,12497
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746103,L,CF3,C01,0.75,True,4358.0,0.9622433208213734,5.138721351025332,12497
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746103,L,CF3,C01,1.0,True,4358.0,0.9622433208213734,5.138721351025332,12497
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746101,L,CF3,C02,0.1,True,3469.0,1.0,9.08805031446541,1
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746101,L,CF3,C02,0.25,True,3469.0,1.0,9.08805031446541,1
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746101,L,CF3,C02,0.5,True,3469.0,1.0,9.08805031446541,1
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746101,L,CF3,C02,0.75,True,3469.0,1.0,9.08805031446541,1
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746101,L,CF3,C02,1.0,True,3469.0,1.0,9.08805031446541,1
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746102,L,CF3,C02,0.1,True,3469.0,1.0,9.08805031446541,1
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746102,L,CF3,C02,0.25,True,3469.0,1.0,9.08805031446541,1
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746102,L,CF3,C02,0.5,True,3469.0,1.0,9.08805031446541,1
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746102,L,CF3,C02,0.75,True,3469.0,1.0,9.08805031446541,1
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746102,L,CF3,C02,1.0,True,3469.0,1.0,9.08805031446541,1
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746103,L,CF3,C02,0.1,True,3405.0,0.9815508792159123,7.0754716981132075,185
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746103,L,CF3,C02,0.25,True,3405.0,0.9815508792159123,7.0754716981132075,185
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746103,L,CF3,C02,0.5,True,3405.0,0.9815508792159123,7.0754716981132075,185
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746103,L,CF3,C02,0.75,True,3405.0,0.9815508792159123,7.0754716981132075,185
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746103,L,CF3,C02,1.0,True,3405.0,0.9815508792159123,7.0754716981132075,185
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12,746101,M,CF1,C01,0.1,True,2949.0,1.0,7.510025519504192,1
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12,746101,M,CF1,C01,0.25,True,2938.0,0.9962699220074601,7.109004739336493,4881
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12,746101,M,CF1,C01,0.5,True,2938.0,0.9962699220074601,7.109004739336493,4881
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12,746101,M,CF1,C01,0.75,True,2938.0,0.9962699220074601,7.109004739336493,4881
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12,746101,M,CF1,C01,1.0,True,2938.0,0.9962699220074601,7.109004739336493,4881
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12,746102,M,CF1,C01,0.1,True,2949.0,1.0,7.510025519504192,1
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12,746102,M,CF1,C01,0.25,True,2936.0,0.9955917260088165,7.036091870215093,3969
