algorithm,budget_fraction,available_runs,mean_normalized_incumbent_over_h1,mean_rpd_v001_percent,mean_decoder_evaluations
ALNS,0.1,54,0.9531374633966286,8.173623741850895,1817.2962962962963
ALNS,0.25,54,0.9380153845407159,6.425700875381642,5055.518518518518
ALNS,0.5,54,0.9296867356405135,5.461295723236076,10864.25925925926
ALNS,0.75,54,0.924132352122455,4.8162053022543265,17010.333333333332
ALNS,1.0,54,0.9199469406909363,4.341015941632121,22903.51851851852
LG_HGA_2O,0.1,54,1.002858857008825,13.961520601396323,2952.8888888888887
LG_HGA_2O,0.25,54,0.959630127230517,8.97442297374542,6057.462962962963
LG_HGA_2O,0.5,54,0.9279952279565051,5.322882390161208,13437.111111111111
LG_HGA_2O,0.75,54,0.9179149428681095,4.146325197306213,18003.555555555555
LG_HGA_2O,1.0,54,0.9105997922351917,3.321730642008797,22826.185185185186
NGAS_A1_6R,0.1,54,0.9363253428286666,6.261955648819116,1669.2962962962963
NGAS_A1_6R,0.25,54,0.9138869916168182,3.68257267809027,5465.0
NGAS_A1_6R,0.5,54,0.9022683085916201,2.344653241122965,10657.888888888889
NGAS_A1_6R,0.75,54,0.8980016553882763,1.8515293735845466,16427.37037037037
NGAS_A1_6R,1.0,54,0.8948503424451283,1.4871580921209484,22556.555555555555
PHASE6H,0.1,54,0.9489175528543384,7.7419038138880225,303.962962962963
PHASE6H,0.25,54,0.9398962014455441,6.690745745660551,1532.851851851852
PHASE6H,0.5,54,0.9308979189951195,5.650947940801268,3570.037037037037
PHASE6H,0.75,54,0.9282555259585307,5.340610009285105,4839.814814814815
PHASE6H,1.0,54,0.9256395771708912,5.036955922790999,7439.962962962963
PHASE6N_TOP1,0.1,54,0.971358721544424,10.31120843081328,498.77777777777777
PHASE6N_TOP1,0.25,54,0.9484108492186204,7.603929809469399,2340.1111111111113
PHASE6N_TOP1,0.5,54,0.9345650717079635,6.026878128218863,5810.925925925926
PHASE6N_TOP1,0.75,54,0.9286284066264672,5.358450968554355,7862.62962962963
PHASE6N_TOP1,1.0,54,0.9261859011815615,5.078410745462766,10142.925925925925
