algorithm,instance_id,scale,CF_level,cell_replicate,mean_final_makespan,mean_rpd_v001_percent,median_final_makespan,feasible_fraction
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12,L,CF1,C01,3497.6666666666665,1.2935611545515975,3481.0,1.0
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,C02,3749.0,1.051212938005391,3759.0,1.0
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12,L,CF2,C01,4353.333333333333,4.496719475116019,4370.0,1.0
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,L,CF2,C02,4139.333333333333,4.607867913402409,4119.0,1.0
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,L,CF3,C01,4303.666666666667,3.827905106554081,4358.0,1.0
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,L,CF3,C02,3447.6666666666665,8.417190775681343,3469.0,1.0
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12,M,CF1,C01,2941.0,7.218374043018592,2938.0,1.0
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,M,CF1,C02,2810.0,1.370851370851371,2810.0,1.0
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,M,CF2,C01,2929.6666666666665,5.307931943445962,2965.0,1.0
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,M,CF2,C02,3729.0,1.9409513395297975,3726.0,1.0
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,M,CF3,C01,2841.6666666666665,7.6796766451938865,2858.0,1.0
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,M,CF3,C02,3204.3333333333335,9.662331736253707,3204.0,1.0
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12,S,CF1,C01,1684.0,2.370820668693009,1677.0,1.0
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,S,CF1,C02,1804.3333333333333,1.1964853243596936,1807.0,1.0
ALNS,CB1_CAUR_S_CF2_RI2_TI2_R12,S,CF2,C01,1627.0,2.4559193954659952,1618.0,1.0
ALNS,CB1_CAUR_S_CF2_RI2_TI2_R12_C02,S,CF2,C02,1956.3333333333333,3.8393489030431702,1974.0,1.0
ALNS,CB1_CAUR_S_CF3_RI2_TI2_R12,S,CF3,C01,1792.0,8.277945619335348,1792.0,1.0
ALNS,CB1_CAUR_S_CF3_RI2_TI2_R12_C02,S,CF3,C02,1783.0,3.1231925968768075,1797.0,1.0
LG_HGA_2O,CB1_CAUR_L_CF1_RI2_TI2_R12,L,CF1,C01,3530.3333333333335,2.239598416835602,3470.0,1.0
LG_HGA_2O,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,C02,4043.0,8.975741239892182,3811.0,1.0
LG_HGA_2O,CB1_CAUR_L_CF2_RI2_TI2_R12,L,CF2,C01,4201.0,0.8401344215074412,4202.0,1.0
LG_HGA_2O,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,L,CF2,C02,4237.666666666667,7.092915508381769,4233.0,1.0
LG_HGA_2O,CB1_CAUR_L_CF3_RI2_TI2_R12,L,CF3,C01,4328.666666666667,4.431041415359871,4337.0,1.0
LG_HGA_2O,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,L,CF3,C02,3243.6666666666665,2.0020964360587,3222.0,1.0
LG_HGA_2O,CB1_CAUR_M_CF1_RI2_TI2_R12,M,CF1,C01,2890.0,5.3590958804228945,2920.0,1.0
LG_HGA_2O,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,M,CF1,C02,2787.0,0.541125541125541,2788.0,1.0
LG_HGA_2O,CB1_CAUR_M_CF2_RI2_TI2_R12,M,CF2,C01,2870.6666666666665,3.187155523604121,2909.0,1.0
LG_HGA_2O,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,M,CF2,C02,3822.6666666666665,4.5015491160925825,3834.0,1.0
LG_HGA_2O,CB1_CAUR_M_CF3_RI2_TI2_R12,M,CF3,C01,2695.0,2.122015915119363,2647.0,1.0
LG_HGA_2O,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,M,CF3,C02,2950.3333333333335,0.9696554871092858,2940.0,1.0
LG_HGA_2O,CB1_CAUR_S_CF1_RI2_TI2_R12,S,CF1,C01,1670.0,1.5197568389057752,1649.0,1.0
LG_HGA_2O,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,S,CF1,C02,1801.0,1.0095344924284912,1798.0,1.0
LG_HGA_2O,CB1_CAUR_S_CF2_RI2_TI2_R12,S,CF2,C01,1624.0,2.2670025188916876,1611.0,1.0
LG_HGA_2O,CB1_CAUR_S_CF2_RI2_TI2_R12_C02,S,CF2,C02,1966.3333333333333,4.370134465675867,1972.0,1.0
LG_HGA_2O,CB1_CAUR_S_CF3_RI2_TI2_R12,S,CF3,C01,1698.0,2.598187311178248,1697.0,1.0
