cell_replicate,algorithm,runs,mean_final_makespan,mean_rpd_v001_percent
C01,ALNS,27,2885.5555555555557,4.769872672374943
C01,LG_HGA_2O,27,2834.185185185185,2.729332026869445
C01,NGAS_A1_6R,27,2795.222222222222,1.314110724894334
C01,PHASE6H,27,2872.5925925925926,4.965433457883064
C01,PHASE6N_TOP1,27,2892.037037037037,5.2008765688420295
C02,ALNS,27,2958.1111111111113,3.912159210889299
C02,LG_HGA_2O,27,2964.4814814814813,3.9141292571481494
C02,NGAS_A1_6R,27,2904.3703703703704,1.660205459347563
C02,PHASE6H,27,2977.3333333333335,5.108478387698933
C02,PHASE6N_TOP1,27,2980.3703703703704,4.955944922083503
