budget_fraction,comparator,available_run_pairs,mean_paired_gain_percent,median_paired_gain_percent
0.1,PHASE6N_TOP1,54,3.6772074312956247,3.1098620431368458
0.1,PHASE6H,54,1.3104382803676047,0.6625668496172092
0.1,ALNS,54,1.7963194750198341,1.8738813877477152
0.1,LG_HGA_2O,54,5.877123288667857,3.0851436301424364
0.25,PHASE6N_TOP1,54,3.5995298592612444,3.4665577239638923
0.25,PHASE6H,54,2.7222882796994234,2.0101232478663538
0.25,ALNS,54,2.555318604677672,2.980196625273178
0.25,LG_HGA_2O,54,4.449041874637915,2.7486696251134557
0.5,PHASE6N_TOP1,54,3.4344931482207475,3.3242622405779017
0.5,PHASE6H,54,3.0531922083189866,2.688583004564091
0.5,ALNS,54,2.922342575126327,2.825940318825757
0.5,LG_HGA_2O,54,2.6148763723529393,1.8549648564930588
0.75,PHASE6N_TOP1,54,3.284067341186634,3.147928129578511
0.75,PHASE6H,54,3.239090450786644,2.9526494498967173
0.75,ALNS,54,2.7879639029119696,2.861956698300957
0.75,LG_HGA_2O,54,2.040568417761788,1.8172815288372999
1.0,PHASE6N_TOP1,54,3.390546849711126,3.074536833719283
1.0,PHASE6H,54,3.329309754783784,3.832053195286394
1.0,ALNS,54,2.7158115205051163,2.7633216743651454
1.0,LG_HGA_2O,54,1.669741036243238,1.725395425986779
