scale,algorithm,runs,mean_final_makespan,mean_rpd_v001_percent
L,ALNS,18,3915.1111111111113,3.9490762272184727
L,LG_HGA_2O,18,3930.722222222222,4.263587906339262
L,NGAS_A1_6,18,3872.6111111111113,2.7892021775899436
L,PHASE6H,18,3886.6666666666665,3.3168884639609075
L,PHASE6N_TOP1,18,3929.8333333333335,4.365417124917538
M,ALNS,18,3075.9444444444443,5.530019513048886
M,LG_HGA_2O,18,3002.6111111111113,2.780099577245631
M,NGAS_A1_6,18,2959.6111111111113,1.43816795119508
M,PHASE6H,18,3056.4444444444443,4.889561317209279
M,PHASE6N_TOP1,18,3066.4444444444443,5.115325740604497
S,ALNS,18,1774.4444444444443,3.543952084629004
S,LG_HGA_2O,18,1764.6666666666667,2.9215044424414987
S,NGAS_A1_6,18,1716.3333333333333,0.1830435326773809
S,PHASE6H,18,1831.7777777777778,6.90441798720281
S,PHASE6N_TOP1,18,1812.3333333333333,5.754489370866264
