dataset_origin,dimension,value,utility,states,informative_states,positive_best_states,mean_actions,mean_spearman_informative,mean_top1_normalized_rank_informative,mean_top1_regret_positive_best,hit_at_1_positive_best,hit_at_5_positive_best
CLEAN_NON_R12_DEVELOPMENT,candidate_rule_family,LOCAL_PERTURBATION,U0_IMMEDIATE,18,2,2,60.0,0.07804496298302682,0.025423728813559324,7.0,0.0,0.0
CLEAN_NON_R12_DEVELOPMENT,candidate_rule_family,LOCAL_PERTURBATION,U1_SHORT_HORIZON,18,2,2,60.0,0.07804496298302682,0.025423728813559324,7.0,0.0,0.0
CLEAN_NON_R12_DEVELOPMENT,candidate_rule_family,LOCAL_PERTURBATION,U2_COST_NORMALIZED,18,2,2,60.0,0.07754587903690746,0.025423728813559324,67.84202404692626,0.0,0.0
CLEAN_NON_R12_DEVELOPMENT,candidate_rule_family,LOCAL_PERTURBATION,U3_STOCHASTIC_ROBUSTNESS,18,18,0,60.0,0.29779798436696714,0.3022598870056497,,,
CLEAN_NON_R12_DEVELOPMENT,candidate_rule_family,MATCHED_RANDOM,U0_IMMEDIATE,18,2,2,45.0,0.11608043601255663,0.022727272727272728,6.0,0.0,0.0
CLEAN_NON_R12_DEVELOPMENT,candidate_rule_family,MATCHED_RANDOM,U1_SHORT_HORIZON,18,2,2,45.0,0.11608043601255663,0.022727272727272728,6.0,0.0,0.0
CLEAN_NON_R12_DEVELOPMENT,candidate_rule_family,MATCHED_RANDOM,U2_COST_NORMALIZED,18,2,2,45.0,0.11608043601255663,0.022727272727272728,31.27463654890162,0.0,0.0
CLEAN_NON_R12_DEVELOPMENT,candidate_rule_family,MATCHED_RANDOM,U3_STOCHASTIC_ROBUSTNESS,18,18,0,45.0,0.35084050254560106,0.2967171717171717,,,
CLEAN_NON_R12_DEVELOPMENT,candidate_rule_family,ORIGINAL_OPERATOR,U0_IMMEDIATE,18,1,1,105.0,0.08292548197992357,0.019230769230769232,20.0,0.0,0.0
CLEAN_NON_R12_DEVELOPMENT,candidate_rule_family,ORIGINAL_OPERATOR,U1_SHORT_HORIZON,18,2,2,105.0,-0.03941785815792922,0.014423076923076924,12.5,0.0,0.0
