dimension,group,utility,states,instances,informative_states,positive_best_states,mean_spearman_informative,median_spearman_informative,mean_top1_normalized_rank_informative,mean_top1_regret_positive_best,hit_at_1_positive_best,hit_at_5_positive_best
dataset_origin,CLEAN_NON_R12_DEVELOPMENT,U0_IMMEDIATE,18,18,4,4,0.04838692292484945,0.034390382461688504,0.005026478590399689,10.25,0.0,0.0
dataset_origin,CLEAN_NON_R12_DEVELOPMENT,U1_SHORT_HORIZON,18,18,5,5,0.024354285228099487,0.022617041500134005,0.005175644123735757,9.2,0.0,0.0
dataset_origin,CLEAN_NON_R12_DEVELOPMENT,U2_COST_NORMALIZED,18,18,5,5,0.02435361662791281,0.022657182515902888,0.005175644123735757,62.164234678959055,0.0,0.0
dataset_origin,CLEAN_NON_R12_DEVELOPMENT,U3_STOCHASTIC_ROBUSTNESS,18,18,18,0,0.35349235708957444,0.3640458776832103,0.3054944589237135,,,
dataset_origin,R12_DEVELOPMENT_EXPOSED,U0_IMMEDIATE,18,6,5,5,0.10645340939302124,0.09051200843567524,0.011819253323788432,53.8,0.0,0.0
dataset_origin,R12_DEVELOPMENT_EXPOSED,U1_SHORT_HORIZON,18,6,6,6,0.1363144049489051,0.10615999609213292,0.024862833225184632,65.5,0.0,0.16666666666666666
dataset_origin,R12_DEVELOPMENT_EXPOSED,U2_COST_NORMALIZED,18,6,6,6,0.1363197658573342,0.10616253375846102,0.024862833225184632,283.6403453989528,0.0,0.16666666666666666
dataset_origin,R12_DEVELOPMENT_EXPOSED,U3_STOCHASTIC_ROBUSTNESS,18,6,18,0,0.4954262859648112,0.44303628091954184,0.19235910700500922,,,
dataset_origin+scale,CLEAN_NON_R12_DEVELOPMENT|L,U0_IMMEDIATE,6,6,0,0,,,,,,
dataset_origin+scale,CLEAN_NON_R12_DEVELOPMENT|L,U1_SHORT_HORIZON,6,6,1,1,-0.0908606338611526,-0.0908606338611526,0.0028653295128939827,5.0,0.0,0.0
dataset_origin+scale,CLEAN_NON_R12_DEVELOPMENT|L,U2_COST_NORMALIZED,6,6,1,1,-0.0908606338611526,-0.0908606338611526,0.0028653295128939827,15.622822273730621,0.0,0.0
dataset_origin+scale,CLEAN_NON_R12_DEVELOPMENT|L,U3_STOCHASTIC_ROBUSTNESS,6,6,6,0,0.27802333672117857,0.23963061852741357,0.39249118447733905,,,
dataset_origin+scale,CLEAN_NON_R12_DEVELOPMENT|M,U0_IMMEDIATE,6,6,3,3,0.05288719012516594,0.03389464359947705,0.004763986957742221,12.333333333333334,0.0,0.0
dataset_origin+scale,CLEAN_NON_R12_DEVELOPMENT|M,U1_SHORT_HORIZON,6,6,3,3,0.05924864622591669,0.022617041500134005,0.0057329792058042365,12.333333333333334,0.0,0.0
