state_key,instance_id,dataset_origin,dataset_role,scale,CF_level,search_stage,search_conditions,actions,utility,informative,positive_best_available,spearman,top1_realized_rank,top1_normalized_rank,top1_regret,best_utility,top1_utility,hit_at_1,hit_at_5,hit_at_10
CLEAN|CB1_TRAIN_L_CF3_RI1_TI2_R04:seed817000087:iteration1620,CB1_TRAIN_L_CF3_RI1_TI2_R04,CLEAN_NON_R12_DEVELOPMENT,VALIDATION,L,CF3,40-60%,plateau_or_stagnating|high_action_entropy,355,U0_IMMEDIATE,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
CLEAN|CB1_TRAIN_L_CF3_RI1_TI2_R04:seed817000087:iteration1620,CB1_TRAIN_L_CF3_RI1_TI2_R04,CLEAN_NON_R12_DEVELOPMENT,VALIDATION,L,CF3,40-60%,plateau_or_stagnating|high_action_entropy,355,U1_SHORT_HORIZON,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
CLEAN|CB1_TRAIN_L_CF3_RI1_TI2_R04:seed817000087:iteration1620,CB1_TRAIN_L_CF3_RI1_TI2_R04,CLEAN_NON_R12_DEVELOPMENT,VALIDATION,L,CF3,40-60%,plateau_or_stagnating|high_action_entropy,355,U2_COST_NORMALIZED,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
CLEAN|CB1_TRAIN_L_CF3_RI1_TI2_R04:seed817000087:iteration1620,CB1_TRAIN_L_CF3_RI1_TI2_R04,CLEAN_NON_R12_DEVELOPMENT,VALIDATION,L,CF3,40-60%,plateau_or_stagnating|high_action_entropy,355,U3_STOCHASTIC_ROBUSTNESS,True,False,0.3668588725279662,11,0.02824858757062147,124.5,-186.0,-310.5,False,True,True
CLEAN|CB1_TRAIN_L_CF2_RI1_TI1_R01:seed817000009:iteration1660,CB1_TRAIN_L_CF2_RI1_TI1_R01,CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,40-60%,plateau_or_stagnating|low_action_entropy,355,U0_IMMEDIATE,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
CLEAN|CB1_TRAIN_L_CF2_RI1_TI1_R01:seed817000009:iteration1660,CB1_TRAIN_L_CF2_RI1_TI1_R01,CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,40-60%,plateau_or_stagnating|low_action_entropy,355,U1_SHORT_HORIZON,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
CLEAN|CB1_TRAIN_L_CF2_RI1_TI1_R01:seed817000009:iteration1660,CB1_TRAIN_L_CF2_RI1_TI1_R01,CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,40-60%,plateau_or_stagnating|low_action_entropy,355,U2_COST_NORMALIZED,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
CLEAN|CB1_TRAIN_L_CF2_RI1_TI1_R01:seed817000009:iteration1660,CB1_TRAIN_L_CF2_RI1_TI1_R01,CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,40-60%,plateau_or_stagnating|low_action_entropy,355,U3_STOCHASTIC_ROBUSTNESS,True,False,0.18326924638594205,123,0.3446327683615819,190.375,-138.75,-329.125,False,False,True
R12|CB1_CAUR_L_CF3_RI2_TI2_R12_C02|746102|0.50,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,L,CF3,40-60%,plateau_or_stagnating,360,U0_IMMEDIATE,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
R12|CB1_CAUR_L_CF3_RI2_TI2_R12_C02|746102|0.50,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,L,CF3,40-60%,plateau_or_stagnating,360,U1_SHORT_HORIZON,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
