dimension,group,offset,states,instances,informative_states,positive_best_states,informative_state_rate,mean_stale_U0_spearman_informative,mean_stale_top1_regret_positive_best,mean_semantic_bank_jaccard,top1_same_semantics_rate,mean_top5_overlap_fraction,mean_common_rank_spearman,mean_common_percentile_rank_absolute_drift,mean_operation_feature_relative_l2,mean_graph_edge_jaccard,critical_signature_change_rate,dominant_bottleneck_change_rate,mean_stale_top1_U0,mean_fresh_top1_U0,mean_archived_selected_U0,mean_stale_top1_regret_union,mean_fresh_top1_regret_union
dataset_origin,CLEAN_NON_R12_DEVELOPMENT,0,18,18,4,4,0.2222222222222222,0.04838692292484945,10.25,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7222222222222222,0.7222222222222222,0.0,2.2777777777777777,2.2777777777777777
dataset_origin,CLEAN_NON_R12_DEVELOPMENT,5,18,18,8,8,0.4444444444444444,0.03966545709783655,14.75,0.14127525918806755,0.1111111111111111,0.1,0.9987796862776575,0.028639931625860267,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.555555555555555,6.555555555555555
dataset_origin,CLEAN_NON_R12_DEVELOPMENT,10,18,18,7,7,0.3888888888888889,0.024065399837252584,23.857142857142858,0.12724832479506715,0.05555555555555555,0.13333333333333336,0.9846460478624864,0.030321047413477173,0.04223737120628357,0.9675267457306257,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,9.277777777777779,9.277777777777779
dataset_origin,CLEAN_NON_R12_DEVELOPMENT,15,18,18,5,5,0.2777777777777778,0.049685897889257306,23.4,0.12366523668842139,0.05555555555555555,0.07777777777777778,0.9879940545699386,0.0320407855674462,0.04223737120628357,0.9675267457306257,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,6.5,6.5
dataset_origin,CLEAN_NON_R12_DEVELOPMENT,19,18,18,4,4,0.2222222222222222,0.06305488923154944,20.25,0.12600721573529933,0.05555555555555555,0.07777777777777778,0.9926878178413274,0.031189102346685108,0.04223737120628357,0.9675267457306257,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,4.5,4.5
dataset_origin,R12_DEVELOPMENT_EXPOSED,0,18,6,5,5,0.2777777777777778,0.10645340939302124,53.8,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.7777777777777777,14.944444444444445,14.944444444444445
dataset_origin,R12_DEVELOPMENT_EXPOSED,5,18,6,6,6,0.3333333333333333,0.11779961245687498,40.5,0.13254486451174294,0.2222222222222222,0.13333333333333336,0.9915543734760899,0.034350745834479036,0.027154463860723708,0.9745322997416022,0.05555555555555555,0.05555555555555555,0.8888888888888888,0.0,0.0,13.5,14.38888888888889
dataset_origin,R12_DEVELOPMENT_EXPOSED,10,18,6,7,7,0.3888888888888889,0.08921761018356993,30.428571428571427,0.13420518735774992,0.1111111111111111,0.12222222222222223,0.9985369823466321,0.02904264096464332,0.027740607659022015,0.9677099992384434,0.05555555555555555,0.05555555555555555,1.8333333333333333,0.0,0.0,11.833333333333334,13.666666666666666
dataset_origin,R12_DEVELOPMENT_EXPOSED,15,18,6,4,4,0.2222222222222222,0.08811846810485077,20.0,0.13067472436752897,0.1111111111111111,0.13333333333333333,0.9902796731575476,0.03593433184111097,0.04840115871694353,0.9325456213774364,0.1111111111111111,0.05555555555555555,0.0,0.0,0.0,4.444444444444445,4.444444444444445
dataset_origin,R12_DEVELOPMENT_EXPOSED,19,18,6,5,5,0.2777777777777778,0.1060633706407351,31.4,0.12602291273067215,0.1111111111111111,0.1111111111111111,0.9896795857732547,0.03217060333404728,0.04840115871694353,0.9325456213774364,0.1111111111111111,0.05555555555555555,0.0,0.5555555555555556,0.0,8.88888888888889,8.333333333333334
dataset_origin+scale,CLEAN_NON_R12_DEVELOPMENT|L,0,6,6,0,0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset_origin+scale,CLEAN_NON_R12_DEVELOPMENT|L,5,6,6,2,2,0.3333333333333333,0.09588672969359874,20.0,0.13516236176400817,0.0,0.06666666666666667,0.9989308568415329,0.025746647329554295,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,6.666666666666667
dataset_origin+scale,CLEAN_NON_R12_DEVELOPMENT|L,10,6,6,2,2,0.3333333333333333,0.0008335413121377706,12.0,0.10747860402154467,0.0,0.10000000000000002,0.9874239203978363,0.028684197737106124,0.04610125720500946,0.9134972677595629,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,4.0,4.0
dataset_origin+scale,CLEAN_NON_R12_DEVELOPMENT|L,15,6,6,0,0,0.0,,,0.10560598965478431,0.0,0.06666666666666667,0.997342979726946,0.02629159817827337,0.04610125720500946,0.9134972677595629,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
dataset_origin+scale,CLEAN_NON_R12_DEVELOPMENT|L,19,6,6,0,0,0.0,,,0.10637933837562734,0.0,0.10000000000000002,0.9980330709896013,0.027186617624404125,0.04610125720500946,0.9134972677595629,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
dataset_origin+scale,CLEAN_NON_R12_DEVELOPMENT|M,0,6,6,3,3,0.5,0.05288719012516594,12.333333333333334,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,1.0,0.0,0.0,2.1666666666666665,2.1666666666666665,0.0,6.166666666666667,6.166666666666667
dataset_origin+scale,CLEAN_NON_R12_DEVELOPMENT|M,5,6,6,3,3,0.5,0.04418793422618667,14.333333333333334,0.13646626026585387,0.16666666666666666,0.13333333333333333,0.9987911507993279,0.03225728305300406,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.166666666666667,7.166666666666667
dataset_origin+scale,CLEAN_NON_R12_DEVELOPMENT|M,10,6,6,3,3,0.5,0.05982332617727693,40.333333333333336,0.134200511039152,0.16666666666666666,0.16666666666666666,0.9988492621368182,0.024225065527846337,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.166666666666668,20.166666666666668
dataset_origin+scale,CLEAN_NON_R12_DEVELOPMENT|M,15,6,6,3,3,0.5,0.05484563459831424,33.333333333333336,0.12888950702867566,0.16666666666666666,0.13333333333333333,0.9993922099844471,0.027057871607913522,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,16.666666666666668
dataset_origin+scale,CLEAN_NON_R12_DEVELOPMENT|M,19,6,6,2,2,0.3333333333333333,0.05441990767246335,19.5,0.13345282444533144,0.16666666666666666,0.10000000000000002,0.9979805875838709,0.024742262007137878,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5
dataset_origin+scale,CLEAN_NON_R12_DEVELOPMENT|S,0,6,6,1,1,0.16666666666666666,0.03488612132389996,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666
dataset_origin+scale,CLEAN_NON_R12_DEVELOPMENT|S,5,6,6,3,3,0.5,-0.0023378684276883694,11.666666666666666,0.15219715553434057,0.16666666666666666,0.10000000000000002,0.9986170511921113,0.02791586449502244,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.833333333333333,5.833333333333333
dataset_origin+scale,CLEAN_NON_R12_DEVELOPMENT|S,10,6,6,2,2,0.3333333333333333,-0.006339631147669126,11.0,0.14006585932450474,0.0,0.13333333333333333,0.967664961052805,0.038053878975479065,0.08061085641384125,0.9890829694323143,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,3.6666666666666665,3.6666666666666665
dataset_origin+scale,CLEAN_NON_R12_DEVELOPMENT|S,15,6,6,2,2,0.3333333333333333,0.0419462928256719,8.5,0.1365002133818042,0.0,0.03333333333333333,0.9672469739984227,0.04277288691615172,0.08061085641384125,0.9890829694323143,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,2.8333333333333335,2.8333333333333335
dataset_origin+scale,CLEAN_NON_R12_DEVELOPMENT|S,19,6,6,2,2,0.3333333333333333,0.07168987079063552,21.0,0.13818948438493925,0.0,0.03333333333333333,0.9820497949505103,0.041638427408513305,0.08061085641384125,0.9890829694323143,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,7.0,7.0
dataset_origin+scale,R12_DEVELOPMENT_EXPOSED|L,0,6,2,2,2,0.3333333333333333,0.14358793670296668,87.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.333333333333334,29.166666666666668,29.166666666666668
dataset_origin+scale,R12_DEVELOPMENT_EXPOSED|L,5,6,2,2,2,0.3333333333333333,0.17733106790151193,94.0,0.10641551254284543,0.16666666666666666,0.10000000000000002,0.9810123253392112,0.04695692113501838,0.08146339158217113,0.9235968992248061,0.16666666666666666,0.16666666666666666,2.6666666666666665,0.0,0.0,31.333333333333332,34.0
dataset_origin+scale,R12_DEVELOPMENT_EXPOSED|L,10,6,2,3,3,0.5,0.1055894315157031,46.0,0.10192887710741583,0.16666666666666666,0.10000000000000002,0.9996419938465687,0.024252112665408294,0.08322182297706604,0.9031299977153302,0.16666666666666666,0.16666666666666666,5.5,0.0,0.0,23.0,28.5
