dimension,group,utility,states,informative_states,informative_state_rate,positive_best_states,positive_best_state_rate,valid_spearman_states,mean_spearman_valid_states,top1_rank_informative_denominator,mean_top1_realized_rank_informative,mean_top1_normalized_rank_informative,positive_best_metric_denominator,mean_top1_regret_positive_best,hit_at_1_positive_best,hit_at_5_positive_best,hit_at_10_positive_best,ndcg_denominator,mean_ndcg_defined,mean_top1_utility_gap_positive_best,mean_top5_utility_gap_positive_best,mean_top10_utility_gap_positive_best
overall,ALL,U0_IMMEDIATE,27,16,0.5925925925925926,16,0.5925925925925926,16,0.16067697037136208,16,8.375,0.02077320404942649,16,63.625,0.0,0.125,0.1875,16,0.3561403879390176,63.625,42.5,29.4375
overall,ALL,U1_SHORT_HORIZON,27,18,0.6666666666666666,18,0.6666666666666666,18,0.1515187737385711,18,9.38888888888889,0.02364680110706373,18,59.0,0.0,0.1111111111111111,0.2222222222222222,18,0.3521529259670987,59.0,40.22222222222222,28.38888888888889
overall,ALL,U2_COST_NORMALIZED,27,18,0.6666666666666666,18,0.6666666666666666,18,0.15155391771306018,18,9.444444444444445,0.023803737704678297,18,328.42825309640506,0.0,0.1111111111111111,0.2222222222222222,18,0.35406683836032216,328.42825309640506,263.3459833113764,210.3238097146825
overall,ALL,U3_STOCHASTIC_ROBUSTNESS,27,27,1.0,1,0.037037037037037035,27,0.5381512034027234,27,61.55555555555556,0.1707665606133876,1,294.875,0.0,0.0,0.0,1,0.23137821315975915,294.875,106.625,106.625
scale,L,U0_IMMEDIATE,9,6,0.6666666666666666,6,0.6666666666666666,6,0.1923534600337007,6,10.833333333333334,0.027679419185958065,6,75.83333333333333,0.0,0.3333333333333333,0.5,6,0.4200845402796249,75.83333333333333,27.333333333333332,13.666666666666666
scale,L,U1_SHORT_HORIZON,9,7,0.7777777777777778,7,0.7777777777777778,7,0.1844611030108687,7,10.285714285714286,0.02611842149635455,7,65.57142857142857,0.0,0.2857142857142857,0.5714285714285714,7,0.41209627008715616,65.57142857142857,24.0,11.714285714285714
scale,L,U2_COST_NORMALIZED,9,7,0.7777777777777778,7,0.7777777777777778,7,0.18447696474928363,7,10.285714285714286,0.02611842149635455,7,193.47906846004005,0.0,0.2857142857142857,0.5714285714285714,7,0.41789866364388445,193.47906846004005,66.00133554789434,26.684359051348558
scale,L,U3_STOCHASTIC_ROBUSTNESS,9,9,1.0,0,0.0,9,0.48091871864844804,9,91.55555555555556,0.25444711979814194,0,,,,,0,,,,
scale,M,U0_IMMEDIATE,9,6,0.6666666666666666,6,0.6666666666666666,6,0.19673924288232078,6,9.833333333333334,0.024863560193075795,6,86.0,0.0,0.0,0.0,6,0.39278785392494214,86.0,78.16666666666667,57.0
scale,M,U1_SHORT_HORIZON,9,6,0.6666666666666666,6,0.6666666666666666,6,0.20770333363732385,6,13.5,0.03524179890007024,6,88.0,0.0,0.0,0.0,6,0.4171606411821085,88.0,80.16666666666667,59.0
scale,M,U2_COST_NORMALIZED,9,6,0.6666666666666666,6,0.6666666666666666,6,0.20778470635601276,6,13.666666666666666,0.035712608692913934,6,516.00594393098,0.0,0.0,0.0,6,0.4157964262995207,516.00594393098,469.48315630673073,356.2864414292858
scale,M,U3_STOCHASTIC_ROBUSTNESS,9,9,1.0,1,0.1111111111111111,9,0.5876773525251303,9,64.22222222222223,0.1773497261964855,1,294.875,0.0,0.0,0.0,1,0.23137821315975915,294.875,106.625,106.625
scale,S,U0_IMMEDIATE,9,4,0.4444444444444444,4,0.4444444444444444,4,0.05906882711141614,4,2.5,0.00427834712915517,4,11.75,0.0,0.0,0.0,4,0.2052529604492198,11.75,11.75,11.75
scale,S,U1_SHORT_HORIZON,9,5,0.5555555555555556,5,0.5555555555555556,5,0.037978040878851024,5,3.2,0.006272535210448779,5,15.0,0.0,0.0,0.0,5,0.19022298594100656,15.0,15.0,15.0
scale,S,U2_COST_NORMALIZED,9,5,0.5555555555555556,5,0.5555555555555556,5,0.03798470549080432,5,3.2,0.006272535210448779,5,292.2638825858261,0.0,0.0,0.0,5,0.19062677743629663,292.2638825858261,292.2638825858261,292.2638825858261
scale,S,U3_STOCHASTIC_ROBUSTNESS,9,9,1.0,0,0.0,9,0.5458575390345918,9,28.88888888888889,0.08050283584553539,0,,,,,0,,,,
stage,EARLY,U0_IMMEDIATE,9,8,0.8888888888888888,8,0.8888888888888888,8,0.2515872131474374,8,13.25,0.03450307514614452,8,112.125,0.0,0.125,0.25,8,0.45101210038938044,112.125,74.0,50.25
stage,EARLY,U1_SHORT_HORIZON,9,9,1.0,9,1.0,9,0.22876206114372538,9,15.333333333333334,0.04041385840720122,9,104.11111111111111,0.0,0.1111111111111111,0.2222222222222222,9,0.4249794699620815,104.11111111111111,70.22222222222223,49.111111111111114
stage,EARLY,U2_COST_NORMALIZED,9,9,1.0,9,1.0,9,0.2288182812940568,9,15.444444444444445,0.040727731602430345,9,582.6929349722471,0.0,0.1111111111111111,0.2222222222222222,9,0.42910767892684015,582.6929349722471,464.11971193344624,371.70068826590307
stage,EARLY,U3_STOCHASTIC_ROBUSTNESS,9,9,1.0,1,0.1111111111111111,9,0.6865795481758524,9,21.333333333333332,0.05738012114841852,1,294.875,0.0,0.0,0.0,1,0.23137821315975915,294.875,106.625,106.625
stage,LATE,U0_IMMEDIATE,9,4,0.4444444444444444,4,0.4444444444444444,4,0.07526656281018423,4,3.75,0.007709346426829076,4,18.75,0.0,0.0,0.0,4,0.2251443561566996,18.75,16.75,12.0
