dimension,group,left,right,states_all_denominator,valid_spearman_denominator,mean_spearman_valid_states,same_top1_all_states_numerator,same_top1_all_states_denominator,same_top1_all_states_rate,same_top1_pair_informative_numerator,same_top1_pair_informative_denominator,same_top1_pair_informative_rate,mean_top5_overlap_fraction_all_states,mean_top10_overlap_fraction_all_states
overall,ALL,U0_IMMEDIATE,U1_SHORT_HORIZON,27,16,0.9260947985930198,23,27,0.8518518518518519,14,16,0.875,0.9111111111111112,0.9296296296296297
overall,ALL,U0_IMMEDIATE,U2_COST_NORMALIZED,27,16,0.9261111265762239,23,27,0.8518518518518519,14,16,0.875,0.9111111111111112,0.9370370370370371
overall,ALL,U0_IMMEDIATE,U3_STOCHASTIC_ROBUSTNESS,27,16,0.19597304427850093,4,27,0.14814814814814814,4,16,0.25,0.15555555555555556,0.14814814814814814
overall,ALL,U1_SHORT_HORIZON,U2_COST_NORMALIZED,27,18,0.9999893775196961,27,27,1.0,18,18,1.0,0.9777777777777777,0.9888888888888888
overall,ALL,U1_SHORT_HORIZON,U3_STOCHASTIC_ROBUSTNESS,27,18,0.1784271344626792,4,27,0.14814814814814814,4,18,0.2222222222222222,0.13333333333333333,0.13333333333333333
overall,ALL,U2_COST_NORMALIZED,U3_STOCHASTIC_ROBUSTNESS,27,18,0.17844073363661123,4,27,0.14814814814814814,4,18,0.2222222222222222,0.13333333333333333,0.13333333333333333
scale,L,U0_IMMEDIATE,U1_SHORT_HORIZON,9,6,0.9772754321317879,8,9,0.8888888888888888,6,6,1.0,0.9555555555555555,0.9666666666666666
scale,L,U0_IMMEDIATE,U2_COST_NORMALIZED,9,6,0.9774833151193697,8,9,0.8888888888888888,6,6,1.0,0.9333333333333333,0.9777777777777779
scale,L,U0_IMMEDIATE,U3_STOCHASTIC_ROBUSTNESS,9,6,0.22996906423904337,2,9,0.2222222222222222,2,6,0.3333333333333333,0.2222222222222222,0.2
scale,L,U1_SHORT_HORIZON,U2_COST_NORMALIZED,9,7,0.999991295802972,9,9,1.0,7,7,1.0,0.9777777777777779,0.9888888888888889
scale,L,U1_SHORT_HORIZON,U3_STOCHASTIC_ROBUSTNESS,9,7,0.205892686002719,2,9,0.2222222222222222,2,7,0.2857142857142857,0.2222222222222222,0.2
scale,L,U2_COST_NORMALIZED,U3_STOCHASTIC_ROBUSTNESS,9,7,0.20592660343262195,2,9,0.2222222222222222,2,7,0.2857142857142857,0.2222222222222222,0.2
scale,M,U0_IMMEDIATE,U1_SHORT_HORIZON,9,6,0.8960881030460343,8,9,0.8888888888888888,5,6,0.8333333333333334,0.8444444444444446,0.8666666666666667
scale,M,U0_IMMEDIATE,U2_COST_NORMALIZED,9,6,0.8959245949869179,8,9,0.8888888888888888,5,6,0.8333333333333334,0.8666666666666667,0.8777777777777778
scale,M,U0_IMMEDIATE,U3_STOCHASTIC_ROBUSTNESS,9,6,0.23515699111516694,2,9,0.2222222222222222,2,6,0.3333333333333333,0.2222222222222222,0.18888888888888888
scale,M,U1_SHORT_HORIZON,U2_COST_NORMALIZED,9,6,0.9999792158498192,9,9,1.0,6,6,1.0,0.9555555555555555,0.9777777777777779
scale,M,U1_SHORT_HORIZON,U3_STOCHASTIC_ROBUSTNESS,9,6,0.25119233726166085,2,9,0.2222222222222222,2,6,0.3333333333333333,0.15555555555555556,0.14444444444444446
scale,M,U2_COST_NORMALIZED,U3_STOCHASTIC_ROBUSTNESS,9,6,0.2511991909826755,2,9,0.2222222222222222,2,6,0.3333333333333333,0.15555555555555556,0.14444444444444446
scale,S,U0_IMMEDIATE,U1_SHORT_HORIZON,9,4,0.8943338916053457,7,9,0.7777777777777778,3,4,0.75,0.9333333333333333,0.9555555555555555
scale,S,U0_IMMEDIATE,U2_COST_NORMALIZED,9,4,0.8943326411454642,7,9,0.7777777777777778,3,4,0.75,0.9333333333333333,0.9555555555555555
scale,S,U0_IMMEDIATE,U3_STOCHASTIC_ROBUSTNESS,9,4,0.0862030940826882,0,9,0.0,0,4,0.0,0.022222222222222223,0.05555555555555555
scale,S,U1_SHORT_HORIZON,U2_COST_NORMALIZED,9,5,0.9999988859269623,9,9,1.0,5,5,1.0,1.0,1.0
scale,S,U1_SHORT_HORIZON,U3_STOCHASTIC_ROBUSTNESS,9,5,0.052657118947845485,0,9,0.0,0,5,0.0,0.022222222222222223,0.05555555555555555
scale,S,U2_COST_NORMALIZED,U3_STOCHASTIC_ROBUSTNESS,9,5,0.05265036710691906,0,9,0.0,0,5,0.0,0.022222222222222223,0.05555555555555555
stage,EARLY,U0_IMMEDIATE,U1_SHORT_HORIZON,9,8,0.8780577217970023,6,9,0.6666666666666666,6,8,0.75,0.8,0.8222222222222223
stage,EARLY,U0_IMMEDIATE,U2_COST_NORMALIZED,9,8,0.8780372672394808,6,9,0.6666666666666666,6,8,0.75,0.7777777777777778,0.8444444444444444
stage,EARLY,U0_IMMEDIATE,U3_STOCHASTIC_ROBUSTNESS,9,8,0.27107753833551174,2,9,0.2222222222222222,2,8,0.25,0.2888888888888889,0.30000000000000004
stage,EARLY,U1_SHORT_HORIZON,U2_COST_NORMALIZED,9,9,0.9999796457886264,9,9,1.0,9,9,1.0,0.9555555555555555,0.9666666666666666
stage,EARLY,U1_SHORT_HORIZON,U3_STOCHASTIC_ROBUSTNESS,9,9,0.2386460963497455,2,9,0.2222222222222222,2,9,0.2222222222222222,0.2222222222222222,0.25555555555555554
stage,EARLY,U2_COST_NORMALIZED,U3_STOCHASTIC_ROBUSTNESS,9,9,0.23865746321131182,2,9,0.2222222222222222,2,9,0.2222222222222222,0.2222222222222222,0.25555555555555554
stage,LATE,U0_IMMEDIATE,U1_SHORT_HORIZON,9,4,0.9814555110374861,9,9,1.0,4,4,1.0,0.9777777777777779,0.9888888888888889
stage,LATE,U0_IMMEDIATE,U2_COST_NORMALIZED,9,4,0.981562788401801,9,9,1.0,4,4,1.0,1.0,0.9888888888888889
stage,LATE,U0_IMMEDIATE,U3_STOCHASTIC_ROBUSTNESS,9,4,0.11400059103260135,1,9,0.1111111111111111,1,4,0.25,0.13333333333333333,0.08888888888888889
stage,LATE,U1_SHORT_HORIZON,U2_COST_NORMALIZED,9,4,0.9999990521306784,9,9,1.0,4,4,1.0,0.9777777777777779,1.0
stage,LATE,U1_SHORT_HORIZON,U3_STOCHASTIC_ROBUSTNESS,9,4,0.1156673577572484,1,9,0.1111111111111111,1,4,0.25,0.13333333333333333,0.08888888888888889
stage,LATE,U2_COST_NORMALIZED,U3_STOCHASTIC_ROBUSTNESS,9,4,0.11569893997903641,1,9,0.1111111111111111,1,4,0.25,0.13333333333333333,0.08888888888888889
stage,MIDDLE,U0_IMMEDIATE,U1_SHORT_HORIZON,9,4,0.9668082397405884,8,9,0.8888888888888888,4,4,1.0,0.9555555555555555,0.9777777777777779
stage,MIDDLE,U0_IMMEDIATE,U2_COST_NORMALIZED,9,4,0.966807183424133,8,9,0.8888888888888888,4,4,1.0,0.9555555555555555,0.9777777777777779
stage,MIDDLE,U0_IMMEDIATE,U3_STOCHASTIC_ROBUSTNESS,9,4,0.1277365094103788,1,9,0.1111111111111111,1,4,0.25,0.044444444444444446,0.05555555555555555
stage,MIDDLE,U1_SHORT_HORIZON,U2_COST_NORMALIZED,9,5,0.9999991549468357,9,9,1.0,5,5,1.0,1.0,1.0
stage,MIDDLE,U1_SHORT_HORIZON,U3_STOCHASTIC_ROBUSTNESS,9,5,0.12024082443030441,1,9,0.1111111111111111,1,5,0.2,0.044444444444444446,0.05555555555555555
stage,MIDDLE,U2_COST_NORMALIZED,U3_STOCHASTIC_ROBUSTNESS,9,5,0.12024405532821006,1,9,0.1111111111111111,1,5,0.2,0.044444444444444446,0.05555555555555555
scale_stage,L|EARLY,U0_IMMEDIATE,U1_SHORT_HORIZON,3,3,0.9545508642635759,3,3,1.0,3,3,1.0,0.9333333333333332,0.9333333333333332
scale_stage,L|EARLY,U0_IMMEDIATE,U2_COST_NORMALIZED,3,3,0.954967519394375,3,3,1.0,3,3,1.0,0.8666666666666667,0.9666666666666667
scale_stage,L|EARLY,U0_IMMEDIATE,U3_STOCHASTIC_ROBUSTNESS,3,3,0.34063404831016636,1,3,0.3333333333333333,1,3,0.3333333333333333,0.3333333333333333,0.39999999999999997
scale_stage,L|EARLY,U1_SHORT_HORIZON,U2_COST_NORMALIZED,3,3,0.9999805793625702,3,3,1.0,3,3,1.0,0.9333333333333332,0.9666666666666667
scale_stage,L|EARLY,U1_SHORT_HORIZON,U3_STOCHASTIC_ROBUSTNESS,3,3,0.33411103915645374,1,3,0.3333333333333333,1,3,0.3333333333333333,0.3333333333333333,0.39999999999999997
scale_stage,L|EARLY,U2_COST_NORMALIZED,U3_STOCHASTIC_ROBUSTNESS,3,3,0.33416009879903674,1,3,0.3333333333333333,1,3,0.3333333333333333,0.3333333333333333,0.39999999999999997
scale_stage,L|LATE,U0_IMMEDIATE,U1_SHORT_HORIZON,3,2,0.9999999999999999,3,3,1.0,2,2,1.0,1.0,1.0
scale_stage,L|LATE,U0_IMMEDIATE,U2_COST_NORMALIZED,3,2,0.9999986662665465,3,3,1.0,2,2,1.0,1.0,1.0
scale_stage,L|LATE,U0_IMMEDIATE,U3_STOCHASTIC_ROBUSTNESS,3,2,0.09515477080577416,0,3,0.0,0,2,0.0,0.20000000000000004,0.13333333333333333
scale_stage,L|LATE,U1_SHORT_HORIZON,U2_COST_NORMALIZED,3,2,0.9999986662665465,3,3,1.0,2,2,1.0,1.0,1.0
scale_stage,L|LATE,U1_SHORT_HORIZON,U3_STOCHASTIC_ROBUSTNESS,3,2,0.09515477080577416,0,3,0.0,0,2,0.0,0.20000000000000004,0.13333333333333333
scale_stage,L|LATE,U2_COST_NORMALIZED,U3_STOCHASTIC_ROBUSTNESS,3,2,0.09519989234655998,0,3,0.0,0,2,0.0,0.20000000000000004,0.13333333333333333
scale_stage,L|MIDDLE,U0_IMMEDIATE,U1_SHORT_HORIZON,3,1,1.0,2,3,0.6666666666666666,1,1,1.0,0.9333333333333332,0.9666666666666667
scale_stage,L|MIDDLE,U0_IMMEDIATE,U2_COST_NORMALIZED,3,1,1.0,2,3,0.6666666666666666,1,1,1.0,0.9333333333333332,0.9666666666666667
scale_stage,L|MIDDLE,U0_IMMEDIATE,U3_STOCHASTIC_ROBUSTNESS,3,1,0.16760269889221283,1,3,0.3333333333333333,1,1,1.0,0.13333333333333333,0.06666666666666667
scale_stage,L|MIDDLE,U1_SHORT_HORIZON,U2_COST_NORMALIZED,3,2,1.0,3,3,1.0,2,2,1.0,1.0,1.0
scale_stage,L|MIDDLE,U1_SHORT_HORIZON,U3_STOCHASTIC_ROBUSTNESS,3,2,0.12430307146906167,1,3,0.3333333333333333,1,2,0.5,0.13333333333333333,0.06666666666666667
scale_stage,L|MIDDLE,U2_COST_NORMALIZED,U3_STOCHASTIC_ROBUSTNESS,3,2,0.12430307146906167,1,3,0.3333333333333333,1,2,0.5,0.13333333333333333,0.06666666666666667
scale_stage,M|EARLY,U0_IMMEDIATE,U1_SHORT_HORIZON,3,3,0.8611578717213023,2,3,0.6666666666666666,2,3,0.6666666666666666,0.6666666666666666,0.6666666666666666
scale_stage,M|EARLY,U0_IMMEDIATE,U2_COST_NORMALIZED,3,3,0.860686929961681,2,3,0.6666666666666666,2,3,0.6666666666666666,0.6666666666666666,0.7000000000000001
scale_stage,M|EARLY,U0_IMMEDIATE,U3_STOCHASTIC_ROBUSTNESS,3,3,0.33702734569115717,1,3,0.3333333333333333,1,3,0.3333333333333333,0.4666666666666666,0.43333333333333335
scale_stage,M|EARLY,U1_SHORT_HORIZON,U2_COST_NORMALIZED,3,3,0.9999588063697646,3,3,1.0,3,3,1.0,0.9333333333333332,0.9333333333333332
scale_stage,M|EARLY,U1_SHORT_HORIZON,U3_STOCHASTIC_ROBUSTNESS,3,3,0.3637908021965834,1,3,0.3333333333333333,1,3,0.3333333333333333,0.26666666666666666,0.3
scale_stage,M|EARLY,U2_COST_NORMALIZED,U3_STOCHASTIC_ROBUSTNESS,3,3,0.3637924810367526,1,3,0.3333333333333333,1,3,0.3333333333333333,0.26666666666666666,0.3
scale_stage,M|LATE,U0_IMMEDIATE,U1_SHORT_HORIZON,3,1,0.925822044149945,3,3,1.0,1,1,1.0,0.9333333333333332,0.9666666666666667
scale_stage,M|LATE,U0_IMMEDIATE,U2_COST_NORMALIZED,3,1,0.9262538210741111,3,3,1.0,1,1,1.0,1.0,0.9666666666666667
scale_stage,M|LATE,U0_IMMEDIATE,U3_STOCHASTIC_ROBUSTNESS,3,1,0.17804326917220223,1,3,0.3333333333333333,1,1,1.0,0.19999999999999998,0.09999999999999999
scale_stage,M|LATE,U1_SHORT_HORIZON,U2_COST_NORMALIZED,3,1,0.999998875989621,3,3,1.0,1,1,1.0,0.9333333333333332,1.0
scale_stage,M|LATE,U1_SHORT_HORIZON,U3_STOCHASTIC_ROBUSTNESS,3,1,0.1847103360707904,1,3,0.3333333333333333,1,1,1.0,0.19999999999999998,0.09999999999999999
scale_stage,M|LATE,U2_COST_NORMALIZED,U3_STOCHASTIC_ROBUSTNESS,3,1,0.18474642187637075,1,3,0.3333333333333333,1,1,1.0,0.19999999999999998,0.09999999999999999
scale_stage,M|MIDDLE,U0_IMMEDIATE,U1_SHORT_HORIZON,3,2,0.9336164794811769,3,3,1.0,2,2,1.0,0.9333333333333332,0.9666666666666667
scale_stage,M|MIDDLE,U0_IMMEDIATE,U2_COST_NORMALIZED,3,2,0.9336164794811769,3,3,1.0,2,2,1.0,0.9333333333333332,0.9666666666666667
scale_stage,M|MIDDLE,U0_IMMEDIATE,U3_STOCHASTIC_ROBUSTNESS,3,2,0.11090832022266406,0,3,0.0,0,2,0.0,0.0,0.03333333333333333
scale_stage,M|MIDDLE,U1_SHORT_HORIZON,U2_COST_NORMALIZED,3,2,1.0,3,3,1.0,2,2,1.0,1.0,1.0
scale_stage,M|MIDDLE,U1_SHORT_HORIZON,U3_STOCHASTIC_ROBUSTNESS,3,2,0.11553564045471221,0,3,0.0,0,2,0.0,0.0,0.03333333333333333
scale_stage,M|MIDDLE,U2_COST_NORMALIZED,U3_STOCHASTIC_ROBUSTNESS,3,2,0.11553564045471221,0,3,0.0,0,2,0.0,0.0,0.03333333333333333
scale_stage,S|EARLY,U0_IMMEDIATE,U1_SHORT_HORIZON,3,2,0.7886677832106916,1,3,0.3333333333333333,1,2,0.5,0.7999999999999999,0.8666666666666667
scale_stage,S|EARLY,U0_IMMEDIATE,U2_COST_NORMALIZED,3,2,0.7886673949238394,1,3,0.3333333333333333,1,2,0.5,0.7999999999999999,0.8666666666666667
scale_stage,S|EARLY,U0_IMMEDIATE,U3_STOCHASTIC_ROBUSTNESS,3,2,0.0678180623400618,0,3,0.0,0,2,0.0,0.06666666666666667,0.06666666666666667
scale_stage,S|EARLY,U1_SHORT_HORIZON,U2_COST_NORMALIZED,3,3,0.9999995516335446,3,3,1.0,3,3,1.0,1.0,1.0
scale_stage,S|EARLY,U1_SHORT_HORIZON,U3_STOCHASTIC_ROBUSTNESS,3,3,0.018036447696199418,0,3,0.0,0,3,0.0,0.06666666666666667,0.06666666666666667
scale_stage,S|EARLY,U2_COST_NORMALIZED,U3_STOCHASTIC_ROBUSTNESS,3,3,0.01801980979814598,0,3,0.0,0,3,0.0,0.06666666666666667,0.06666666666666667
