state_key,instance_id,dataset_role,scale,stage,actions,U0_IMMEDIATE_nonconstant,U0_IMMEDIATE_positive_best,U1_SHORT_HORIZON_nonconstant,U1_SHORT_HORIZON_positive_best,U2_COST_NORMALIZED_nonconstant,U2_COST_NORMALIZED_positive_best,U3_STOCHASTIC_ROBUSTNESS_nonconstant,U3_STOCHASTIC_ROBUSTNESS_positive_best
CLEAN|CB1_TRAIN_L_CF1_RI2_TI1_R01:seed817000003:iteration3020,CB1_TRAIN_L_CF1_RI2_TI1_R01,TRAIN,L,LATE,355,True,True,True,True,True,True,True,False
CLEAN|CB1_TRAIN_L_CF2_RI1_TI1_R04:seed817000084:iteration3000,CB1_TRAIN_L_CF2_RI1_TI1_R04,VALIDATION,L,LATE,355,True,True,True,True,True,True,True,False
CLEAN|CB1_TRAIN_M_CF1_RI2_TI3_R02:seed817000032:iteration400,CB1_TRAIN_M_CF1_RI2_TI3_R02,TRAIN,M,EARLY,350,True,True,True,True,True,True,True,False
CLEAN|CB1_TRAIN_L_CF1_RI1_TI2_R01:seed817000001:iteration1620,CB1_TRAIN_L_CF1_RI1_TI2_R01,TRAIN,L,MIDDLE,355,True,True,True,True,True,True,True,False
CLEAN|CB1_TRAIN_L_CF1_RI3_TI3_R01:seed817000008:iteration1640,CB1_TRAIN_L_CF1_RI3_TI3_R01,TRAIN,L,MIDDLE,360,False,False,True,True,True,True,True,False
CLEAN|CB1_TRAIN_S_CF3_RI3_TI3_R01:seed817000080:iteration4880,CB1_TRAIN_S_CF3_RI3_TI3_R01,TRAIN,S,LATE,355,True,True,True,True,True,True,True,False
CLEAN|CB1_TRAIN_L_CF1_RI1_TI3_R04:seed817000081:iteration340,CB1_TRAIN_L_CF1_RI1_TI3_R04,VALIDATION,L,EARLY,360,True,True,True,True,True,True,True,False
CLEAN|CB1_TRAIN_S_CF1_RI1_TI1_R04:seed817000099:iteration2860,CB1_TRAIN_S_CF1_RI1_TI1_R04,VALIDATION,S,MIDDLE,345,True,True,True,True,True,True,True,False
CLEAN|CB1_TRAIN_S_CF1_RI1_TI1_R04:seed817000099:iteration580,CB1_TRAIN_S_CF1_RI1_TI1_R04,VALIDATION,S,EARLY,340,False,False,True,True,True,True,True,False
CLEAN|CB1_TRAIN_M_CF1_RI1_TI2_R04:seed817000090:iteration1940,CB1_TRAIN_M_CF1_RI1_TI2_R04,VALIDATION,M,MIDDLE,360,True,True,True,True,True,True,True,False
CLEAN|CB1_TRAIN_S_CF1_RI2_TI3_R01:seed817000059:iteration4720,CB1_TRAIN_S_CF1_RI2_TI3_R01,TRAIN,S,LATE,335,False,False,False,False,False,False,True,False
CLEAN|CB1_TRAIN_M_CF1_RI2_TI3_R02:seed817000032:iteration3560,CB1_TRAIN_M_CF1_RI2_TI3_R02,TRAIN,M,LATE,355,False,False,False,False,False,False,True,False
CLEAN|CB1_TRAIN_S_CF1_RI1_TI1_R01:seed817000054:iteration2760,CB1_TRAIN_S_CF1_RI1_TI1_R01,TRAIN,S,MIDDLE,345,False,False,False,False,False,False,True,False
CLEAN|CB1_TRAIN_M_CF3_RI1_TI1_R01:seed817000045:iteration3660,CB1_TRAIN_M_CF3_RI1_TI1_R01,TRAIN,M,LATE,360,True,True,True,True,True,True,True,False
