dimension,group,transition,numerator,denominator,fraction
overall,ALL,U0_nonconstant_to_U1_nonconstant,16,16,1.0
overall,ALL,U0_constant_to_U1_nonconstant,2,11,0.18181818181818182
overall,ALL,U0_constant_to_U1_constant,9,11,0.8181818181818182
overall,ALL,U0_nonconstant_to_U3_nonconstant,16,16,1.0
overall,ALL,U0_constant_to_U3_nonconstant,11,11,1.0
overall,ALL,U0_positive_best_to_U1_positive_best,16,16,1.0
overall,ALL,not_U0_positive_best_to_U1_positive_best,2,11,0.18181818181818182
scale,L,U0_nonconstant_to_U1_nonconstant,6,6,1.0
scale,L,U0_constant_to_U1_nonconstant,1,3,0.3333333333333333
scale,L,U0_constant_to_U1_constant,2,3,0.6666666666666666
scale,L,U0_nonconstant_to_U3_nonconstant,6,6,1.0
scale,L,U0_constant_to_U3_nonconstant,3,3,1.0
scale,L,U0_positive_best_to_U1_positive_best,6,6,1.0
scale,L,not_U0_positive_best_to_U1_positive_best,1,3,0.3333333333333333
scale,M,U0_nonconstant_to_U1_nonconstant,6,6,1.0
scale,M,U0_constant_to_U1_nonconstant,0,3,0.0
scale,M,U0_constant_to_U1_constant,3,3,1.0
scale,M,U0_nonconstant_to_U3_nonconstant,6,6,1.0
scale,M,U0_constant_to_U3_nonconstant,3,3,1.0
scale,M,U0_positive_best_to_U1_positive_best,6,6,1.0
scale,M,not_U0_positive_best_to_U1_positive_best,0,3,0.0
scale,S,U0_nonconstant_to_U1_nonconstant,4,4,1.0
scale,S,U0_constant_to_U1_nonconstant,1,5,0.2
scale,S,U0_constant_to_U1_constant,4,5,0.8
scale,S,U0_nonconstant_to_U3_nonconstant,4,4,1.0
scale,S,U0_constant_to_U3_nonconstant,5,5,1.0
scale,S,U0_positive_best_to_U1_positive_best,4,4,1.0
scale,S,not_U0_positive_best_to_U1_positive_best,1,5,0.2
stage,EARLY,U0_nonconstant_to_U1_nonconstant,8,8,1.0
stage,EARLY,U0_constant_to_U1_nonconstant,1,1,1.0
stage,EARLY,U0_constant_to_U1_constant,0,1,0.0
stage,EARLY,U0_nonconstant_to_U3_nonconstant,8,8,1.0
stage,EARLY,U0_constant_to_U3_nonconstant,1,1,1.0
stage,EARLY,U0_positive_best_to_U1_positive_best,8,8,1.0
stage,EARLY,not_U0_positive_best_to_U1_positive_best,1,1,1.0
stage,LATE,U0_nonconstant_to_U1_nonconstant,4,4,1.0
stage,LATE,U0_constant_to_U1_nonconstant,0,5,0.0
stage,LATE,U0_constant_to_U1_constant,5,5,1.0
stage,LATE,U0_nonconstant_to_U3_nonconstant,4,4,1.0
stage,LATE,U0_constant_to_U3_nonconstant,5,5,1.0
stage,LATE,U0_positive_best_to_U1_positive_best,4,4,1.0
stage,LATE,not_U0_positive_best_to_U1_positive_best,0,5,0.0
stage,MIDDLE,U0_nonconstant_to_U1_nonconstant,4,4,1.0
stage,MIDDLE,U0_constant_to_U1_nonconstant,1,5,0.2
stage,MIDDLE,U0_constant_to_U1_constant,4,5,0.8
stage,MIDDLE,U0_nonconstant_to_U3_nonconstant,4,4,1.0
stage,MIDDLE,U0_constant_to_U3_nonconstant,5,5,1.0
stage,MIDDLE,U0_positive_best_to_U1_positive_best,4,4,1.0
stage,MIDDLE,not_U0_positive_best_to_U1_positive_best,1,5,0.2
scale_stage,L|EARLY,U0_nonconstant_to_U1_nonconstant,3,3,1.0
scale_stage,L|EARLY,U0_constant_to_U1_nonconstant,0,0,
scale_stage,L|EARLY,U0_constant_to_U1_constant,0,0,
scale_stage,L|EARLY,U0_nonconstant_to_U3_nonconstant,3,3,1.0
scale_stage,L|EARLY,U0_constant_to_U3_nonconstant,0,0,
scale_stage,L|EARLY,U0_positive_best_to_U1_positive_best,3,3,1.0
scale_stage,L|EARLY,not_U0_positive_best_to_U1_positive_best,0,0,
scale_stage,L|LATE,U0_nonconstant_to_U1_nonconstant,2,2,1.0
scale_stage,L|LATE,U0_constant_to_U1_nonconstant,0,1,0.0
scale_stage,L|LATE,U0_constant_to_U1_constant,1,1,1.0
scale_stage,L|LATE,U0_nonconstant_to_U3_nonconstant,2,2,1.0
scale_stage,L|LATE,U0_constant_to_U3_nonconstant,1,1,1.0
scale_stage,L|LATE,U0_positive_best_to_U1_positive_best,2,2,1.0
scale_stage,L|LATE,not_U0_positive_best_to_U1_positive_best,0,1,0.0
scale_stage,L|MIDDLE,U0_nonconstant_to_U1_nonconstant,1,1,1.0
scale_stage,L|MIDDLE,U0_constant_to_U1_nonconstant,1,2,0.5
scale_stage,L|MIDDLE,U0_constant_to_U1_constant,1,2,0.5
scale_stage,L|MIDDLE,U0_nonconstant_to_U3_nonconstant,1,1,1.0
scale_stage,L|MIDDLE,U0_constant_to_U3_nonconstant,2,2,1.0
scale_stage,L|MIDDLE,U0_positive_best_to_U1_positive_best,1,1,1.0
scale_stage,L|MIDDLE,not_U0_positive_best_to_U1_positive_best,1,2,0.5
scale_stage,M|EARLY,U0_nonconstant_to_U1_nonconstant,3,3,1.0
scale_stage,M|EARLY,U0_constant_to_U1_nonconstant,0,0,
scale_stage,M|EARLY,U0_constant_to_U1_constant,0,0,
scale_stage,M|EARLY,U0_nonconstant_to_U3_nonconstant,3,3,1.0
scale_stage,M|EARLY,U0_constant_to_U3_nonconstant,0,0,
scale_stage,M|EARLY,U0_positive_best_to_U1_positive_best,3,3,1.0
scale_stage,M|EARLY,not_U0_positive_best_to_U1_positive_best,0,0,
scale_stage,M|LATE,U0_nonconstant_to_U1_nonconstant,1,1,1.0
scale_stage,M|LATE,U0_constant_to_U1_nonconstant,0,2,0.0
scale_stage,M|LATE,U0_constant_to_U1_constant,2,2,1.0
scale_stage,M|LATE,U0_nonconstant_to_U3_nonconstant,1,1,1.0
scale_stage,M|LATE,U0_constant_to_U3_nonconstant,2,2,1.0
scale_stage,M|LATE,U0_positive_best_to_U1_positive_best,1,1,1.0
scale_stage,M|LATE,not_U0_positive_best_to_U1_positive_best,0,2,0.0
scale_stage,M|MIDDLE,U0_nonconstant_to_U1_nonconstant,2,2,1.0
scale_stage,M|MIDDLE,U0_constant_to_U1_nonconstant,0,1,0.0
scale_stage,M|MIDDLE,U0_constant_to_U1_constant,1,1,1.0
scale_stage,M|MIDDLE,U0_nonconstant_to_U3_nonconstant,2,2,1.0
scale_stage,M|MIDDLE,U0_constant_to_U3_nonconstant,1,1,1.0
scale_stage,M|MIDDLE,U0_positive_best_to_U1_positive_best,2,2,1.0
scale_stage,M|MIDDLE,not_U0_positive_best_to_U1_positive_best,0,1,0.0
scale_stage,S|EARLY,U0_nonconstant_to_U1_nonconstant,2,2,1.0
scale_stage,S|EARLY,U0_constant_to_U1_nonconstant,1,1,1.0
scale_stage,S|EARLY,U0_constant_to_U1_constant,0,1,0.0
scale_stage,S|EARLY,U0_nonconstant_to_U3_nonconstant,2,2,1.0
scale_stage,S|EARLY,U0_constant_to_U3_nonconstant,1,1,1.0
scale_stage,S|EARLY,U0_positive_best_to_U1_positive_best,2,2,1.0
scale_stage,S|EARLY,not_U0_positive_best_to_U1_positive_best,1,1,1.0
scale_stage,S|LATE,U0_nonconstant_to_U1_nonconstant,1,1,1.0
scale_stage,S|LATE,U0_constant_to_U1_nonconstant,0,2,0.0
scale_stage,S|LATE,U0_constant_to_U1_constant,2,2,1.0
scale_stage,S|LATE,U0_nonconstant_to_U3_nonconstant,1,1,1.0
scale_stage,S|LATE,U0_constant_to_U3_nonconstant,2,2,1.0
scale_stage,S|LATE,U0_positive_best_to_U1_positive_best,1,1,1.0
scale_stage,S|LATE,not_U0_positive_best_to_U1_positive_best,0,2,0.0
scale_stage,S|MIDDLE,U0_nonconstant_to_U1_nonconstant,1,1,1.0
scale_stage,S|MIDDLE,U0_constant_to_U1_nonconstant,0,2,0.0
scale_stage,S|MIDDLE,U0_constant_to_U1_constant,2,2,1.0
scale_stage,S|MIDDLE,U0_nonconstant_to_U3_nonconstant,1,1,1.0
scale_stage,S|MIDDLE,U0_constant_to_U3_nonconstant,2,2,1.0
scale_stage,S|MIDDLE,U0_positive_best_to_U1_positive_best,1,1,1.0
scale_stage,S|MIDDLE,not_U0_positive_best_to_U1_positive_best,0,2,0.0
