instance,seed,level,h1_makespan,h2_makespan,bc_makespan,best_reference,bc_feasible
synthetic_S_61001,61001,S,382.0,375.0,336.0,336.0,True
synthetic_S_61002,61002,S,398.0,389.0,442.0,389.0,True
synthetic_S_61003,61003,S,765.0,823.0,711.0,711.0,True
synthetic_S_61004,61004,S,339.0,372.0,309.0,309.0,True
synthetic_S_61005,61005,S,524.0,660.0,641.0,524.0,True
synthetic_S_61006,61006,S,311.0,298.0,278.0,278.0,True
synthetic_S_61007,61007,S,1093.0,1165.0,1086.0,1086.0,True
synthetic_S_61008,61008,S,999.0,1100.0,961.0,961.0,True
synthetic_S_61009,61009,S,670.0,693.0,618.0,618.0,True
synthetic_S_61010,61010,S,376.0,402.0,474.0,376.0,True
synthetic_M_62001,62001,M,653.0,781.0,871.0,653.0,True
synthetic_M_62002,62002,M,1364.0,1475.0,1445.0,1364.0,True
synthetic_M_62003,62003,M,803.0,825.0,960.0,803.0,True
synthetic_M_62004,62004,M,736.0,722.0,1114.0,722.0,True
synthetic_M_62005,62005,M,682.0,678.0,705.0,678.0,True
synthetic_M_62006,62006,M,1629.0,1724.0,1422.0,1422.0,True
synthetic_M_62007,62007,M,1120.0,1232.0,1346.0,1120.0,True
synthetic_M_62008,62008,M,1454.0,1553.0,1296.0,1296.0,True
synthetic_M_62009,62009,M,1656.0,1912.0,1396.0,1396.0,True
synthetic_M_62010,62010,M,1654.0,1792.0,1590.0,1590.0,True
synthetic_L_63001,63001,L,2459.0,2888.0,3437.0,2459.0,True
synthetic_L_63002,63002,L,1277.0,1471.0,2339.0,1277.0,True
synthetic_L_63003,63003,L,1766.0,1937.0,2163.0,1766.0,True
synthetic_L_63004,63004,L,3319.0,4780.0,6138.0,3319.0,True
synthetic_L_63005,63005,L,3254.0,3293.0,2810.0,2810.0,True
synthetic_L_63006,63006,L,4302.0,4379.0,4720.0,4302.0,True
synthetic_L_63007,63007,L,2024.0,3481.0,3413.0,2024.0,True
synthetic_L_63008,63008,L,1540.0,1738.0,3067.0,1540.0,True
synthetic_L_63009,63009,L,3199.0,3904.0,5301.0,3199.0,True
synthetic_L_63010,63010,L,2519.0,3158.0,5107.0,2519.0,True
