instance,seed,level,group,bc_makespan,ppo_makespan,bc_o_ppo_rest,ppo_o_bc_rest,bc_om_ppo_wf,ppo_om_bc_wf,all_feasible
synthetic_S_61001,61001,S,development,336.0,337.0,336.0,330.0,336.0,337.0,True
synthetic_S_61002,61002,S,development,442.0,419.0,418.0,381.0,397.0,392.0,True
synthetic_S_61003,61003,S,development,711.0,734.0,744.0,721.0,711.0,734.0,True
synthetic_S_61004,61004,S,development,309.0,333.0,324.0,313.0,309.0,333.0,True
synthetic_S_61005,61005,S,development,641.0,758.0,641.0,758.0,641.0,758.0,True
synthetic_S_61006,61006,S,development,278.0,323.0,297.0,285.0,278.0,323.0,True
synthetic_S_61007,61007,S,development,1086.0,1095.0,1107.0,1108.0,1086.0,1095.0,True
synthetic_S_61008,61008,S,development,961.0,1041.0,1011.0,961.0,961.0,1041.0,True
synthetic_S_61009,61009,S,development,618.0,647.0,654.0,615.0,618.0,647.0,True
synthetic_S_61010,61010,S,development,474.0,442.0,419.0,449.0,474.0,442.0,True
synthetic_M_62001,62001,M,development,871.0,659.0,701.0,995.0,667.0,1078.0,True
synthetic_M_62002,62002,M,development,1445.0,1537.0,1374.0,1632.0,1423.0,1606.0,True
synthetic_M_62003,62003,M,development,960.0,875.0,845.0,1183.0,873.0,1147.0,True
synthetic_M_62004,62004,M,development,1114.0,788.0,720.0,1222.0,698.0,1248.0,True
synthetic_M_62005,62005,M,development,705.0,637.0,598.0,744.0,598.0,777.0,True
synthetic_M_62006,62006,M,development,1422.0,1476.0,1497.0,1479.0,1422.0,1476.0,True
synthetic_M_62007,62007,M,development,1346.0,963.0,972.0,1212.0,962.0,1231.0,True
synthetic_M_62008,62008,M,development,1296.0,1336.0,1331.0,1350.0,1296.0,1336.0,True
synthetic_M_62009,62009,M,development,1396.0,1410.0,1414.0,1420.0,1396.0,1410.0,True
synthetic_M_62010,62010,M,development,1590.0,1579.0,1612.0,1552.0,1537.0,1579.0,True
synthetic_L_63001,63001,L,development,3437.0,2851.0,2526.0,3470.0,2531.0,3562.0,True
synthetic_L_63002,63002,L,development,2339.0,2045.0,1796.0,2820.0,1489.0,2926.0,True
synthetic_L_63003,63003,L,development,2163.0,2023.0,1882.0,2094.0,1978.0,2035.0,True
synthetic_L_63004,63004,L,development,6138.0,3507.0,3118.0,4228.0,3678.0,5412.0,True
synthetic_L_63005,63005,L,development,2810.0,3044.0,2828.0,3121.0,2838.0,3090.0,True
synthetic_L_63006,63006,L,development,4720.0,4064.0,3724.0,4848.0,3754.0,5069.0,True
synthetic_L_63007,63007,L,development,3413.0,2821.0,2990.0,3054.0,2903.0,3235.0,True
synthetic_L_63008,63008,L,development,3067.0,2247.0,2223.0,2585.0,1878.0,2951.0,True
synthetic_L_63009,63009,L,development,5301.0,4217.0,4195.0,5513.0,4514.0,5528.0,True
synthetic_L_63010,63010,L,development,5077.0,4690.0,4856.0,4551.0,5165.0,4770.0,True
synthetic_M_64001,64001,M,high_reconfiguration,1245.0,1209.0,1211.0,1424.0,1176.0,1474.0,True
synthetic_M_64002,64002,M,high_reconfiguration,946.0,978.0,869.0,1019.0,895.0,1004.0,True
synthetic_M_64003,64003,M,high_reconfiguration,923.0,901.0,912.0,895.0,923.0,901.0,True
synthetic_M_64001,64001,M,fleet_scarcity,3495.0,3505.0,3488.0,3478.0,3495.0,3505.0,True
synthetic_M_64002,64002,M,fleet_scarcity,2330.0,2372.0,2350.0,2331.0,2330.0,2372.0,True
synthetic_M_64003,64003,M,fleet_scarcity,1595.0,1602.0,1636.0,1610.0,1595.0,1602.0,True
synthetic_M_64001,64001,M,high_travel,2110.0,2164.0,2145.0,2102.0,2077.0,2219.0,True
synthetic_M_64002,64002,M,high_travel,1348.0,1388.0,1198.0,1552.0,1167.0,1532.0,True
synthetic_M_64003,64003,M,high_travel,1645.0,1659.0,1683.0,1617.0,1630.0,1649.0,True
