family,method,runs,mean_makespan,mean_gap_to_bc_percent,std_gap_to_bc_percent,feasibility_rate,mean_runtime_seconds
Brandimarte,BC_GREEDY,10,2097.6,0.0,0.0,1.0,6.289549388899468
Brandimarte,H1,10,2032.1,-4.057551658192986,8.407435241533157,1.0,0.371653082605917
Brandimarte,H2,10,2260.2,7.816411698973451,11.596041062851631,1.0,0.3665770181978587
Brandimarte,PHASE5B_DOWNSTREAM_PPO,30,2023.9333333333334,-3.6791396305539132,7.229713635749985,1.0,11.786995441066876
Hurink E,BC_GREEDY,40,3044.65,0.0,0.0,1.0,5.859034342302766
Hurink E,H1,40,2723.875,-10.523099877832683,10.276625165893554,1.0,0.2662198161233391
Hurink E,H2,40,2858.125,-6.014750356921108,5.439861196617602,1.0,0.07809807412195369
Hurink E,PHASE5B_DOWNSTREAM_PPO,120,2875.741666666667,-5.093008505899897,7.444858514968872,1.0,11.364356654350074
Hurink R,BC_GREEDY,40,2792.375,0.0,0.0,1.0,7.222536911552015
Hurink R,H1,40,2519.975,-10.91332784845276,10.423451921640577,1.0,0.45290493915308616
Hurink R,H2,40,2630.3,-6.871018437945124,10.42627116974764,1.0,0.11784561704844236
Hurink R,PHASE5B_DOWNSTREAM_PPO,120,2651.4416666666666,-3.7947460916705382,8.426869106724668,1.0,13.239782671306845
Hurink V,BC_GREEDY,40,2961.425,0.0,0.0,1.0,11.795558875602728
Hurink V,H1,40,2241.525,-23.12398461750688,11.04899935844815,1.0,1.0471201596257742
Hurink V,H2,40,2511.35,-13.956754316935335,9.86197655678466,1.0,0.24037671172045522
Hurink V,PHASE5B_DOWNSTREAM_PPO,120,3336.3416666666667,10.3238282015705,16.097274661781803,1.0,18.496639132089573
Overall,BC_GREEDY,130,2868.5692307692307,0.0,0.0,1.0,8.138313069748424
Overall,H1,130,2459.507692307692,-14.023015464104791,12.198156561193882,1.0,0.572048672478055
Overall,H2,130,2635.3307692307694,-7.657975442171755,10.699146101110607,1.0,0.16245066382778953
Overall,PHASE5B_DOWNSTREAM_PPO,390,2882.925641025641,0.15885806041894926,12.995262395452757,1.0,14.168469944004064
