instance,split,group,level,seed,bc_makespan,phase5a_ppo_mean_makespan,frozen_o_hybrid_mean_makespan,phase5b_downstream_makespan,phase5b_gap_to_bc_percent,feasible
synthetic_S_71001,phase5b_holdout,S,S,71001,224.0,228.66666666666666,227.33333333333334,224.0,0.0,True
synthetic_S_71002,phase5b_holdout,S,S,71002,784.0,787.3333333333334,784.3333333333334,783.0,-0.12755102040816327,True
synthetic_S_71003,phase5b_holdout,S,S,71003,309.0,246.66666666666666,292.3333333333333,259.0,-16.181229773462782,True
synthetic_S_71004,phase5b_holdout,S,S,71004,332.0,320.6666666666667,336.6666666666667,329.0,-0.9036144578313253,True
synthetic_S_71005,phase5b_holdout,S,S,71005,192.0,193.33333333333334,187.0,184.0,-4.166666666666667,True
synthetic_S_71006,phase5b_holdout,S,S,71006,325.0,321.0,325.0,325.0,0.0,True
synthetic_S_71007,phase5b_holdout,S,S,71007,266.0,259.0,262.3333333333333,252.0,-5.2631578947368425,True
synthetic_S_71008,phase5b_holdout,S,S,71008,546.0,546.0,552.0,549.0,0.5494505494505495,True
synthetic_S_71009,phase5b_holdout,S,S,71009,426.0,432.6666666666667,410.0,414.0,-2.816901408450704,True
synthetic_S_71010,phase5b_holdout,S,S,71010,289.0,290.0,282.6666666666667,291.0,0.6920415224913494,True
synthetic_S_71011,phase5b_holdout,S,S,71011,334.0,330.6666666666667,311.3333333333333,313.0,-6.287425149700598,True
synthetic_S_71012,phase5b_holdout,S,S,71012,536.0,541.3333333333334,534.6666666666666,536.0,0.0,True
synthetic_S_71013,phase5b_holdout,S,S,71013,435.0,430.3333333333333,435.0,435.0,0.0,True
synthetic_S_71014,phase5b_holdout,S,S,71014,212.0,218.0,206.66666666666666,209.0,-1.4150943396226414,True
synthetic_S_71015,phase5b_holdout,S,S,71015,394.0,365.0,370.0,346.0,-12.182741116751268,True
synthetic_S_71016,phase5b_holdout,S,S,71016,181.0,177.66666666666666,181.0,181.0,0.0,True
synthetic_S_71017,phase5b_holdout,S,S,71017,420.0,420.0,420.0,420.0,0.0,True
synthetic_S_71018,phase5b_holdout,S,S,71018,475.0,496.3333333333333,436.3333333333333,433.0,-8.842105263157896,True
synthetic_S_71019,phase5b_holdout,S,S,71019,566.0,578.0,569.0,566.0,0.0,True
synthetic_S_71020,phase5b_holdout,S,S,71020,426.0,421.3333333333333,412.6666666666667,406.0,-4.694835680751174,True
synthetic_M_72001,phase5b_holdout,M,M,72001,1249.0,1021.6666666666666,1150.6666666666667,1057.0,-15.372297838270617,True
synthetic_M_72002,phase5b_holdout,M,M,72002,1162.0,1114.0,1149.3333333333333,1150.0,-1.0327022375215147,True
synthetic_M_72003,phase5b_holdout,M,M,72003,952.0,877.3333333333334,875.3333333333334,846.0,-11.134453781512605,True
synthetic_M_72004,phase5b_holdout,M,M,72004,1616.0,1585.3333333333333,1562.0,1598.0,-1.113861386138614,True
synthetic_M_72005,phase5b_holdout,M,M,72005,723.0,732.6666666666666,719.3333333333334,742.0,2.627939142461964,True
synthetic_M_72006,phase5b_holdout,M,M,72006,1305.0,1271.6666666666667,1271.6666666666667,1254.0,-3.9080459770114944,True
synthetic_M_72007,phase5b_holdout,M,M,72007,833.0,829.6666666666666,743.6666666666666,896.0,7.563025210084033,True
synthetic_M_72008,phase5b_holdout,M,M,72008,546.0,583.3333333333334,565.6666666666666,549.0,0.5494505494505495,True
synthetic_M_72009,phase5b_holdout,M,M,72009,1132.0,1144.0,1124.0,1149.0,1.5017667844522968,True
synthetic_M_72010,phase5b_holdout,M,M,72010,1158.0,1195.0,1171.3333333333333,1094.0,-5.526770293609672,True
synthetic_M_72011,phase5b_holdout,M,M,72011,3352.0,3228.0,3280.6666666666665,3288.0,-1.909307875894988,True
synthetic_M_72012,phase5b_holdout,M,M,72012,1345.0,1337.3333333333333,1350.6666666666667,1347.0,0.14869888475836432,True
synthetic_M_72013,phase5b_holdout,M,M,72013,1201.0,971.6666666666666,966.6666666666666,936.0,-22.06494587843464,True
synthetic_M_72014,phase5b_holdout,M,M,72014,688.0,639.3333333333334,608.6666666666666,691.0,0.436046511627907,True
synthetic_M_72015,phase5b_holdout,M,M,72015,1028.0,1002.6666666666666,1047.6666666666667,1013.0,-1.4591439688715953,True
synthetic_M_72016,phase5b_holdout,M,M,72016,2468.0,2462.0,2457.0,2473.0,0.2025931928687196,True
synthetic_M_72017,phase5b_holdout,M,M,72017,1583.0,1609.6666666666667,1596.0,1606.0,1.4529374605180039,True
synthetic_M_72018,phase5b_holdout,M,M,72018,1337.0,1340.3333333333333,1334.0,1337.0,0.0,True
synthetic_M_72019,phase5b_holdout,M,M,72019,1266.0,1261.6666666666667,1252.3333333333333,1295.0,2.2906793048973144,True
synthetic_M_72020,phase5b_holdout,M,M,72020,1433.0,1265.3333333333333,1168.6666666666667,1188.0,-17.096999302163294,True
synthetic_L_73001,phase5b_holdout,L,L,73001,1983.0,1556.0,1519.6666666666667,1498.0,-24.457892082702976,True
synthetic_L_73002,phase5b_holdout,L,L,73002,6325.0,5843.666666666667,5889.0,6235.0,-1.4229249011857708,True
synthetic_L_73003,phase5b_holdout,L,L,73003,2807.0,2832.6666666666665,2808.6666666666665,3171.0,12.967581047381547,True
synthetic_L_73004,phase5b_holdout,L,L,73004,2576.0,2284.6666666666665,2319.0,2413.0,-6.327639751552795,True
synthetic_L_73005,phase5b_holdout,L,L,73005,4748.0,5186.0,5263.0,4743.0,-0.10530749789385004,True
synthetic_L_73006,phase5b_holdout,L,L,73006,2791.0,2645.6666666666665,2675.3333333333335,2516.0,-9.853099247581511,True
synthetic_L_73007,phase5b_holdout,L,L,73007,2184.0,2457.3333333333335,2310.6666666666665,2346.0,7.417582417582418,True
synthetic_L_73008,phase5b_holdout,L,L,73008,3533.0,3531.6666666666665,3328.6666666666665,3453.0,-2.2643645626945936,True
synthetic_L_73009,phase5b_holdout,L,L,73009,4234.0,3761.6666666666665,3760.3333333333335,4010.0,-5.290505432215399,True
synthetic_L_73010,phase5b_holdout,L,L,73010,5292.0,4999.0,5173.666666666667,5332.0,0.7558578987150416,True
synthetic_L_73011,phase5b_holdout,L,L,73011,7852.0,8545.0,8062.666666666667,8260.0,5.196128374936322,True
synthetic_L_73012,phase5b_holdout,L,L,73012,5556.0,5306.333333333333,5275.666666666667,6043.0,8.765298776097913,True
synthetic_L_73013,phase5b_holdout,L,L,73013,3012.0,3333.6666666666665,3318.3333333333335,3738.0,24.10358565737052,True
synthetic_L_73014,phase5b_holdout,L,L,73014,2107.0,2097.6666666666665,2041.6666666666667,2073.0,-1.6136687233032747,True
synthetic_L_73015,phase5b_holdout,L,L,73015,5083.0,4402.666666666667,4143.333333333333,4463.0,-12.197521148927798,True
synthetic_L_73016,phase5b_holdout,L,L,73016,4465.0,3890.6666666666665,4199.666666666667,4314.0,-3.381858902575588,True
synthetic_L_73017,phase5b_holdout,L,L,73017,11528.0,11713.333333333334,11654.666666666666,11356.0,-1.4920194309507286,True
synthetic_L_73018,phase5b_holdout,L,L,73018,6076.0,5390.333333333333,6022.0,6029.0,-0.7735352205398288,True
synthetic_L_73019,phase5b_holdout,L,L,73019,2704.0,2765.0,2708.3333333333335,2585.0,-4.400887573964497,True
synthetic_L_73020,phase5b_holdout,L,L,73020,4497.0,4486.666666666667,4473.333333333333,4256.0,-5.359128307760729,True
synthetic_M_74001,phase5b_structural,high_reconfiguration,M,74001,1098.0,1111.3333333333333,1155.3333333333333,1215.0,10.655737704918034,True
synthetic_M_74002,phase5b_structural,high_reconfiguration,M,74002,1596.0,1570.3333333333333,1628.6666666666667,1633.0,2.318295739348371,True
synthetic_M_74003,phase5b_structural,high_reconfiguration,M,74003,715.0,620.0,614.6666666666666,717.0,0.27972027972027974,True
synthetic_M_74004,phase5b_structural,high_reconfiguration,M,74004,1634.0,1279.6666666666667,1251.6666666666667,1283.0,-21.481028151774787,True
synthetic_M_74005,phase5b_structural,high_reconfiguration,M,74005,1731.0,1764.3333333333333,1691.0,1716.0,-0.8665511265164645,True
synthetic_M_74006,phase5b_structural,high_reconfiguration,M,74006,974.0,954.3333333333334,962.6666666666666,1006.0,3.2854209445585214,True
synthetic_M_74007,phase5b_structural,high_reconfiguration,M,74007,1024.0,987.6666666666666,1055.0,1018.0,-0.5859375,True
