instance,split,group,level,seed,bc_makespan,phase5a_ppo_mean_makespan,frozen_o_hybrid_mean_makespan,phase5b_downstream_makespan,phase5b_gap_to_bc_percent,feasible
synthetic_S_71001,phase5b_holdout,S,S,71001,224.0,228.66666666666666,227.33333333333334,224.0,0.0,True
synthetic_S_71002,phase5b_holdout,S,S,71002,784.0,787.3333333333334,784.3333333333334,784.0,0.0,True
synthetic_S_71003,phase5b_holdout,S,S,71003,309.0,246.66666666666666,292.3333333333333,309.0,0.0,True
synthetic_S_71004,phase5b_holdout,S,S,71004,332.0,320.6666666666667,336.6666666666667,321.0,-3.3132530120481927,True
synthetic_S_71005,phase5b_holdout,S,S,71005,192.0,193.33333333333334,187.0,194.0,1.0416666666666667,True
synthetic_S_71006,phase5b_holdout,S,S,71006,325.0,321.0,325.0,325.0,0.0,True
synthetic_S_71007,phase5b_holdout,S,S,71007,266.0,259.0,262.3333333333333,266.0,0.0,True
synthetic_S_71008,phase5b_holdout,S,S,71008,546.0,546.0,552.0,549.0,0.5494505494505495,True
synthetic_S_71009,phase5b_holdout,S,S,71009,426.0,432.6666666666667,410.0,402.0,-5.633802816901408,True
synthetic_S_71010,phase5b_holdout,S,S,71010,289.0,290.0,282.6666666666667,293.0,1.3840830449826989,True
synthetic_S_71011,phase5b_holdout,S,S,71011,334.0,330.6666666666667,311.3333333333333,318.0,-4.790419161676646,True
synthetic_S_71012,phase5b_holdout,S,S,71012,536.0,541.3333333333334,534.6666666666666,536.0,0.0,True
synthetic_S_71013,phase5b_holdout,S,S,71013,435.0,430.3333333333333,435.0,435.0,0.0,True
synthetic_S_71014,phase5b_holdout,S,S,71014,212.0,218.0,206.66666666666666,212.0,0.0,True
synthetic_S_71015,phase5b_holdout,S,S,71015,394.0,365.0,370.0,394.0,0.0,True
synthetic_S_71016,phase5b_holdout,S,S,71016,181.0,177.66666666666666,181.0,181.0,0.0,True
synthetic_S_71017,phase5b_holdout,S,S,71017,420.0,420.0,420.0,420.0,0.0,True
synthetic_S_71018,phase5b_holdout,S,S,71018,475.0,496.3333333333333,436.3333333333333,484.0,1.894736842105263,True
synthetic_S_71019,phase5b_holdout,S,S,71019,566.0,578.0,569.0,566.0,0.0,True
synthetic_S_71020,phase5b_holdout,S,S,71020,426.0,421.3333333333333,412.6666666666667,426.0,0.0,True
synthetic_M_72001,phase5b_holdout,M,M,72001,1249.0,1021.6666666666666,1150.6666666666667,1039.0,-16.813450760608486,True
synthetic_M_72002,phase5b_holdout,M,M,72002,1162.0,1114.0,1149.3333333333333,1153.0,-0.774526678141136,True
synthetic_M_72003,phase5b_holdout,M,M,72003,952.0,877.3333333333334,875.3333333333334,890.0,-6.512605042016807,True
synthetic_M_72004,phase5b_holdout,M,M,72004,1616.0,1585.3333333333333,1562.0,1616.0,0.0,True
synthetic_M_72005,phase5b_holdout,M,M,72005,723.0,732.6666666666666,719.3333333333334,724.0,0.13831258644536654,True
synthetic_M_72006,phase5b_holdout,M,M,72006,1305.0,1271.6666666666667,1271.6666666666667,1481.0,13.486590038314176,True
synthetic_M_72007,phase5b_holdout,M,M,72007,833.0,829.6666666666666,743.6666666666666,850.0,2.0408163265306123,True
synthetic_M_72008,phase5b_holdout,M,M,72008,546.0,583.3333333333334,565.6666666666666,580.0,6.227106227106227,True
synthetic_M_72009,phase5b_holdout,M,M,72009,1132.0,1144.0,1124.0,1118.0,-1.2367491166077738,True
synthetic_M_72010,phase5b_holdout,M,M,72010,1158.0,1195.0,1171.3333333333333,1158.0,0.0,True
synthetic_M_72011,phase5b_holdout,M,M,72011,3352.0,3228.0,3280.6666666666665,3486.0,3.9976133651551313,True
synthetic_M_72012,phase5b_holdout,M,M,72012,1345.0,1337.3333333333333,1350.6666666666667,1345.0,0.0,True
synthetic_M_72013,phase5b_holdout,M,M,72013,1201.0,971.6666666666666,966.6666666666666,1020.0,-15.070774354704414,True
synthetic_M_72014,phase5b_holdout,M,M,72014,688.0,639.3333333333334,608.6666666666666,613.0,-10.901162790697674,True
synthetic_M_72015,phase5b_holdout,M,M,72015,1028.0,1002.6666666666666,1047.6666666666667,1078.0,4.863813229571984,True
