instance,instance_seed,level,split,group,ppo_seed,bc_makespan,ppo_makespan,bc_o_ppo_mwf,ppo_o_bc_mwf,bc_om_ppo_wf,ppo_om_bc_wf,bc_omw_ppo_f,ppo_omw_bc_f,all_feasible
synthetic_S_61001,61001,S,phase5a_development,S,510101,336.0,331.0,336.0,331.0,336.0,331.0,336.0,331.0,True
synthetic_S_61002,61002,S,phase5a_development,S,510101,442.0,373.0,390.0,439.0,390.0,439.0,427.0,373.0,True
synthetic_S_61003,61003,S,phase5a_development,S,510101,711.0,731.0,717.0,732.0,711.0,731.0,711.0,731.0,True
synthetic_S_61004,61004,S,phase5a_development,S,510101,309.0,320.0,309.0,320.0,309.0,320.0,309.0,320.0,True
synthetic_S_61005,61005,S,phase5a_development,S,510101,641.0,614.0,641.0,614.0,641.0,614.0,641.0,614.0,True
synthetic_S_61006,61006,S,phase5a_development,S,510101,278.0,278.0,278.0,278.0,278.0,278.0,278.0,278.0,True
synthetic_S_61007,61007,S,phase5a_development,S,510101,1086.0,1098.0,1086.0,1091.0,1086.0,1091.0,1086.0,1098.0,True
synthetic_S_61008,61008,S,phase5a_development,S,510101,961.0,961.0,961.0,982.0,961.0,961.0,961.0,961.0,True
synthetic_S_61009,61009,S,phase5a_development,S,510101,618.0,618.0,618.0,615.0,618.0,615.0,618.0,618.0,True
synthetic_S_61010,61010,S,phase5a_development,S,510101,474.0,440.0,474.0,440.0,474.0,440.0,474.0,440.0,True
synthetic_M_62001,62001,M,phase5a_development,M,510101,871.0,631.0,714.0,949.0,835.0,864.0,844.0,616.0,True
synthetic_M_62002,62002,M,phase5a_development,M,510101,1445.0,1337.0,1397.0,1518.0,1411.0,1337.0,1411.0,1337.0,True
synthetic_M_62003,62003,M,phase5a_development,M,510101,960.0,982.0,913.0,1123.0,944.0,879.0,944.0,961.0,True
synthetic_M_62004,62004,M,phase5a_development,M,510101,1114.0,839.0,748.0,1224.0,721.0,1176.0,1065.0,975.0,True
synthetic_M_62005,62005,M,phase5a_development,M,510101,705.0,609.0,615.0,736.0,641.0,740.0,700.0,611.0,True
synthetic_M_62006,62006,M,phase5a_development,M,510101,1422.0,1412.0,1409.0,1423.0,1422.0,1412.0,1422.0,1412.0,True
synthetic_M_62007,62007,M,phase5a_development,M,510101,1346.0,1184.0,1232.0,1325.0,1386.0,1218.0,1386.0,1218.0,True
synthetic_M_62008,62008,M,phase5a_development,M,510101,1296.0,1295.0,1290.0,1295.0,1296.0,1295.0,1296.0,1295.0,True
synthetic_M_62009,62009,M,phase5a_development,M,510101,1396.0,1415.0,1377.0,1415.0,1396.0,1415.0,1396.0,1415.0,True
synthetic_M_62010,62010,M,phase5a_development,M,510101,1590.0,1490.0,1499.0,1507.0,1524.0,1497.0,1590.0,1490.0,True
synthetic_L_63001,63001,L,phase5a_development,L,510101,3437.0,2959.0,3235.0,3218.0,2958.0,3220.0,2958.0,3220.0,True
synthetic_L_63002,63002,L,phase5a_development,L,510101,2339.0,2195.0,2224.0,2556.0,2313.0,2491.0,2216.0,2418.0,True
synthetic_L_63003,63003,L,phase5a_development,L,510101,2163.0,2039.0,1695.0,1948.0,2164.0,1993.0,2145.0,1993.0,True
synthetic_L_63004,63004,L,phase5a_development,L,510101,6138.0,4201.0,4945.0,4403.0,5357.0,4332.0,5843.0,4429.0,True
