scale,CF_level,algorithm,instances,mean_makespan,mean_improvement_over_h1_percent,best_improvement_over_h1_percent,mean_improvement_over_ppo_percent,best_improvement_over_ppo_percent,feasibility_rate,mean_runtime
L,CF1,ALNS-H1,5,4433.12,12.042518128524383,14.528702191736148,28.116106272799367,30.136703991729625,1.0,354.82364932385974
L,CF1,Adapted DCGA,5,5468.280000000001,-8.47988792918397,-6.711418288552802,11.316102935668804,12.76048656240925,1.0,362.0989484195394
L,CF1,GA,5,4962.14,1.8524059868734302,5.382752227608654,19.695631775898452,22.58928043068564,1.0,354.8231806814583
L,CF2,ALNS-H1,5,4313.0,3.4731745214019822,6.264451381587278,28.12407793700072,30.195400816235416,1.0,362.42266112294107
L,CF2,Adapted DCGA,5,5403.42,-21.64571160204865,-19.981135801643518,9.514913967690362,10.760484508779417,1.0,368.84620250375764
L,CF2,GA,5,4784.74,-7.123241368049216,-1.3430239660765328,20.17591771000958,24.366729163428538,1.0,362.42069054820047
L,CF3,ALNS-H1,5,4066.9800000000005,2.0908101118980134,5.512477419765649,36.29019905683659,38.770674823044445,1.0,357.21733321654085
L,CF3,Adapted DCGA,5,5361.8,-29.78346860855644,-26.763532000855765,16.024229869126387,18.0690937669412,1.0,359.35007538305825
L,CF3,GA,5,4708.0,-13.548084997622237,-7.137555805426045,26.547042536237846,30.53078836797144,1.0,357.2179053826409
M,CF1,ALNS-H1,5,3021.42,8.330189646893276,10.749655778043948,20.640007970810494,22.75849224721425,1.0,231.6088603271963
M,CF1,Adapted DCGA,5,3419.0,-3.8477076099807404,-1.9472208453773205,9.961057456617672,11.601582099521531,1.0,248.3537470430811
M,CF1,GA,5,3111.6,5.615240586438896,10.478970523377736,18.241244829258395,22.40457885518179,1.0,231.6100958169182
M,CF2,ALNS-H1,5,3071.2799999999997,4.619851721564269,8.56381202000207,20.1612926721644,23.423827093074806,1.0,239.61045129321923
M,CF2,Adapted DCGA,5,3519.1,-9.486689249603891,-6.966756293214343,8.319865971640143,10.4702002385089,1.0,260.5067702242377
M,CF2,GA,5,3134.0,2.595206808925114,8.470263337169815,18.53804880757189,23.34321527728672,1.0,239.6105040815985
M,CF3,ALNS-H1,5,3082.0,2.484164725618364,4.41635480950575,29.69128669503923,31.234210181205203,1.0,234.8102389728796
M,CF3,Adapted DCGA,5,3592.12,-13.565290566906004,-11.889921186158407,17.976892766677757,19.297432664348545,1.0,254.60495174198005
M,CF3,GA,5,3183.7599999999998,-0.6503568754012183,6.1887747600209275,27.514324550469404,32.48644822450319,1.0,234.81155434514102
S,CF1,ALNS-H1,5,1889.08,3.955730266592922,7.147188098472053,28.490578104597386,30.825029547395342,1.0,124.40386618050222
S,CF1,Adapted DCGA,5,1983.7599999999998,-0.9535389586623918,1.0104662135631932,24.698076957355262,26.154427351893617,1.0,133.2021366858599
S,CF1,GA,5,1846.8799999999999,6.103453414534588,9.15384452696404,30.017189078766666,32.293123481231234,1.0,124.40402492232155
S,CF2,ALNS-H1,5,1744.1,4.050333258919731,7.347686767866273,21.451789459162633,24.269756261277486,1.0,123.20375078721727
S,CF2,Adapted DCGA,5,1916.4599999999998,-5.459801411213158,-3.3790946668561,13.287627848695768,15.027961107071514,1.0,131.49318972312147
S,CF2,GA,5,1717.72,5.518401789822497,11.140047921093053,22.646538186975835,27.278269147339095,1.0,123.2039961665793
S,CF3,ALNS-H1,5,1676.58,3.9240491881739326,6.283307647556694,35.785209751698844,37.37001351508166,1.0,117.20373341260013
S,CF3,Adapted DCGA,5,1814.22,-4.258756682771027,-1.6840864610858872,30.716253936367586,32.47986019164658,1.0,124.89093184583587
S,CF3,GA,5,1624.52,6.763896659332483,10.526616194148534,37.91592203654077,40.28921348232349,1.0,117.20344562302111
