instance_id,scale,CF_level,algorithm,mean_improvement_over_h1_percent,best_improvement_over_h1_percent
CB1_CORE_L_CF1_R01,L,CF1,ALNS-H1,12.431951610033805,15.281978295676925
CB1_CORE_L_CF1_R01,L,CF1,Adapted DCGA,-5.168119551681196,-3.380181462373243
CB1_CORE_L_CF1_R01,L,CF1,GA,1.965842376801281,3.931684753602562
CB1_CORE_L_CF1_R02,L,CF1,ALNS-H1,15.606694560669453,17.18967921896792
CB1_CORE_L_CF1_R02,L,CF1,Adapted DCGA,-4.074267782426775,-2.789400278940028
CB1_CORE_L_CF1_R02,L,CF1,GA,3.0700836820083746,6.0843793584379355
CB1_CORE_L_CF1_R03,L,CF1,ALNS-H1,11.397482398122463,12.780029869852784
CB1_CORE_L_CF1_R03,L,CF1,Adapted DCGA,-10.234691700448044,-8.534243652656283
CB1_CORE_L_CF1_R03,L,CF1,GA,-2.423725197354392,2.261574567953915
CB1_CORE_L_CF1_R04,L,CF1,ALNS-H1,4.970990949176139,8.911580413088883
CB1_CORE_L_CF1_R04,L,CF1,Adapted DCGA,-13.05407287073567,-10.768159665815734
CB1_CORE_L_CF1_R04,L,CF1,GA,3.812949640287774,6.915757716407519
CB1_CORE_L_CF1_R05,L,CF1,ALNS-H1,15.80547112462006,18.480243161094226
CB1_CORE_L_CF1_R05,L,CF1,Adapted DCGA,-9.868287740628165,-8.085106382978724
CB1_CORE_L_CF1_R05,L,CF1,GA,2.8368794326241136,7.720364741641338
CB1_CORE_L_CF2_R01,L,CF2,ALNS-H1,4.312475089677155,7.6923076923076925
CB1_CORE_L_CF2_R01,L,CF2,Adapted DCGA,-18.33798326026305,-17.357512953367877
CB1_CORE_L_CF2_R01,L,CF2,GA,-10.380629732961332,-6.656038262255879
CB1_CORE_L_CF2_R02,L,CF2,ALNS-H1,5.718481225089162,7.488986784140969
CB1_CORE_L_CF2_R02,L,CF2,Adapted DCGA,-20.6964547933711,-18.250471994965388
CB1_CORE_L_CF2_R02,L,CF2,GA,-3.121460037759601,1.6152716593245227
CB1_CORE_L_CF2_R03,L,CF2,ALNS-H1,2.5023299161230113,6.5936626281453865
CB1_CORE_L_CF2_R03,L,CF2,Adapted DCGA,-18.490214352283324,-17.264678471575024
CB1_CORE_L_CF2_R03,L,CF2,GA,-2.982292637465051,2.6561043802423114
CB1_CORE_L_CF2_R04,L,CF2,ALNS-H1,0.4673439767779364,2.583454281567489
CB1_CORE_L_CF2_R04,L,CF2,Adapted DCGA,-38.058055152394786,-36.37155297532656
CB1_CORE_L_CF2_R04,L,CF2,GA,-13.72714078374456,-3.5703918722786647
CB1_CORE_L_CF2_R05,L,CF2,ALNS-H1,4.3652423993426455,6.963845521774856
CB1_CORE_L_CF2_R05,L,CF2,Adapted DCGA,-12.645850451930984,-10.661462612982744
CB1_CORE_L_CF2_R05,L,CF2,GA,-5.404683648315538,-0.7600657354149548
CB1_CORE_L_CF3_R01,L,CF3,ALNS-H1,3.471786833855796,5.2115987460815045
CB1_CORE_L_CF3_R01,L,CF3,Adapted DCGA,-16.612460815047015,-15.24294670846395
CB1_CORE_L_CF3_R01,L,CF3,GA,-10.40556426332289,-6.25
CB1_CORE_L_CF3_R02,L,CF3,ALNS-H1,1.4766158696794487,5.044666316342617
CB1_CORE_L_CF3_R02,L,CF3,Adapted DCGA,-29.004203888596944,-25.775091960063058
CB1_CORE_L_CF3_R02,L,CF3,GA,-10.562270099842355,-2.4697845507094063
CB1_CORE_L_CF3_R03,L,CF3,ALNS-H1,1.4910341439449721,4.765413903217882
CB1_CORE_L_CF3_R03,L,CF3,Adapted DCGA,-29.184475558830762,-26.28346843527389
CB1_CORE_L_CF3_R03,L,CF3,GA,-7.536231884057975,-3.414394497666421
CB1_CORE_L_CF3_R04,L,CF3,ALNS-H1,3.8681531749878797,11.076102762966553
CB1_CORE_L_CF3_R04,L,CF3,Adapted DCGA,-32.4454677653902,-27.460009694619487
CB1_CORE_L_CF3_R04,L,CF3,GA,-13.543383422200682,-6.737760542898691
CB1_CORE_L_CF3_R05,L,CF3,ALNS-H1,0.14646053702197154,1.4646053702196908
CB1_CORE_L_CF3_R05,L,CF3,Adapted DCGA,-41.67073501491727,-39.05614320585842
CB1_CORE_L_CF3_R05,L,CF3,GA,-25.692975318687285,-16.815839435855708
CB1_CORE_M_CF1_R01,M,CF1,ALNS-H1,10.115169463639358,13.32675222112537
CB1_CORE_M_CF1_R01,M,CF1,Adapted DCGA,-7.272128989799276,-4.738400789733465
CB1_CORE_M_CF1_R01,M,CF1,GA,7.953274103323456,15.202369200394866
CB1_CORE_M_CF1_R02,M,CF1,ALNS-H1,2.2073863636363584,4.375
CB1_CORE_M_CF1_R02,M,CF1,Adapted DCGA,-9.553977272727277,-7.642045454545454
CB1_CORE_M_CF1_R02,M,CF1,GA,-0.9772727272727298,5.2272727272727275
CB1_CORE_M_CF1_R03,M,CF1,ALNS-H1,5.891450248030349,8.345491683688357
CB1_CORE_M_CF1_R03,M,CF1,Adapted DCGA,-2.3606653049314295,-1.7799824919754887
CB1_CORE_M_CF1_R03,M,CF1,GA,2.9938721914210653,6.65304931426904
CB1_CORE_M_CF1_R04,M,CF1,ALNS-H1,14.7642375995101,17.20759338640539
CB1_CORE_M_CF1_R04,M,CF1,Adapted DCGA,-1.7850581751377887,0.5205143906919779
CB1_CORE_M_CF1_R04,M,CF1,GA,9.898958971218622,13.288426209430495
CB1_CORE_M_CF1_R05,M,CF1,ALNS-H1,8.672704559650214,10.493441599000624
CB1_CORE_M_CF1_R05,M,CF1,Adapted DCGA,1.7332916926920674,3.9038101186758274
CB1_CORE_M_CF1_R05,M,CF1,GA,8.207370393504066,12.023735165521549
CB1_CORE_M_CF2_R01,M,CF2,ALNS-H1,2.8250303766707168,7.260024301336574
CB1_CORE_M_CF2_R01,M,CF2,Adapted DCGA,-12.594167679222355,-9.690157958687728
CB1_CORE_M_CF2_R01,M,CF2,GA,-2.679222357229642,2.9161603888213854
CB1_CORE_M_CF2_R02,M,CF2,ALNS-H1,3.828877005347597,8.591800356506239
CB1_CORE_M_CF2_R02,M,CF2,Adapted DCGA,-14.249554367201421,-12.620320855614974
CB1_CORE_M_CF2_R02,M,CF2,GA,-0.5383244206773586,10.659536541889484
CB1_CORE_M_CF2_R03,M,CF2,ALNS-H1,2.9987293519695073,6.575603557814485
CB1_CORE_M_CF2_R03,M,CF2,Adapted DCGA,-11.883735705209654,-8.926302414231259
CB1_CORE_M_CF2_R03,M,CF2,GA,2.2871664548919948,6.44853875476493
CB1_CORE_M_CF2_R04,M,CF2,ALNS-H1,6.184210526315795,8.732057416267942
CB1_CORE_M_CF2_R04,M,CF2,Adapted DCGA,-7.616626794258368,-4.30622009569378
CB1_CORE_M_CF2_R04,M,CF2,GA,8.23265550239235,12.171052631578947
CB1_CORE_M_CF2_R05,M,CF2,ALNS-H1,7.26241134751773,11.659574468085106
CB1_CORE_M_CF2_R05,M,CF2,Adapted DCGA,-1.0893617021276623,0.7092198581560284
CB1_CORE_M_CF2_R05,M,CF2,GA,5.673758865248227,10.156028368794326
CB1_CORE_M_CF3_R01,M,CF3,ALNS-H1,2.858572381587719,4.936624416277518
CB1_CORE_M_CF3_R01,M,CF3,Adapted DCGA,-12.52501667778519,-10.507004669779853
CB1_CORE_M_CF3_R01,M,CF3,GA,5.006671114076048,10.907271514342895
CB1_CORE_M_CF3_R02,M,CF3,ALNS-H1,1.9785631517960656,4.8957126303592124
CB1_CORE_M_CF3_R02,M,CF3,Adapted DCGA,-17.456546929316335,-16.512166859791424
CB1_CORE_M_CF3_R02,M,CF3,GA,-1.923522595596758,5.793742757821553
CB1_CORE_M_CF3_R03,M,CF3,ALNS-H1,0.17561634582910565,1.7561634582911179
CB1_CORE_M_CF3_R03,M,CF3,Adapted DCGA,-16.51806822019588,-15.29888551165147
CB1_CORE_M_CF3_R03,M,CF3,GA,-3.623775751435332,3.4447821681864235
CB1_CORE_M_CF3_R04,M,CF3,ALNS-H1,7.408071748878929,10.493273542600896
CB1_CORE_M_CF3_R04,M,CF3,Adapted DCGA,-8.304932735426014,-5.142002989536622
CB1_CORE_M_CF3_R04,M,CF3,GA,1.6860986547085228,8.968609865470851
CB1_CORE_M_CF3_R05,M,CF3,ALNS-H1,0.0,0.0
CB1_CORE_M_CF3_R05,M,CF3,Adapted DCGA,-13.021888271806597,-11.989545900032669
CB1_CORE_M_CF3_R05,M,CF3,GA,-4.3972557987585725,1.829467494282914
CB1_CORE_S_CF1_R01,S,CF1,ALNS-H1,2.2521551724137905,5.765086206896552
CB1_CORE_S_CF1_R01,S,CF1,Adapted DCGA,-3.7068965517241357,-2.1551724137931036
CB1_CORE_S_CF1_R01,S,CF1,GA,4.51508620689655,8.081896551724139
CB1_CORE_S_CF1_R02,S,CF1,ALNS-H1,1.1560953666216742,3.0589293747188484
CB1_CORE_S_CF1_R02,S,CF1,Adapted DCGA,-1.174089068825907,-0.2249212775528565
CB1_CORE_S_CF1_R02,S,CF1,GA,2.5641025641025643,4.273504273504273
CB1_CORE_S_CF1_R03,S,CF1,ALNS-H1,7.47532467532468,9.974025974025974
CB1_CORE_S_CF1_R03,S,CF1,Adapted DCGA,-1.2415584415584462,0.2597402597402597
CB1_CORE_S_CF1_R03,S,CF1,GA,8.540259740259744,12.25974025974026
CB1_CORE_S_CF1_R04,S,CF1,ALNS-H1,1.9970044932601099,6.689965052421368
CB1_CORE_S_CF1_R04,S,CF1,Adapted DCGA,-1.3779331003494713,1.4977533699450825
CB1_CORE_S_CF1_R04,S,CF1,GA,6.385421867199206,10.134797803295058
CB1_CORE_S_CF1_R05,S,CF1,ALNS-H1,6.898071625344355,10.24793388429752
CB1_CORE_S_CF1_R05,S,CF1,Adapted DCGA,2.7327823691460007,5.674931129476584
CB1_CORE_S_CF1_R05,S,CF1,GA,8.512396694214877,11.019283746556473
CB1_CORE_S_CF2_R01,S,CF2,ALNS-H1,0.19131334022751012,1.7063081695966908
CB1_CORE_S_CF2_R01,S,CF2,Adapted DCGA,-7.10444674250259,-5.118924508790072
CB1_CORE_S_CF2_R01,S,CF2,GA,-0.5480868665977202,2.9472595656670113
CB1_CORE_S_CF2_R02,S,CF2,ALNS-H1,0.23894862604540024,1.911589008363202
CB1_CORE_S_CF2_R02,S,CF2,Adapted DCGA,-11.22461170848268,-9.91636798088411
CB1_CORE_S_CF2_R02,S,CF2,GA,0.6869772998805257,9.498207885304659
CB1_CORE_S_CF2_R03,S,CF2,ALNS-H1,3.8997214484679668,8.133704735376044
CB1_CORE_S_CF2_R03,S,CF2,Adapted DCGA,-1.0919220055710255,1.16991643454039
CB1_CORE_S_CF2_R03,S,CF2,GA,8.089136490250699,11.977715877437326
CB1_CORE_S_CF2_R04,S,CF2,ALNS-H1,6.181423139598042,10.809342748506246
CB1_CORE_S_CF2_R04,S,CF2,Adapted DCGA,-2.6561651276480225,0.054318305268875614
CB1_CORE_S_CF2_R04,S,CF2,GA,7.805540467137427,14.285714285714286
CB1_CORE_S_CF2_R05,S,CF2,ALNS-H1,9.74025974025974,14.177489177489177
