instance_id,base_structure,RI_level,TI_level,method,makespan,runtime_seconds,feasible
CB1_SENS_M_CF2_RI1_TI1_R01,SENS_R01,RI1,TI1,H1,1830.0,0.1253910539962817,True
CB1_SENS_M_CF2_RI1_TI2_R01,SENS_R01,RI1,TI2,H1,3271.0,0.10913339199032634,True
CB1_SENS_M_CF2_RI1_TI3_R01,SENS_R01,RI1,TI3,H1,5704.0,0.11461347801377997,True
CB1_SENS_M_CF2_RI2_TI1_R01,SENS_R01,RI2,TI1,H1,1850.0,0.11305302000255324,True
CB1_SENS_M_CF2_RI2_TI2_R01,SENS_R01,RI2,TI2,H1,3283.0,0.11208402802003548,True
CB1_SENS_M_CF2_RI2_TI3_R01,SENS_R01,RI2,TI3,H1,5737.0,0.11033070099074394,True
CB1_SENS_M_CF2_RI3_TI1_R01,SENS_R01,RI3,TI1,H1,1859.0,0.11478835399611853,True
CB1_SENS_M_CF2_RI3_TI2_R01,SENS_R01,RI3,TI2,H1,3376.0,0.11188060999847949,True
CB1_SENS_M_CF2_RI3_TI3_R01,SENS_R01,RI3,TI3,H1,5896.0,0.11084910100908019,True
CB1_SENS_M_CF2_RI1_TI1_R02,SENS_R02,RI1,TI1,H1,1776.0,0.10330032501951791,True
CB1_SENS_M_CF2_RI1_TI2_R02,SENS_R02,RI1,TI2,H1,3158.0,0.09407718700822443,True
CB1_SENS_M_CF2_RI1_TI3_R02,SENS_R02,RI1,TI3,H1,5754.0,0.09998438900220208,True
CB1_SENS_M_CF2_RI2_TI1_R02,SENS_R02,RI2,TI1,H1,1779.0,0.1003097560023889,True
CB1_SENS_M_CF2_RI2_TI2_R02,SENS_R02,RI2,TI2,H1,3289.0,0.09615765599301085,True
CB1_SENS_M_CF2_RI2_TI3_R02,SENS_R02,RI2,TI3,H1,5820.0,0.09893835699767806,True
CB1_SENS_M_CF2_RI3_TI1_R02,SENS_R02,RI3,TI1,H1,1762.0,0.09566727199126035,True
CB1_SENS_M_CF2_RI3_TI2_R02,SENS_R02,RI3,TI2,H1,3185.0,0.0975399250164628,True
CB1_SENS_M_CF2_RI3_TI3_R02,SENS_R02,RI3,TI3,H1,5886.0,0.10022658400703222,True
CB1_SENS_M_CF2_RI1_TI1_R03,SENS_R03,RI1,TI1,H1,1971.0,0.1248758040019311,True
CB1_SENS_M_CF2_RI1_TI2_R03,SENS_R03,RI1,TI2,H1,3823.0,0.12750883502303623,True
CB1_SENS_M_CF2_RI1_TI3_R03,SENS_R03,RI1,TI3,H1,7214.0,0.11998076297459193,True
CB1_SENS_M_CF2_RI2_TI1_R03,SENS_R03,RI2,TI1,H1,1962.0,0.11925047199474648,True
CB1_SENS_M_CF2_RI2_TI2_R03,SENS_R03,RI2,TI2,H1,3800.0,0.12119510301272385,True
CB1_SENS_M_CF2_RI2_TI3_R03,SENS_R03,RI2,TI3,H1,7218.0,0.12239607400260866,True
CB1_SENS_M_CF2_RI3_TI1_R03,SENS_R03,RI3,TI1,H1,1968.0,0.12064765498507768,True
CB1_SENS_M_CF2_RI3_TI2_R03,SENS_R03,RI3,TI2,H1,3849.0,0.1201155589951668,True
CB1_SENS_M_CF2_RI3_TI3_R03,SENS_R03,RI3,TI3,H1,7272.0,0.12061316901235841,True
CB1_SENS_M_CF2_RI1_TI1_R04,SENS_R04,RI1,TI1,H1,2001.0,0.14829029398970306,True
CB1_SENS_M_CF2_RI1_TI2_R04,SENS_R04,RI1,TI2,H1,3706.0,0.147871902998304,True
CB1_SENS_M_CF2_RI1_TI3_R04,SENS_R04,RI1,TI3,H1,6447.0,0.1459931770223193,True
CB1_SENS_M_CF2_RI2_TI1_R04,SENS_R04,RI2,TI1,H1,1936.0,0.143913468986284,True
CB1_SENS_M_CF2_RI2_TI2_R04,SENS_R04,RI2,TI2,H1,3719.0,0.14862345397705212,True
CB1_SENS_M_CF2_RI2_TI3_R04,SENS_R04,RI2,TI3,H1,6347.0,0.1470203900244087,True
CB1_SENS_M_CF2_RI3_TI1_R04,SENS_R04,RI3,TI1,H1,1997.0,0.15450802899431437,True
CB1_SENS_M_CF2_RI3_TI2_R04,SENS_R04,RI3,TI2,H1,3689.0,0.14177761299652047,True
CB1_SENS_M_CF2_RI3_TI3_R04,SENS_R04,RI3,TI3,H1,6457.0,0.14414718802436255,True
CB1_SENS_M_CF2_RI1_TI1_R05,SENS_R05,RI1,TI1,H1,1779.0,0.13001030098530464,True
CB1_SENS_M_CF2_RI1_TI2_R05,SENS_R05,RI1,TI2,H1,3063.0,0.13062716700369492,True
CB1_SENS_M_CF2_RI1_TI3_R05,SENS_R05,RI1,TI3,H1,5541.0,0.12808667198987678,True
CB1_SENS_M_CF2_RI2_TI1_R05,SENS_R05,RI2,TI1,H1,1804.0,0.1301308260008227,True
CB1_SENS_M_CF2_RI2_TI2_R05,SENS_R05,RI2,TI2,H1,3162.0,0.12601010900107212,True
CB1_SENS_M_CF2_RI2_TI3_R05,SENS_R05,RI2,TI3,H1,5541.0,0.12941159898764454,True
CB1_SENS_M_CF2_RI3_TI1_R05,SENS_R05,RI3,TI1,H1,1843.0,0.13559041201369837,True
CB1_SENS_M_CF2_RI3_TI2_R05,SENS_R05,RI3,TI2,H1,3131.0,0.12802993098739535,True
CB1_SENS_M_CF2_RI3_TI3_R05,SENS_R05,RI3,TI3,H1,5621.0,0.12467188498703763,True
