table,field,classification
transition_log,run_id,DIAGNOSTIC_ONLY
transition_log,instance_id,DIAGNOSTIC_ONLY
transition_log,suite,POLICY_INPUT_CANDIDATE
transition_log,scale,POLICY_INPUT_CANDIDATE
transition_log,CF_level,POLICY_INPUT_CANDIDATE
transition_log,seed,POLICY_INPUT_CANDIDATE
transition_log,iteration,POLICY_INPUT_CANDIDATE
transition_log,elapsed_time,DIAGNOSTIC_ONLY
transition_log,iteration_runtime,DIAGNOSTIC_ONLY
transition_log,decoder_evaluations,DIAGNOSTIC_ONLY
transition_log,current_makespan_before,POLICY_INPUT_CANDIDATE
transition_log,best_makespan_before,POLICY_INPUT_CANDIDATE
transition_log,destroy_operator,DIAGNOSTIC_ONLY
transition_log,repair_operator,DIAGNOSTIC_ONLY
transition_log,destroy_fraction,POLICY_INPUT_CANDIDATE
transition_log,destroy_count,POLICY_INPUT_CANDIDATE
transition_log,destroyed_operation_ids,DIAGNOSTIC_ONLY
transition_log,candidate_makespan,LABEL_ONLY
transition_log,immediate_delta,LABEL_ONLY
transition_log,relative_improvement,LABEL_ONLY
transition_log,accepted,LABEL_ONLY
transition_log,acceptance_type,LABEL_ONLY
transition_log,current_makespan_after,LABEL_ONLY
transition_log,best_makespan_after,LABEL_ONLY
transition_log,new_global_best,LABEL_ONLY
transition_log,operator_weights_before,DIAGNOSTIC_ONLY
transition_log,operator_weights_after,DIAGNOSTIC_ONLY
transition_log,number_of_operations_reinserted,DIAGNOSTIC_ONLY
transition_log,number_of_candidate_insertions_evaluated,DIAGNOSTIC_ONLY
transition_log,repair_decoder_evaluations,DIAGNOSTIC_ONLY
transition_log,repair_runtime,DIAGNOSTIC_ONLY
transition_log,candidate_trials_completed,DIAGNOSTIC_ONLY
transition_log,temperature_before,DIAGNOSTIC_ONLY
transition_log,bottleneck_type,POLICY_INPUT_CANDIDATE
transition_log,critical_path_overlap_ratio,DIAGNOSTIC_ONLY
transition_log,critical_resource_overlap_ratio,DIAGNOSTIC_ONLY
transition_log,same_product_ratio,DIAGNOSTIC_ONLY
transition_log,same_island_ratio,DIAGNOSTIC_ONLY
transition_log,mean_slack,DIAGNOSTIC_ONLY
transition_log,mean_island_load,DIAGNOSTIC_ONLY
transition_log,mean_reconfiguration_contribution,POLICY_INPUT_CANDIDATE
transition_log,mean_W_delay_contribution,POLICY_INPUT_CANDIDATE
transition_log,mean_F_delay_contribution,POLICY_INPUT_CANDIDATE
transition_log,mean_sync_delay_contribution,POLICY_INPUT_CANDIDATE
transition_log,configuration_diversity,DIAGNOSTIC_ONLY
transition_log,island_diversity,DIAGNOSTIC_ONLY
transition_log,product_diversity,DIAGNOSTIC_ONLY
transition_log,search_stage,DIAGNOSTIC_ONLY
transition_log,positive_delta,DIAGNOSTIC_ONLY
transition_log,global_best_reduction,DIAGNOSTIC_ONLY
transition_log,sample_class,DIAGNOSTIC_ONLY
transition_log,worsening_led_to_future_best_h20,LABEL_ONLY
destroy_target_log,run_id,DIAGNOSTIC_ONLY
destroy_target_log,instance_id,DIAGNOSTIC_ONLY
destroy_target_log,suite,POLICY_INPUT_CANDIDATE
destroy_target_log,scale,POLICY_INPUT_CANDIDATE
destroy_target_log,CF_level,POLICY_INPUT_CANDIDATE
destroy_target_log,seed,POLICY_INPUT_CANDIDATE
destroy_target_log,iteration,POLICY_INPUT_CANDIDATE
destroy_target_log,operation_id,DIAGNOSTIC_ONLY
destroy_target_log,product_id,DIAGNOSTIC_ONLY
destroy_target_log,assigned_island,DIAGNOSTIC_ONLY
destroy_target_log,required_configuration,DIAGNOSTIC_ONLY
destroy_target_log,processing_time,DIAGNOSTIC_ONLY
destroy_target_log,operation_start,DIAGNOSTIC_ONLY
destroy_target_log,operation_end,DIAGNOSTIC_ONLY
destroy_target_log,operation_slack,POLICY_INPUT_CANDIDATE
destroy_target_log,is_on_processing_critical_path,DIAGNOSTIC_ONLY
destroy_target_log,is_on_resource_critical_chain,DIAGNOSTIC_ONLY
destroy_target_log,criticality_score,POLICY_INPUT_CANDIDATE
destroy_target_log,number_of_predecessors,POLICY_INPUT_CANDIDATE
destroy_target_log,number_of_successors,POLICY_INPUT_CANDIDATE
destroy_target_log,eligible_island_count,POLICY_INPUT_CANDIDATE
destroy_target_log,island_load_before,DIAGNOSTIC_ONLY
destroy_target_log,island_relative_load,POLICY_INPUT_CANDIDATE
destroy_target_log,preceding_reconfiguration_time,DIAGNOSTIC_ONLY
destroy_target_log,following_reconfiguration_time,DIAGNOSTIC_ONLY
destroy_target_log,local_reconfiguration_contribution,POLICY_INPUT_CANDIDATE
destroy_target_log,W_waiting_or_delay_contribution,POLICY_INPUT_CANDIDATE
destroy_target_log,F_waiting_or_delay_contribution,POLICY_INPUT_CANDIDATE
destroy_target_log,synchronization_wait_contribution,POLICY_INPUT_CANDIDATE
destroy_target_log,position_in_product,DIAGNOSTIC_ONLY
destroy_target_log,position_in_island_chain,DIAGNOSTIC_ONLY
destroy_target_log,position_in_W_chain,DIAGNOSTIC_ONLY
destroy_target_log,position_in_F_chain,DIAGNOSTIC_ONLY
destroy_target_log,move_immediate_delta,LABEL_ONLY
destroy_target_log,move_accepted,LABEL_ONLY
destroy_target_log,move_new_global_best,LABEL_ONLY
destroy_target_log,positive,DIAGNOSTIC_ONLY
