CF_level,destroy_operator,selection_count,selection_rate,accepted_count,acceptance_rate,improving_count,improvement_rate,new_global_best_count,global_best_rate,mean_immediate_delta,median_immediate_delta,mean_positive_delta,mean_relative_positive_improvement,mean_runtime,mean_decoder_evaluations,mean_destroy_count,mean_destroy_fraction,mean_critical_path_overlap,mean_critical_resource_overlap,mean_reconfiguration_contribution,mean_W_delay_contribution,mean_F_delay_contribution,mean_sync_delay_contribution,total_global_best_reduction_attributed_to_operator,fraction_of_total_best_reduction
CF1,critical,17451,0.04853256501461456,1217,0.06973812388974844,595,0.034095467308463696,44,0.00252134548163429,-203.17855710274483,-198.0,72.78319327731093,0.019856889993514475,0.11441980059503705,7.998624720646381,16.393960231505357,0.14999999999999997,0.10976686267078314,0.4353734985947286,14.34179309976595,68.53458350605311,132.95475422522523,0.0,1740.0,0.030054408843596166
CF1,f_bottleneck,15980,0.04444160156630225,455,0.028473091364205255,189,0.011827284105131414,18,0.0011264080100125157,-313.45100125156443,-295.0,78.48677248677248,0.021311849182164493,0.1132607474859819,7.99837296620776,16.286921151439298,0.14999999999999997,0.015237272711747385,0.07994853459612039,17.56398458599565,127.8139910877876,185.26217828328296,0.0,720.0,0.012436307107694965
CF1,high_reconfiguration,18023,0.050123340740266926,1563,0.08672252122288188,792,0.04394384952560617,112,0.006214281751095822,-219.49841868723297,-216.0,76.58712121212122,0.018796935581459208,0.11812278067275343,7.998113521611274,16.649614381623483,0.14999999999999997,0.011614236909108667,0.08390526335257775,45.942485706211,147.42213235438064,200.05280470622387,0.0,4525.0,0.07815873564211072
CF1,overloaded_island,17516,0.04871333498343869,1374,0.07844256679607216,677,0.03865037679835579,94,0.005366522036994748,-189.61903402603335,-184.0,63.94830132939439,0.017418844942643803,0.11393923476056084,7.999200730760448,16.412651290248917,0.14999999999999997,0.02237858163207618,0.031767313159964686,15.448730239175363,107.71583047212307,169.896094754025,0.0,3239.0,0.055946109335866655
CF1,random,18574,0.05165571386060688,1723,0.09276407881985571,920,0.049531603316463876,179,0.009637127167007644,-194.88058576504793,-192.0,71.80217391304348,0.018418192449054103,0.12019759047534162,7.9980618068267475,16.76154840099063,0.14999999999999997,0.017848966601325587,0.08951662923145413,18.600665553370522,122.76721956806881,178.20064953819406,0.0,7370.0,0.1272994213662665
CF1,related,19493,0.054211523112135784,2161,0.11086030882881034,1241,0.06366387934130201,255,0.013081619042733288,-164.16800902888215,-164.0,70.55519742143433,0.017802700113240144,0.11981244267511418,7.997178474324117,16.832811778587185,0.14999999999999997,0.018566698956960507,0.09272386378716047,18.662325367160843,124.59369371261279,180.1786270755064,0.0,10359.0,0.1789273685119613
CF1,w_bottleneck,17382,0.048340670740016634,1097,0.06311126452652169,592,0.03405822114831435,85,0.004890116212173513,-233.46300770912438,-217.0,74.13851351351352,0.019767922617924604,0.11376103964451789,7.9986767920837645,16.305200782418595,0.14999999999999997,0.00979502445114179,0.0921130348596148,18.166233952220974,162.76616194342336,213.17192100990403,0.0,2522.0,0.04356162017445375
CF2,critical,17261,0.048004160490359396,1307,0.0757198308325126,649,0.03759921209663403,84,0.004866461966282371,-194.4997392966804,-177.0,68.91679506933744,0.019736570610909495,0.12141750875273816,7.997161230519668,15.984299866751636,0.14999999999999997,0.11009206372526413,0.4782603894507496,18.756999898224624,82.92918550978534,110.72310089149408,0.0,2648.0,0.045737973918300374
CF2,f_bottleneck,15550,0.043245738695619526,500,0.03215434083601286,210,0.013504823151125401,7,0.00045016077170418006,-309.56225080385855,-274.0,85.12380952380953,0.024662593651670863,0.11827647459382609,7.997620578778135,15.828424437299036,0.14999999999999997,0.0157760659074818,0.08815901725174015,25.089993885375765,132.93985778729962,166.93419750587856,0.0,251.0,0.00433543483893255
CF2,high_reconfiguration,16802,0.046727646402816674,1256,0.07475300559457207,670,0.03987620521366504,67,0.003987620521366504,-227.1790263063921,-214.0,80.85671641791045,0.020723065635259247,0.1252474403165099,7.998214498274015,16.328829901202237,0.14999999999999997,0.016925082324418708,0.09061035446937601,53.176745257762164,117.92255051270739,149.66874825789546,0.0,2596.0,0.044839796182744626
