scale,CF_level,destroy_count,destroy_size_bin,selection_count,selection_rate,accepted_count,acceptance_rate,improving_count,improvement_rate,new_global_best_count,global_best_rate,mean_immediate_delta,median_immediate_delta,mean_positive_delta,mean_relative_positive_improvement,mean_runtime,mean_decoder_evaluations,mean_destroy_count,mean_destroy_fraction,mean_critical_path_overlap,mean_critical_resource_overlap,mean_reconfiguration_contribution,mean_W_delay_contribution,mean_F_delay_contribution,mean_sync_delay_contribution,total_global_best_reduction_attributed_to_operator,fraction_of_total_best_reduction
L,CF1,27,medium,28862,0.08026742831080198,3492,0.12098953641466288,1849,0.06406347446469406,346,0.01198808121405308,-277.8869447716721,-281.0,96.61384532179557,0.018681839071385372,0.2474995817415652,7.997505370383203,27.0,0.14999999999999997,0.014211945990755497,0.09908068278936547,27.78976585899183,190.6154151171475,285.80180783652474,0.0,18515.0,0.31980309180412814
L,CF2,28,medium,13837,0.03848175474799276,1342,0.09698634096986342,699,0.05051673050516731,105,0.007588350075883501,-335.3750090337501,-334.0,101.64091559370529,0.019570633286952417,0.2693377954413507,7.996603309966033,28.0,0.14999999999999994,0.013111842988261284,0.08964835482505498,27.44179425763223,165.7873610093022,248.29823248226802,0.0,4541.0,0.07843509802228171
L,CF2,29,medium,13445,0.03739157278216106,1485,0.11044998140572704,792,0.058906656749721086,108,0.008032725920416511,-296.61383413908516,-298.0,104.55934343434343,0.019249302878776228,0.2844997603518792,7.997024916325771,29.0,0.14999999999999997,0.014639463459047718,0.08532847744963518,32.416627127120705,122.79745066105848,283.37057231889816,0.0,4337.0,0.07491147767510148
L,CF3,26,medium,14538,0.04043128933484995,1307,0.08990232494153254,678,0.04663640115559224,86,0.005915531710001375,-314.0748383546568,-319.0,102.38643067846607,0.021292376459470172,0.23837114276943244,7.997523730912093,26.0,0.14999999999999997,0.014143306136702755,0.10760659068541858,31.128607257373247,169.59554536122837,238.2554948834355,0.0,4194.0,0.07244148890232317
L,CF3,29,medium,15219,0.04232520239283817,1132,0.07438070832511992,560,0.03679611012550102,4,0.000262829358039293,-452.37972271502724,-436.0,119.54642857142858,0.02029605175518038,0.2509494071924563,7.998094487154215,29.0,0.14999999999999997,0.010121196054840706,0.11958282636722246,40.712022857091064,234.35300248555006,277.75739264213746,0.0,230.0,0.003972709214958113
M,CF1,18,medium,19277,0.05361081060035097,1936,0.10043056492192769,1006,0.05218654354930746,119,0.006173159724023447,-190.36872957410387,-184.0,56.69184890656064,0.015103428423229202,0.12281210903024334,7.997769362452664,18.0,0.14999999999999997,0.017675064700016715,0.12097318047414017,19.617705037090833,139.4938902434104,244.5857181557758,0.0,2741.0,0.047344330253044305
M,CF1,19,medium,18636,0.05182814060010067,1621,0.08698218501824426,829,0.044483794805752305,138,0.007405022537025113,-230.71936037776348,-232.0,74.89867310012063,0.019541828990255587,0.13131094774495533,7.997907276239537,19.0,0.14999999999999997,0.0215570316648027,0.11202144123993177,23.62777476530993,112.18579489612634,191.99965262480092,0.0,5562.0,0.09607047240694361
M,CF2,17,medium,19790,0.0550375028158399,1346,0.06801414855987872,701,0.03542193026781203,117,0.005912076806467913,-275.6867609903992,-272.0,78.41654778887303,0.020637158320511273,0.11359191366907663,7.998534613441132,17.0,0.14999999999999997,0.01570014564693993,0.12204321850013375,33.16214962993788,148.80559105906133,183.2956216746426,0.0,4399.0,0.0759823818982641
M,CF2,19,medium,18601,0.05173080292457999,1477,0.07940433310037094,777,0.04177194774474491,77,0.004139562389118865,-297.14547604967476,-298.0,81.66666666666667,0.01850114037297125,0.1367911609137152,7.997634535777646,19.0,0.14999999999999997,0.016742167229266112,0.12215528876489377,29.617649305781523,193.76514279085168,179.11846561729843,0.0,3114.0,0.05378702824078072
M,CF3,16,medium,19990,0.05559371810452954,1413,0.07068534267133567,771,0.038569284642321164,45,0.0022511255627813906,-209.13081540770386,-208.0,62.007782101167315,0.017737988567841555,0.10848180691375739,7.9987493746873435,16.0,0.14999999999999997,0.023492996498249125,0.11805902951475739,21.313309779889945,148.5273668084042,191.10053776888444,0.0,941.0,0.016253562483806893
