destroy_operator,repair_operator,selection_count,selection_rate,accepted_count,acceptance_rate,improving_count,improvement_rate,new_global_best_count,global_best_rate,mean_immediate_delta,median_immediate_delta,mean_positive_delta,mean_relative_positive_improvement,mean_runtime,mean_decoder_evaluations,mean_destroy_count,mean_destroy_fraction,mean_critical_path_overlap,mean_critical_resource_overlap,mean_reconfiguration_contribution,mean_W_delay_contribution,mean_F_delay_contribution,mean_sync_delay_contribution,total_global_best_reduction_attributed_to_operator,fraction_of_total_best_reduction
critical,greedy,9919,0.027585497242562707,595,0.05998588567395907,281,0.028329468696441172,22,0.0022179655207178145,-205.95140639177336,-195.0,61.69750889679715,0.018975677282418394,0.11569656139076398,7.99737876802097,16.091642302651476,0.14999999999999997,0.11040678529993822,0.46171136664834544,17.60988863764342,76.35364256094094,117.40958272344598,0.0,451.0,0.007789964591070041
critical,reconfiguration_aware,9950,0.0276717106123096,626,0.0629145728643216,284,0.028542713567839197,25,0.002512562814070352,-217.60693467336682,-208.0,64.06338028169014,0.020955500779079515,0.11512509461185914,7.9966834170854275,15.92713567839196,0.14999999999999997,0.11247987461233136,0.4637139784002476,17.30985993632709,75.87529506084692,115.87002199905035,0.0,589.0,0.01017359012004491
critical,regret2,9953,0.027680053841639945,619,0.06219230382799156,304,0.030543554707123482,18,0.0018084999497638902,-207.07655983120668,-195.0,64.0592105263158,0.018570928742968503,0.1173352000749515,7.999196222244549,16.23399979905556,0.15,0.10793802716458996,0.4606188168981777,17.60817278919885,77.95019811536353,118.31247124607168,0.0,616.0,0.01063995163658347
critical,regret3,9974,0.02773845644695236,613,0.061459795468217365,293,0.02937637858431923,23,0.0023059955885301785,-206.308602366152,-194.0,54.03754266211604,0.016318184826083267,0.11827361568538422,7.998696611189092,16.250150391016643,0.14999999999999997,0.10890738359004776,0.45974528152026267,17.80121562931251,77.38837800562166,117.44633110750524,0.0,583.0,0.010069954227480785
critical,transport_aware,11824,0.03288344786733153,1248,0.10554803788903924,671,0.0567489851150203,74,0.006258457374830852,-196.6617895805142,-181.0,88.50670640834575,0.021664635038750428,0.13058178486256897,7.997970230040595,16.973359269282813,0.14999999999999997,0.10530065450640029,0.44755112116345075,18.018712063333286,80.67026291735228,124.22373549215838,0.0,3225.0,0.05570429225321703
f_bottleneck,greedy,9159,0.025471879145542074,185,0.020198711649743423,76,0.008297849110164865,1,0.00010918222513374823,-330.2802707719183,-303.0,65.4342105263158,0.01939955453712915,0.11353666046566092,7.99825308439786,15.926738726935255,0.14999999999999997,0.015292137826235211,0.0812805390208989,23.049430751232116,127.88724702973815,172.28105937061608,0.0,2.0,3.45452975213749e-05
f_bottleneck,reconfiguration_aware,9186,0.025546968209515176,249,0.027106466361854997,106,0.011539298933159156,4,0.00043544524276072284,-326.7339429566732,-293.0,57.14150943396226,0.02007351228246498,0.1162291086165919,7.9979316350968865,16.122577835837145,0.14999999999999997,0.0143037896254619,0.08057491750081675,23.15162874110125,128.9494884288735,173.60202800167994,0.0,86.0,0.0014854477934191208
f_bottleneck,regret2,9184,0.025541406056628278,221,0.024063588850174216,86,0.009364111498257839,2,0.00021777003484320557,-330.8053135888502,-303.0,73.31395348837209,0.023319256923016087,0.11647609548018258,7.99793118466899,16.11280487804878,0.14999999999999997,0.014354093934333999,0.08236881462533657,23.065322708193687,128.05406639432522,173.49415387071886,0.0,39.0,0.0006736333016668107
f_bottleneck,regret3,9157,0.025466316992655176,223,0.02435295402424375,75,0.008190455389319647,0,0.0,-328.82843726111173,-302.0,70.42666666666666,0.021087602163550455,0.11377938951676317,7.998689527137709,15.975974664191329,0.14999999999999997,0.014220258649061695,0.080651750416522,23.23288337014728,127.83995392386359,172.45705198971902,0.0,0.0,0.0
f_bottleneck,transport_aware,10694,0.02974083148623506,632,0.05909855994015336,316,0.02954927997007668,25,0.0023377594913035348,-245.1924443613241,-231.0,99.27848101265823,0.02444593370780105,0.12670866954890445,7.998503833925565,16.74022816532635,0.14999999999999997,0.014022974170388239,0.08069753552505242,23.57578349951398,133.11774153016495,181.76216365086177,0.0,963.0,0.016633560756542015
