scale,destroy_operator,selection_count,selection_rate,accepted_count,acceptance_rate,improving_count,improvement_rate,new_global_best_count,global_best_rate,mean_immediate_delta,median_immediate_delta,mean_positive_delta,mean_relative_positive_improvement,mean_runtime,mean_decoder_evaluations,mean_destroy_count,mean_destroy_fraction,mean_critical_path_overlap,mean_critical_resource_overlap,mean_reconfiguration_contribution,mean_W_delay_contribution,mean_F_delay_contribution,mean_sync_delay_contribution,total_global_best_reduction_attributed_to_operator,fraction_of_total_best_reduction
L,critical,12252,0.03407374858512736,1278,0.10430950048971596,604,0.04929807378387202,48,0.0039177277179236044,-283.3148873653281,-281.0,100.98344370860927,0.01881946783096645,0.256237452664627,7.996082272282076,27.65687234737186,0.14999999999999997,0.047668452724770057,0.3298496440784259,22.624777891659722,113.10606339362728,211.92396337531963,0.0,2554.0,0.04411434493479575
L,f_bottleneck,10865,0.030216395558064706,458,0.04215370455591348,189,0.017395306028531985,14,0.0012885411872986655,-456.26470317533364,-460.0,129.46560846560845,0.023766805069827018,0.2546657983434884,7.997606994937874,27.669765301426597,0.14999999999999997,0.007279778094002826,0.0692167637975912,29.122399480241807,192.88783966364383,287.0541615160289,0.0,666.0,0.011503584074617842
L,high_reconfiguration,12313,0.0342433942481777,1383,0.112320311865508,711,0.05774384796556485,88,0.007146917891659222,-311.30707382441324,-321.0,107.056258790436,0.020488055516935604,0.25708357256338965,7.998213270527085,27.653049622350363,0.14999999999999997,0.007020439013398516,0.060689512513628883,56.45428349637246,192.77785064990488,277.5994434821074,0.0,4152.0,0.0717160376543743
L,overloaded_island,11972,0.033295047180961865,1108,0.09254928165720014,551,0.04602405613097227,75,0.006264617440694955,-348.49908118944205,-340.0,79.96733212341198,0.015411020182529234,0.2541768620192094,7.998997661209489,27.66446708987638,0.14999999999999997,0.010090628525021418,0.021825392429359155,27.71968178927305,168.39060623177656,275.710416053185,0.0,3115.0,0.05380430088954141
L,random,12958,0.036037188554201786,1512,0.11668467356073468,815,0.06289550856613675,150,0.011575860472295108,-292.5166692390801,-300.0,98.58527607361964,0.018801512415201886,0.25734385272441795,7.996835931470906,27.638061429232906,0.14999999999999997,0.007062605717543953,0.0726519218410794,27.487272054422693,188.35799519044792,272.23294645988716,0.0,7758.0,0.13400120908541324
L,related,14158,0.03937448028633963,2274,0.1606159062014409,1327,0.0937279276734002,227,0.01603333804209634,-222.38706031925412,-228.0,105.0904295403165,0.020125783253811414,0.2561220799785292,7.996680322079389,27.66308800678062,0.15,0.006827228813945232,0.07190444351656972,27.599081909770153,187.92882353033252,272.0143586197693,0.0,11636.0,0.2009845409793592
L,w_bottleneck,11383,0.03165699315577087,745,0.0654484757972415,381,0.03347096547483089,47,0.004128964244926645,-415.2582798910656,-396.0,113.95538057742782,0.021843962980500554,0.25513654935140245,7.997540191513661,27.672054818589125,0.14999999999999997,0.007865915638244004,0.0764578514785266,28.30911922566901,220.1673432399447,296.26488503932865,0.0,1936.0,0.03343984800069091
M,critical,16117,0.044822609039054655,1144,0.07098095179003537,524,0.032512254141589626,31,0.001923434882422287,-225.71191909164236,-229.0,74.9618320610687,0.019155871653252426,0.12380405636743833,7.9988211205559345,17.97772538313582,0.14999999999999997,0.06977871027562275,0.41248497746708107,18.583681284511382,97.15913483150035,144.24291753351648,0.0,1267.0,0.021884445979791
M,f_bottleneck,14883,0.04139076070783958,455,0.030571793321238997,203,0.013639723174091244,4,0.00026876301820869447,-351.78754283410603,-356.0,83.11822660098522,0.021004878357493418,0.12318396640052467,7.997984277363435,17.972787744406368,0.15,0.013136247560694782,0.07894685992549014,22.905598574569062,151.31553002826934,205.3587963511907,0.0,235.0,0.004059072458761551
M,high_reconfiguration,16600,0.046165868961240135,1471,0.08861445783132531,776,0.04674698795180723,70,0.004216867469879518,-232.12246987951806,-231.0,72.0270618556701,0.018762278227492313,0.12408122249927878,7.998132530120482,17.95367469879518,0.14999999999999997,0.006910569263638661,0.08521636727508589,48.63102102424144,156.62283338203173,195.9970513206075,0.0,2799.0,0.04834614388116418
M,overloaded_island,16482,0.04583770194091325,1181,0.07165392549447883,591,0.03585729887149618,64,0.003883023904865914,-245.55551510738988,-238.0,68.60744500846023,0.017782369587178732,0.1231504885001213,7.9981798325445945,17.9564979978158,0.14999999999999997,0.008882425269926806,0.02754665919231316,23.767800563577776,121.60717427110966,184.09871991704205,0.0,2088.0,0.0360652906123154
M,random,16812,0.04675545716725116,1422,0.08458244111349036,722,0.042945515108256005,86,0.005115393766357364,-236.43135855341424,-231.0,64.29362880886427,0.01695069512444489,0.12464576570538961,7.99845348560552,17.969961931953367,0.14999999999999997,0.010721936857148494,0.080726021364087,23.397278050927387,146.843235063006,195.76087583480512,0.0,2820.0,0.04870886950513861
M,related,18280,0.05083807738623312,2056,0.112472647702407,1231,0.06734135667396061,193,0.010557986870897155,-184.2176148796499,-185.0,67.42485783915515,0.017792375010529368,0.12380836570355597,7.998194748358862,17.964824945295405,0.14999999999999997,0.010513791081137433,0.08107556676745711,23.54561557935873,148.1901172712117,196.92872112977693,0.0,6182.0,0.10677951463856983
M,w_bottleneck,15887,0.04418296145706157,959,0.06036381947504249,501,0.03153521747340593,53,0.0033360609303203876,-289.1228048089633,-270.0,72.78043912175649,0.019254852314076906,0.12353330553729583,7.997482218165796,17.976836407125322,0.15,0.011236600168254864,0.0726635507492512,23.143422896363287,180.64399649531825,224.1310610325214,0.0,1631.0,0.02817169012868123
S,critical,23251,0.06466280838661412,1279,0.05500838673605436,705,0.030321276504236376,83,0.0035697389359597436,-152.38621994752913,-150.0,42.48510638297872,0.021053408261441846,0.045151389218055255,7.998408670594813,9.196937766117586,0.14999999999999997,0.16821928805929495,0.5576626333873335,14.453156495061144,45.683062855122124,52.21418648660273,0.0,1643.0,0.028378961913809484
S,f_bottleneck,21632,0.06016024562467148,597,0.027598002958579882,267,0.012342825443786983,14,0.0006471893491124261,-208.24385170118344,-209.0,47.36704119850187,0.02306435689627502,0.04502074874569957,7.998798076923077,9.206083579881657,0.14999999999999997,0.018900625616370813,0.08855335202991454,20.48615798097469,82.208488196499,97.7143182938856,0.0,189.0,0.0032645306157699284
S,high_reconfiguration,22000,0.061183681755860427,847,0.0385,403,0.018318181818181817,38,0.0017272727272727272,-193.90313636363638,-192.0,46.04218362282879,0.022514919028410536,0.04535118063218124,7.998363636363637,9.220272727272727,0.14999999999999997,0.027224494949494953,0.10811098484848485,48.471424621212115,81.37052121212122,95.77889696969697,0.0,781.0,0.0134899386820969
S,overloaded_island,22927,0.0637617396189369,1055,0.04601561477733677,535,0.023334932612203953,80,0.0034893357177127405,-172.5081781305884,-173.0,38.904672897196264,0.01919010377618902,0.0450022747139627,7.999171282767043,9.204387839665024,0.14999999999999997,0.025285325889417138,0.048303189349771986,17.1745834605487,63.70652348274475,90.35080618193977,0.0,1718.0,0.02967441057086104
S,random,22875,0.0636171236438776,1008,0.044065573770491806,524,0.022907103825136613,64,0.0027978142076502733,-181.54408743169398,-181.0,47.23664122137404,0.02291577677548649,0.045342136970273256,7.998775956284153,9.216043715846995,0.14999999999999997,0.026981663630843956,0.11194790528233153,20.732286945962354,70.30766545233759,88.25689435336977,0.0,1445.0,0.024958977459193368
S,related,23357,0.06495760248961963,1332,0.05702787173010233,754,0.03228154300637925,128,0.005480155841931755,-154.18448430877254,-155.0,41.03050397877984,0.02039553094291652,0.0450884710069777,7.9982874512993964,9.222716958513507,0.14999999999999997,0.030196871744373566,0.1179106430144663,20.721057094470847,72.50826447460433,89.53360698434444,0.0,2506.0,0.04328525779428275
S,w_bottleneck,22569,0.06276611425218245,891,0.039478931277415925,483,0.021401036820417385,45,0.001993885418051309,-189.41862732066107,-187.0,44.78260869565217,0.0222528497576995,0.04507491225211547,7.999335371527316,9.214054676769019,0.14999999999999997,0.015632061677522267,0.08827016901255902,21.687664003229603,110.13713746978402,118.59933992546314,0.0,774.0,0.013369030140772087
