search_stage,bottleneck_type,destroy_operator,selection_count,selection_rate,accepted_count,acceptance_rate,improving_count,improvement_rate,new_global_best_count,global_best_rate,mean_immediate_delta,median_immediate_delta,mean_positive_delta,mean_relative_positive_improvement,mean_runtime,mean_decoder_evaluations,mean_destroy_count,mean_destroy_fraction,mean_critical_path_overlap,mean_critical_resource_overlap,mean_reconfiguration_contribution,mean_W_delay_contribution,mean_F_delay_contribution,mean_sync_delay_contribution,total_global_best_reduction_attributed_to_operator,fraction_of_total_best_reduction
0-20%,CROSS_RESOURCE_SYNCHRONIZATION,critical,1173,0.0032622026681647398,290,0.24722932651321397,138,0.11764705882352941,6,0.005115089514066497,-114.05456095481671,-107.0,61.528985507246375,0.01897137943916084,0.08848016012020808,8.0,13.229326513213982,0.15,0.21833484213017676,0.4794226885321328,15.06705657958653,73.2348872296445,82.03612260469441,0.0,322.0,0.005561792900941359
0-20%,CROSS_RESOURCE_SYNCHRONIZATION,f_bottleneck,936,0.0026030875510675163,114,0.12179487179487179,57,0.060897435897435896,2,0.002136752136752137,-188.14423076923077,-175.5,66.45614035087719,0.02006223853663631,0.08461543374359143,8.0,13.003205128205128,0.14999999999999997,0.030223609796493474,0.08456865719762109,22.572737311119404,119.75446991322123,151.95269810006647,0.0,42.0,0.0007254512479488729
0-20%,CROSS_RESOURCE_SYNCHRONIZATION,high_reconfiguration,1100,0.003059184087793021,266,0.24181818181818182,140,0.12727272727272726,8,0.007272727272727273,-133.6409090909091,-133.5,69.58571428571429,0.019583228946230862,0.09327240598818166,8.0,13.829090909090908,0.15,0.012189558303081842,0.09543383715112924,49.51656958448674,136.2997787659626,163.48257295967852,0.0,378.0,0.006529061231539857
0-20%,CROSS_RESOURCE_SYNCHRONIZATION,overloaded_island,1101,0.0030619651642364693,276,0.2506811989100817,127,0.11534968210717529,13,0.011807447774750226,-126.16893732970027,-116.0,59.77165354330709,0.019951925989913927,0.08682656114986399,8.0,13.309718437783832,0.14999999999999997,0.0457526925727971,0.04160282121954314,18.405739410132828,98.59003370715978,146.0547907849989,0.0,519.0,0.008964504706796788
0-20%,CROSS_RESOURCE_SYNCHRONIZATION,random,1181,0.0032844512797123256,293,0.2480948348856901,151,0.12785774767146485,9,0.007620660457239628,-127.07366638441998,-124.0,67.94039735099338,0.021429604298467513,0.09280202497459829,8.0,13.7307366638442,0.15,0.033846974930238125,0.09941005133857027,22.029145200157732,117.42858155066985,146.69503996186015,0.0,259.0,0.00447361602901805
0-20%,CROSS_RESOURCE_SYNCHRONIZATION,related,1293,0.003595931841378524,405,0.31322505800464034,218,0.168600154679041,25,0.019334880123743233,-97.41144624903326,-102.0,76.27522935779817,0.022160572596286555,0.09617378005723144,8.0,14.14230471771075,0.15,0.03380115158088356,0.10317051052656236,22.093166032621017,121.50586561255473,153.40541748512567,0.0,1131.0,0.01953536574833751
0-20%,CROSS_RESOURCE_SYNCHRONIZATION,w_bottleneck,1132,0.0031481785339833638,220,0.19434628975265017,98,0.08657243816254417,9,0.007950530035335688,-148.28710247349824,-133.0,68.5,0.02235836839952191,0.08448511298586135,8.0,13.128975265017667,0.15000000000000002,0.015043462397297388,0.08254157376149604,22.567533561539722,151.717800752675,175.0231956018975,0.0,220.0,0.0037999827273512395
0-20%,F_LOGISTICS,critical,293,0.0008148553979303229,70,0.23890784982935154,20,0.06825938566552901,2,0.006825938566552901,-143.42662116040955,-149.0,97.75,0.023002831202387913,0.10773045059043936,8.0,14.8839590443686,0.15000000000000002,0.08204571940880166,0.5218752891600867,18.71155599736519,83.73208284017939,179.23565218273603,0.0,138.0,0.002383625528974868
0-20%,F_LOGISTICS,f_bottleneck,261,0.0007258609517399805,30,0.11494252873563218,9,0.034482758620689655,3,0.011494252873563218,-260.86206896551727,-221.0,115.11111111111111,0.036671958301273996,0.09913966389654963,8.0,14.118773946360154,0.15,0.003687125967323588,0.07926993849364593,25.00073499520849,134.59254505632623,186.8790071155033,0.0,95.0,0.001640901632265308
0-20%,F_LOGISTICS,high_reconfiguration,267,0.0007425474104006697,55,0.20599250936329588,19,0.07116104868913857,6,0.02247191011235955,-158.9438202247191,-161.0,82.94736842105263,0.02113722532032299,0.09787547637078016,8.0,13.958801498127341,0.15,0.01529914509409821,0.0988121236479386,53.16502610154724,147.9975185798224,190.1887707283174,0.0,430.0,0.007427238967095604
0-20%,F_LOGISTICS,overloaded_island,375,0.0010429036662930754,81,0.216,27,0.072,4,0.010666666666666666,-142.59733333333332,-121.0,58.148148148148145,0.018499725473787473,0.09921572498399533,8.0,14.016,0.15,0.00655395545056767,0.0343909052231603,18.9081319556686,109.468969553693,165.17460074829503,0.0,166.0,0.002867259694274117
0-20%,F_LOGISTICS,random,296,0.0008231986272606675,65,0.2195945945945946,27,0.09121621621621621,11,0.037162162162162164,-153.47972972972974,-149.5,87.03703703703704,0.02202284832283355,0.09603670629391789,8.0,14.08108108108108,0.14999999999999997,0.012702687648808336,0.09995364118899537,23.234649641241766,125.69883260593501,182.9489732959469,0.0,1108.0,0.019138094826841697
0-20%,F_LOGISTICS,related,354,0.0009845010609806633,102,0.288135593220339,44,0.12429378531073447,18,0.05084745762711865,-122.04802259887006,-123.0,74.81818181818181,0.017781208742562487,0.10417541666666401,8.0,14.790960451977401,0.15,0.014362072139793874,0.10247679972158608,23.56919755748773,134.22774408894048,190.47695081635598,0.0,1299.0,0.022437170740133
0-20%,F_LOGISTICS,w_bottleneck,296,0.0008231986272606675,48,0.16216216216216217,18,0.060810810810810814,4,0.013513513513513514,-186.08445945945945,-159.0,80.05555555555556,0.020938662784018423,0.10768789407094799,8.0,14.587837837837839,0.14999999999999997,0.00508414692334971,0.12635700212332274,25.32448861301382,157.9587616746549,198.4736229645015,0.0,303.0,0.0052336125744882975
0-20%,RECONFIGURATION,critical,2517,0.006999969408159122,727,0.2888359157727453,357,0.14183551847437426,25,0.009932459276916964,-127.17957886372666,-117.0,65.26890756302521,0.019475455046328072,0.11348317202026423,8.0,15.707985697258641,0.15,0.10670007145965665,0.4420917656097599,19.77007263866651,91.90999583023829,108.80234299692329,0.0,679.0,0.01172812850850678
0-20%,RECONFIGURATION,f_bottleneck,1982,0.005512093510914334,321,0.16195761856710394,140,0.07063572149344097,6,0.0030272452068617556,-204.8340060544904,-184.0,69.27857142857142,0.021658511559640582,0.10712375428808764,8.0,14.998486377396569,0.14999999999999997,0.0130513457349054,0.09219147865865585,24.94487578967249,143.3087600531224,186.82494411970063,0.0,202.0,0.003489075049658865
0-20%,RECONFIGURATION,high_reconfiguration,2543,0.007072277395688775,724,0.2847031065670468,359,0.1411718442784113,40,0.015729453401494297,-136.4600865119937,-130.0,71.22005571030641,0.0199088726701767,0.12115743022296964,8.0,16.348800629178136,0.14999999999999997,0.022470333155548205,0.09616969087700614,50.711618539631885,148.67848699777852,186.64743998930555,0.0,1578.0,0.027256239744364797
0-20%,RECONFIGURATION,overloaded_island,2459,0.006838666974439127,677,0.2753151687677918,330,0.13420089467263116,31,0.012606750711671411,-141.68401789345262,-130.0,66.10909090909091,0.018836399211441323,0.11201080182797851,8.0,15.709638064253761,0.15,0.023660323779227468,0.039063589422160275,22.111701986295458,125.08948540967548,177.5515690445068,0.0,1067.0,0.01842991622765351
