feature,positive_mean,nonpositive_mean,standardized_mean_difference,mann_whitney_u,p_value,positive_count,nonpositive_count
criticality_score,0.01674557394167235,0.02019453854884582,-0.027669631659479124,573232922910.0,0.0,241763,5662566
operation_slack,1772.7375115298867,1395.1026372142946,0.29999391301432216,795766020948.0,0.0,241763,5662566
island_relative_load,0.6622301087330776,0.688656038051144,-0.08143138432516915,650130794145.0,0.0,241763,5662566
local_reconfiguration_contribution,28.80360104730666,27.528907212737124,0.05383726373068808,706311415360.5,1.6725112625381755e-159,241763,5662566
W_waiting_or_delay_contribution,201.66487841398396,138.62212820124304,0.16681474208218483,749571542126.0,0.0,241763,5662566
F_waiting_or_delay_contribution,252.52559738256062,196.10631646500897,0.10922883711591823,692660764433.5,4.355189698701363e-30,241763,5662566
synchronization_wait_contribution,0.0,0.0,0.0,684499471929.0,1.0,241763,5662566
number_of_predecessors,1.6115741449270566,1.604120640713062,0.004821634980559109,689766834929.5,2.803478371212635e-13,241763,5662566
number_of_successors,1.3793591244317782,1.376707838813711,0.0024515993499784703,685382263612.0,0.24362372165215207,241763,5662566
eligible_island_count,4.209428241707788,4.107424090068001,0.05606900378812729,711948058630.5,2.4763641730373696e-254,241763,5662566
