table,field,classification
pilot_state_manifest,instance_id,IDENTIFIER_ONLY
pilot_state_manifest,training_split,ANALYSIS_ONLY
pilot_state_manifest,scale,MODEL_INPUT_ALLOWED
pilot_state_manifest,CF_level,MODEL_INPUT_ALLOWED
pilot_state_manifest,RI_level,MODEL_INPUT_ALLOWED
pilot_state_manifest,TI_level,MODEL_INPUT_ALLOWED
pilot_state_manifest,run_id,IDENTIFIER_ONLY
pilot_state_manifest,suite,ANALYSIS_ONLY
pilot_state_manifest,seed,IDENTIFIER_ONLY
pilot_state_manifest,state_id,IDENTIFIER_ONLY
pilot_state_manifest,search_stage,MODEL_INPUT_ALLOWED
pilot_state_manifest,search_progress,MODEL_INPUT_ALLOWED
pilot_state_manifest,elapsed_time,ANALYSIS_ONLY
pilot_state_manifest,iteration,ANALYSIS_ONLY
pilot_state_manifest,current_makespan,MODEL_INPUT_ALLOWED
pilot_state_manifest,historical_best_makespan,ANALYSIS_ONLY
pilot_state_manifest,temperature_before,ANALYSIS_ONLY
pilot_state_manifest,operator_weights_before,ANALYSIS_ONLY
pilot_state_manifest,current_candidate,IDENTIFIER_ONLY
pilot_state_manifest,historical_best_candidate,IDENTIFIER_ONLY
pilot_state_manifest,bottleneck_proxy,MODEL_INPUT_ALLOWED
pilot_state_manifest,trajectory_destroy_operator,MODEL_INPUT_ALLOWED
pilot_state_manifest,trajectory_repair_operator,MODEL_INPUT_ALLOWED
counterfactual_arm_results,instance_id,IDENTIFIER_ONLY
counterfactual_arm_results,training_split,ANALYSIS_ONLY
counterfactual_arm_results,state_id,IDENTIFIER_ONLY
counterfactual_arm_results,scale,MODEL_INPUT_ALLOWED
counterfactual_arm_results,CF_level,MODEL_INPUT_ALLOWED
counterfactual_arm_results,RI_level,MODEL_INPUT_ALLOWED
counterfactual_arm_results,TI_level,MODEL_INPUT_ALLOWED
counterfactual_arm_results,search_stage,MODEL_INPUT_ALLOWED
counterfactual_arm_results,bottleneck_proxy,MODEL_INPUT_ALLOWED
counterfactual_arm_results,current_makespan,MODEL_INPUT_ALLOWED
counterfactual_arm_results,arm_id,IDENTIFIER_ONLY
counterfactual_arm_results,arm_family,MODEL_INPUT_ALLOWED
counterfactual_arm_results,origin_destroy_operator,MODEL_INPUT_ALLOWED
counterfactual_arm_results,duplicate_origin_labels,ANALYSIS_ONLY
counterfactual_arm_results,destroy_count,MODEL_INPUT_ALLOWED
counterfactual_arm_results,destroyed_operation_ids,IDENTIFIER_ONLY
counterfactual_arm_results,repair_operator,ANALYSIS_ONLY
counterfactual_arm_results,repair_seed_group,ANALYSIS_ONLY
counterfactual_arm_results,repair_seed,IDENTIFIER_ONLY
counterfactual_arm_results,candidate_trials,ANALYSIS_ONLY
counterfactual_arm_results,counterfactual_makespan,LABEL_ONLY
counterfactual_arm_results,absolute_improvement,LABEL_ONLY
counterfactual_arm_results,relative_improvement,LABEL_ONLY
counterfactual_arm_results,improved,LABEL_ONLY
counterfactual_arm_results,decoder_evaluations,ANALYSIS_ONLY
counterfactual_arm_results,runtime,ANALYSIS_ONLY
counterfactual_arm_results,rank_within_state,LABEL_ONLY
counterfactual_arm_results,best_arm,LABEL_ONLY
counterfactual_arm_results,top3_arm,LABEL_ONLY
counterfactual_arm_results,regret_to_best_arm,LABEL_ONLY
counterfactual_arm_results,target_set_quality_percentile,LABEL_ONLY
counterfactual_target_rows,instance_id,IDENTIFIER_ONLY
counterfactual_target_rows,state_id,IDENTIFIER_ONLY
counterfactual_target_rows,arm_id,IDENTIFIER_ONLY
counterfactual_target_rows,operation_id,IDENTIFIER_ONLY
counterfactual_target_rows,is_targeted,MODEL_INPUT_ALLOWED
counterfactual_target_rows,product_id,MODEL_INPUT_ALLOWED
counterfactual_target_rows,assigned_island,MODEL_INPUT_ALLOWED
counterfactual_target_rows,required_configuration,MODEL_INPUT_ALLOWED
counterfactual_target_rows,processing_time,MODEL_INPUT_ALLOWED
counterfactual_target_rows,operation_start,MODEL_INPUT_ALLOWED
counterfactual_target_rows,operation_end,MODEL_INPUT_ALLOWED
counterfactual_target_rows,operation_slack,MODEL_INPUT_ALLOWED
counterfactual_target_rows,is_on_processing_critical_path,MODEL_INPUT_ALLOWED
counterfactual_target_rows,is_on_resource_critical_chain,MODEL_INPUT_ALLOWED
counterfactual_target_rows,criticality_score,MODEL_INPUT_ALLOWED
counterfactual_target_rows,number_of_predecessors,MODEL_INPUT_ALLOWED
counterfactual_target_rows,number_of_successors,MODEL_INPUT_ALLOWED
counterfactual_target_rows,eligible_island_count,MODEL_INPUT_ALLOWED
counterfactual_target_rows,island_load_before,MODEL_INPUT_ALLOWED
counterfactual_target_rows,island_relative_load,MODEL_INPUT_ALLOWED
counterfactual_target_rows,preceding_reconfiguration_time,MODEL_INPUT_ALLOWED
counterfactual_target_rows,following_reconfiguration_time,MODEL_INPUT_ALLOWED
counterfactual_target_rows,local_reconfiguration_contribution,MODEL_INPUT_ALLOWED
counterfactual_target_rows,W_waiting_or_delay_contribution,MODEL_INPUT_ALLOWED
counterfactual_target_rows,F_waiting_or_delay_contribution,MODEL_INPUT_ALLOWED
counterfactual_target_rows,synchronization_wait_contribution,MODEL_INPUT_ALLOWED
counterfactual_target_rows,position_in_product,MODEL_INPUT_ALLOWED
counterfactual_target_rows,position_in_island_chain,MODEL_INPUT_ALLOWED
counterfactual_target_rows,position_in_W_chain,MODEL_INPUT_ALLOWED
counterfactual_target_rows,position_in_F_chain,MODEL_INPUT_ALLOWED
marginal_swap_results,instance_id,IDENTIFIER_ONLY
marginal_swap_results,state_id,IDENTIFIER_ONLY
