arms,instance_id,states,swaps,target_rows
2049,CB1_TRAIN_L_CF1_RI1_TI1_R01,125,90,309898
2131,CB1_TRAIN_L_CF1_RI1_TI2_R01,125,90,309898
2272,CB1_TRAIN_L_CF1_RI1_TI3_R01,125,90,310076
2151,CB1_TRAIN_L_CF1_RI2_TI1_R01,125,90,308118
2039,CB1_TRAIN_L_CF1_RI2_TI2_R01,125,90,308118
2144,CB1_TRAIN_L_CF1_RI2_TI3_R01,125,90,307940
1987,CB1_TRAIN_L_CF1_RI3_TI1_R01,125,90,309186
2072,CB1_TRAIN_L_CF1_RI3_TI2_R01,125,90,309364
1935,CB1_TRAIN_L_CF1_RI3_TI3_R01,125,90,309542
2046,CB1_TRAIN_L_CF2_RI1_TI1_R01,125,90,318420
2211,CB1_TRAIN_L_CF2_RI1_TI2_R01,125,90,317871
2205,CB1_TRAIN_L_CF2_RI1_TI3_R01,125,90,317871
2158,CB1_TRAIN_L_CF2_RI2_TI1_R01,125,90,318420
2093,CB1_TRAIN_L_CF2_RI2_TI2_R01,125,90,317871
2104,CB1_TRAIN_L_CF2_RI2_TI3_R01,125,90,319152
2158,CB1_TRAIN_L_CF2_RI3_TI1_R01,125,90,318054
2064,CB1_TRAIN_L_CF2_RI3_TI2_R01,125,90,316956
2019,CB1_TRAIN_L_CF2_RI3_TI3_R01,125,90,318603
3334,CB1_TRAIN_L_CF3_RI1_TI1_R01,200,90,477472
3276,CB1_TRAIN_L_CF3_RI1_TI2_R01,200,90,477128
3365,CB1_TRAIN_L_CF3_RI1_TI3_R01,200,90,479020
3312,CB1_TRAIN_L_CF3_RI2_TI1_R01,200,90,478504
3423,CB1_TRAIN_L_CF3_RI2_TI2_R01,200,90,478676
3360,CB1_TRAIN_L_CF3_RI2_TI3_R01,200,90,477472
3422,CB1_TRAIN_L_CF3_RI3_TI1_R01,200,90,477816
3396,CB1_TRAIN_L_CF3_RI3_TI2_R01,200,90,478848
3358,CB1_TRAIN_L_CF3_RI3_TI3_R01,200,90,477816
2227,CB1_TRAIN_M_CF1_RI1_TI1_R01,125,90,197562
1990,CB1_TRAIN_M_CF1_RI1_TI2_R01,125,90,198132
2061,CB1_TRAIN_M_CF1_RI1_TI3_R01,125,90,197106
2012,CB1_TRAIN_M_CF1_RI2_TI1_R01,125,90,197676
2173,CB1_TRAIN_M_CF1_RI2_TI2_R01,125,90,197334
2119,CB1_TRAIN_M_CF1_RI2_TI3_R01,125,90,197562
2122,CB1_TRAIN_M_CF1_RI3_TI1_R01,125,90,197676
2096,CB1_TRAIN_M_CF1_RI3_TI2_R01,125,90,197904
2017,CB1_TRAIN_M_CF1_RI3_TI3_R01,125,90,198246
2128,CB1_TRAIN_M_CF2_RI1_TI1_R01,125,90,224202
2010,CB1_TRAIN_M_CF2_RI1_TI2_R01,125,90,223428
2182,CB1_TRAIN_M_CF2_RI1_TI3_R01,125,90,223944
2046,CB1_TRAIN_M_CF2_RI2_TI1_R01,125,90,224202
2126,CB1_TRAIN_M_CF2_RI2_TI2_R01,125,90,223944
2133,CB1_TRAIN_M_CF2_RI2_TI3_R01,125,90,224589
2042,CB1_TRAIN_M_CF2_RI3_TI1_R01,125,90,223944
2108,CB1_TRAIN_M_CF2_RI3_TI2_R01,125,90,225234
2159,CB1_TRAIN_M_CF2_RI3_TI3_R01,125,90,224589
3538,CB1_TRAIN_M_CF3_RI1_TI1_R01,200,90,362440
3221,CB1_TRAIN_M_CF3_RI1_TI2_R01,200,90,360490
3137,CB1_TRAIN_M_CF3_RI1_TI3_R01,200,90,361010
3361,CB1_TRAIN_M_CF3_RI2_TI1_R01,200,90,361270
3466,CB1_TRAIN_M_CF3_RI2_TI2_R01,200,90,360880
3337,CB1_TRAIN_M_CF3_RI2_TI3_R01,200,90,361270
3309,CB1_TRAIN_M_CF3_RI3_TI1_R01,200,90,361010
3479,CB1_TRAIN_M_CF3_RI3_TI2_R01,200,90,361790
3276,CB1_TRAIN_M_CF3_RI3_TI3_R01,200,90,361140
3186,CB1_TRAIN_S_CF1_RI1_TI1_R01,200,90,159064
3380,CB1_TRAIN_S_CF1_RI1_TI2_R01,200,90,159772
3309,CB1_TRAIN_S_CF1_RI1_TI3_R01,200,90,160303
3329,CB1_TRAIN_S_CF1_RI2_TI1_R01,200,90,159949
3231,CB1_TRAIN_S_CF1_RI2_TI2_R01,200,90,159949
3362,CB1_TRAIN_S_CF1_RI2_TI3_R01,200,90,160126
3257,CB1_TRAIN_S_CF1_RI3_TI1_R01,200,90,158179
3164,CB1_TRAIN_S_CF1_RI3_TI2_R01,200,90,159654
3169,CB1_TRAIN_S_CF1_RI3_TI3_R01,200,90,158769
3102,CB1_TRAIN_S_CF2_RI1_TI1_R01,200,90,166286
3115,CB1_TRAIN_S_CF2_RI1_TI2_R01,200,90,165127
3342,CB1_TRAIN_S_CF2_RI1_TI3_R01,200,90,165798
3214,CB1_TRAIN_S_CF2_RI2_TI1_R01,200,90,164822
3244,CB1_TRAIN_S_CF2_RI2_TI2_R01,200,90,164822
3212,CB1_TRAIN_S_CF2_RI2_TI3_R01,200,90,165676
3423,CB1_TRAIN_S_CF2_RI3_TI1_R01,200,90,164761
3519,CB1_TRAIN_S_CF2_RI3_TI2_R01,200,90,165371
3335,CB1_TRAIN_S_CF2_RI3_TI3_R01,200,90,165493
3198,CB1_TRAIN_S_CF3_RI1_TI1_R01,200,90,176150
3060,CB1_TRAIN_S_CF3_RI1_TI2_R01,200,90,176280
3309,CB1_TRAIN_S_CF3_RI1_TI3_R01,200,90,176345
3447,CB1_TRAIN_S_CF3_RI2_TI1_R01,200,90,176215
3234,CB1_TRAIN_S_CF3_RI2_TI2_R01,200,90,174980
3236,CB1_TRAIN_S_CF3_RI2_TI3_R01,200,90,175630
3225,CB1_TRAIN_S_CF3_RI3_TI1_R01,200,90,176215
3271,CB1_TRAIN_S_CF3_RI3_TI2_R01,200,90,176215
3189,CB1_TRAIN_S_CF3_RI3_TI3_R01,200,90,175305
