scale,CF_level,RI_level,TI_level,search_stage,bottleneck_proxy,arm_count,state_count,positive_fraction,mean_absolute_improvement,mean_relative_improvement,best_arm_fraction,mean_runtime,mean_decoder_evaluations
L,CF1,RI1,TI1,0-20%,CROSS_RESOURCE_SYNCHRONIZATION,42,3,0.40476190476190477,-18.69047619047619,-0.0059579295062954785,0.07142857142857142,0.2583355418095423,8.0
L,CF1,RI1,TI1,0-20%,RECONFIGURATION,14,1,0.6428571428571429,27.5,0.008469356328919002,0.07142857142857142,0.2773877031427219,8.0
L,CF1,RI1,TI1,0-20%,W_LOGISTICS,293,21,0.25597269624573377,-65.62457337883959,-0.02152961504700862,0.07167235494880546,0.2776887674573481,8.0
L,CF1,RI1,TI1,20-40%,F_LOGISTICS,14,1,0.35714285714285715,-42.142857142857146,-0.014472135007849293,0.07142857142857142,0.2755003099286374,8.0
L,CF1,RI1,TI1,20-40%,RECONFIGURATION,252,18,0.03571428571428571,-138.87698412698413,-0.050245759391898556,0.07142857142857142,0.28143226815081873,8.0
L,CF1,RI1,TI1,20-40%,W_LOGISTICS,84,6,0.19047619047619047,-76.86904761904762,-0.026379580434099787,0.07142857142857142,0.27911336104761003,8.0
L,CF1,RI1,TI1,40-60%,RECONFIGURATION,334,24,0.020958083832335328,-139.41017964071855,-0.050492640217572826,0.0718562874251497,0.2820034638323536,8.0
L,CF1,RI1,TI1,40-60%,W_LOGISTICS,14,1,0.0,-185.85714285714286,-0.06812945119396731,0.07142857142857142,0.28143090228572226,8.0
L,CF1,RI1,TI1,60-80%,W_LOGISTICS,348,25,0.0,-218.79597701149424,-0.08020380388984394,0.07183908045977011,0.28358797984483003,8.0
L,CF1,RI1,TI1,80-100%,W_LOGISTICS,346,25,0.0,-234.8063583815029,-0.08607271201667994,0.07225433526011561,0.28382245925143834,8.0
L,CF1,RI1,TI2,0-20%,CROSS_RESOURCE_SYNCHRONIZATION,55,4,0.6363636363636364,22.672727272727272,0.004010646542325474,0.07272727272727272,0.17171375740002656,8.0
L,CF1,RI1,TI2,0-20%,RECONFIGURATION,56,4,0.48214285714285715,-43.142857142857146,-0.007862443527116679,0.07142857142857142,0.18243317126777064,8.0
L,CF1,RI1,TI2,0-20%,W_LOGISTICS,234,17,0.5341880341880342,-10.17094017094017,-0.002827064566665425,0.07264957264957266,0.18289202828203702,8.0
L,CF1,RI1,TI2,20-40%,CROSS_RESOURCE_SYNCHRONIZATION,14,1,0.07142857142857142,-155.85714285714286,-0.03155002891844997,0.07142857142857142,0.18543567400001848,8.0
L,CF1,RI1,TI2,20-40%,RECONFIGURATION,27,2,0.4074074074074074,-61.22222222222222,-0.011953507107166481,0.07407407407407407,0.18795566733330848,8.0
L,CF1,RI1,TI2,20-40%,W_LOGISTICS,305,22,0.20327868852459016,-130.14098360655737,-0.025423947977007474,0.07213114754098361,0.1899966897606288,8.0
L,CF1,RI1,TI2,40-60%,W_LOGISTICS,350,25,0.11142857142857143,-149.68285714285713,-0.02953781618153968,0.07142857142857142,0.18812909075426174,8.0
L,CF1,RI1,TI2,60-80%,CROSS_RESOURCE_SYNCHRONIZATION,350,25,0.002857142857142857,-195.61714285714285,-0.04113925191527715,0.07142857142857142,0.1918729576428554,8.0
L,CF1,RI1,TI2,80-100%,CROSS_RESOURCE_SYNCHRONIZATION,350,25,0.008571428571428572,-198.36857142857144,-0.04171789094186571,0.07142857142857142,0.19344569530854122,8.0
L,CF1,RI1,TI3,0-20%,F_LOGISTICS,112,8,0.7142857142857143,63.464285714285715,0.006064587822121007,0.07142857142857142,0.2703290622321788,8.0
L,CF1,RI1,TI3,0-20%,W_LOGISTICS,235,17,0.6510638297872341,44.91489361702128,0.0039747964680301034,0.07234042553191489,0.2780889805617025,8.0
L,CF1,RI1,TI3,20-40%,CROSS_RESOURCE_SYNCHRONIZATION,208,15,0.125,-227.01442307692307,-0.024307255243962215,0.07211538461538461,0.28285481204805435,8.0
L,CF1,RI1,TI3,20-40%,RECONFIGURATION,14,1,0.07142857142857142,-305.92857142857144,-0.03243173660856265,0.07142857142857142,0.2818124627855728,8.0
L,CF1,RI1,TI3,20-40%,W_LOGISTICS,126,9,0.47619047619047616,-59.198412698412696,-0.006015091421235551,0.07142857142857142,0.280530933079378,8.0
L,CF1,RI1,TI3,40-60%,CROSS_RESOURCE_SYNCHRONIZATION,41,3,0.12195121951219512,-189.4390243902439,-0.020155231874693466,0.07317073170731707,0.2818547174389628,8.0
L,CF1,RI1,TI3,40-60%,RECONFIGURATION,55,4,0.10909090909090909,-221.03636363636363,-0.023448982741132912,0.07272727272727272,0.28099527645454975,8.0
L,CF1,RI1,TI3,40-60%,W_LOGISTICS,252,18,0.1349206349206349,-227.76984126984127,-0.024026053666639787,0.07142857142857142,0.27981548045632765,8.0
L,CF1,RI1,TI3,60-80%,W_LOGISTICS,350,25,0.14285714285714285,-236.48857142857142,-0.025369409457213478,0.07142857142857142,0.2824442683085752,8.0
L,CF1,RI1,TI3,80-100%,W_LOGISTICS,349,25,0.03151862464183381,-317.60458452722065,-0.03446230300859599,0.07163323782234957,0.2864236898825307,8.0
L,CF1,RI2,TI1,0-20%,RECONFIGURATION,112,8,0.33035714285714285,-47.32142857142857,-0.015050111387864745,0.07142857142857142,0.18448762825002923,8.0
L,CF1,RI2,TI1,0-20%,W_LOGISTICS,237,17,0.379746835443038,-39.358649789029535,-0.012401836343003871,0.07172995780590717,0.17928638408440117,8.0
L,CF1,RI2,TI1,20-40%,RECONFIGURATION,263,19,0.0076045627376425855,-175.39163498098858,-0.06311878168340539,0.07224334600760456,0.19054524034219153,8.0
L,CF1,RI2,TI1,20-40%,W_LOGISTICS,83,6,0.0,-145.15662650602408,-0.05003639089332436,0.07228915662650602,0.18511233504818025,8.0
L,CF1,RI2,TI1,40-60%,RECONFIGURATION,81,6,0.0,-140.60493827160494,-0.05050464736767418,0.07407407407407407,0.19067298785191752,8.0
L,CF1,RI2,TI1,40-60%,W_LOGISTICS,263,19,0.022813688212927757,-128.09505703422053,-0.04607735864540307,0.07224334600760456,0.18690090138022827,8.0
L,CF1,RI2,TI1,60-80%,W_LOGISTICS,345,25,0.014492753623188406,-132.47536231884058,-0.04796114443562459,0.07246376811594203,0.1849161422782292,8.0
L,CF1,RI2,TI1,80-100%,W_LOGISTICS,347,25,0.01729106628242075,-142.85590778097983,-0.05178737879338126,0.07204610951008646,0.18661024584438335,8.0
L,CF1,RI2,TI2,0-20%,CROSS_RESOURCE_SYNCHRONIZATION,14,1,0.7142857142857143,5.642857142857143,0.0009925870084181426,0.07142857142857142,0.2712399537857501,8.0
L,CF1,RI2,TI2,0-20%,F_LOGISTICS,42,3,0.6666666666666666,-7.285714285714286,-0.0013386047563354636,0.07142857142857142,0.26208054476180787,8.0
L,CF1,RI2,TI2,0-20%,RECONFIGURATION,14,1,0.5714285714285714,3.5714285714285716,0.0006278882861161363,0.07142857142857142,0.28126416435712337,8.0
L,CF1,RI2,TI2,0-20%,W_LOGISTICS,276,20,0.6630434782608695,39.655797101449274,0.0068398819323142145,0.07246376811594203,0.2778391569094001,8.0
L,CF1,RI2,TI2,20-40%,CROSS_RESOURCE_SYNCHRONIZATION,26,2,0.11538461538461539,-123.38461538461539,-0.02461784026029836,0.07692307692307693,0.28337638219244793,8.0
L,CF1,RI2,TI2,20-40%,F_LOGISTICS,28,2,0.14285714285714285,-79.28571428571429,-0.01598180090419558,0.07142857142857142,0.28907517750004835,8.0
L,CF1,RI2,TI2,20-40%,RECONFIGURATION,41,3,0.1951219512195122,-70.1951219512195,-0.014357766813503686,0.07317073170731707,0.28707068697564486,8.0
L,CF1,RI2,TI2,20-40%,W_LOGISTICS,246,18,0.07723577235772358,-148.08943089430895,-0.030766631177038442,0.07317073170731707,0.2856691506137831,8.0
L,CF1,RI2,TI2,40-60%,W_LOGISTICS,350,25,0.02857142857142857,-169.43142857142857,-0.03561242464897786,0.07142857142857142,0.2862389225971648,8.0
L,CF1,RI2,TI2,60-80%,RECONFIGURATION,179,13,0.00558659217877095,-235.9441340782123,-0.05011557648220312,0.07262569832402235,0.2866957272458091,8.0
L,CF1,RI2,TI2,60-80%,W_LOGISTICS,168,12,0.005952380952380952,-205.30357142857142,-0.04334042039868512,0.07142857142857142,0.2871326004285276,8.0
L,CF1,RI2,TI2,80-100%,RECONFIGURATION,347,25,0.002881844380403458,-238.94524495677234,-0.05075302569175283,0.07204610951008646,0.28683233460228763,8.0
L,CF1,RI2,TI3,0-20%,F_LOGISTICS,137,10,0.6934306569343066,43.78832116788321,0.003936374003026393,0.072992700729927,0.18010551424814253,8.0
L,CF1,RI2,TI3,0-20%,W_LOGISTICS,209,15,0.5454545454545454,-40.1578947368421,-0.00394658635127096,0.07177033492822966,0.18747711765073208,8.0
L,CF1,RI2,TI3,20-40%,CROSS_RESOURCE_SYNCHRONIZATION,14,1,0.5714285714285714,2.357142857142857,0.00023775901322804755,0.07142857142857142,0.1884108100714132,8.0
L,CF1,RI2,TI3,20-40%,F_LOGISTICS,27,2,0.2222222222222222,-195.85185185185185,-0.01992574713866133,0.07407407407407407,0.19446923777788336,8.0
L,CF1,RI2,TI3,20-40%,RECONFIGURATION,40,3,0.325,-163.925,-0.016583131972946058,0.075,0.18231235842497426,8.0
L,CF1,RI2,TI3,20-40%,W_LOGISTICS,263,19,0.12547528517110265,-250.67680608365018,-0.026316453000226326,0.07224334600760456,0.18670802856650662,8.0
L,CF1,RI2,TI3,40-60%,W_LOGISTICS,343,25,0.043731778425655975,-294.0991253644315,-0.031493275136253315,0.0728862973760933,0.19003888119532242,8.0
L,CF1,RI2,TI3,60-80%,F_LOGISTICS,349,25,0.13753581661891118,-224.30945558739256,-0.02411670310583728,0.07163323782234957,0.18854461558742105,8.0
L,CF1,RI2,TI3,80-100%,F_LOGISTICS,348,25,0.07471264367816093,-244.14655172413794,-0.026639146769082588,0.07183908045977011,0.19657725368964507,8.0
L,CF1,RI3,TI1,0-20%,RECONFIGURATION,70,5,0.21428571428571427,-106.2,-0.034147541579764275,0.07142857142857142,0.17067949658573656,8.0
L,CF1,RI3,TI1,0-20%,W_LOGISTICS,276,20,0.18840579710144928,-115.42391304347827,-0.03766315428604787,0.07246376811594203,0.18442035982973826,8.0
L,CF1,RI3,TI1,20-40%,RECONFIGURATION,28,2,0.07142857142857142,-157.75,-0.05265353805073431,0.07142857142857142,0.18576879982135455,8.0
L,CF1,RI3,TI1,20-40%,W_LOGISTICS,321,23,0.018691588785046728,-199.36760124610592,-0.06684281510892319,0.07165109034267912,0.18541175703112714,8.0
L,CF1,RI3,TI1,40-60%,RECONFIGURATION,278,20,0.0,-261.43884892086334,-0.08823450857943411,0.07194244604316546,0.18597787364390458,8.0
L,CF1,RI3,TI1,40-60%,W_LOGISTICS,70,5,0.0,-202.35714285714286,-0.068042078970122,0.07142857142857142,0.18399747404287803,8.0
L,CF1,RI3,TI1,60-80%,RECONFIGURATION,346,25,0.0,-253.28323699421966,-0.08548202396024963,0.07225433526011561,0.18328833906071992,8.0
L,CF1,RI3,TI1,80-100%,RECONFIGURATION,348,25,0.0028735632183908046,-255.8505747126437,-0.08634848960939713,0.07183908045977011,0.18460685838502172,8.0
L,CF1,RI3,TI2,0-20%,CROSS_RESOURCE_SYNCHRONIZATION,28,2,0.8571428571428571,129.57142857142858,0.022872475461157553,0.07142857142857142,0.24775749203568662,8.0
L,CF1,RI3,TI2,0-20%,F_LOGISTICS,14,1,0.7142857142857143,17.928571428571427,0.0031963935511805,0.07142857142857142,0.27625091971432475,8.0
L,CF1,RI3,TI2,0-20%,RECONFIGURATION,41,3,0.4146341463414634,-62.97560975609756,-0.011216285416643258,0.07317073170731707,0.27792408865857066,8.0
L,CF1,RI3,TI2,0-20%,W_LOGISTICS,264,19,0.4166666666666667,-44.928030303030305,-0.008467494948195868,0.07196969696969698,0.2778252265643666,8.0
L,CF1,RI3,TI2,20-40%,RECONFIGURATION,14,1,0.07142857142857142,-174.28571428571428,-0.034505189919959274,0.07142857142857142,0.27707423750007365,8.0
L,CF1,RI3,TI2,20-40%,W_LOGISTICS,332,24,0.03614457831325301,-165.960843373494,-0.034014419434516066,0.07228915662650602,0.2814725259849271,8.0
