,number_of_products,number_of_operations,number_of_islands,number_of_W_AGVs,number_of_F_AGVs,number_of_configurations,number_of_precedence_edges,F_route_mean,F_route_median,R_full_op,R_high_op,F_route_min,F_route_max,F_cap_mean,R_full_island,capability_heterogeneity,capability_selectivity_mean,capability_selectivity_median,capability_selectivity_std,capability_selectivity_min,capability_selectivity_max,processing_CV_mean,processing_CV_median,processing_CV_p90,processing_min_max_ratio_mean,mean_processing_time,precedence_edge_density,mean_predecessor_count,mean_successor_count,number_of_source_operations,number_of_sink_operations,mean_ready_set_size,max_ready_set_size,mean_reconfiguration_time,median_reconfiguration_time,maximum_reconfiguration_time,nonzero_reconfiguration_std,nonzero_reconfiguration_CV,RI,configuration_diversity_entropy,nonzero_offdiagonal_reconfiguration_ratio,W_transport_intensity,F_transport_intensity,operations_per_W_AGV,operations_per_F_AGV,islands_per_W_AGV,islands_per_F_AGV,configuration_entropy
number_of_products,1.0,0.9916517908438941,0.9897433186107875,,,0.9819805060619657,0.9881141543340121,-0.05817412939629556,-0.021674659751152327,,,-0.10214806461283,-0.09897882079828177,-0.015611031530386201,,-0.42343350772910954,-0.015611031530386153,0.1062657150292213,-0.05079163757014673,-0.19350802325603994,0.012757169706532574,0.010836708193107841,0.0708790322137646,0.1164187532970501,-0.6863670692837458,0.1019261510729941,-0.4947734908055401,0.25039237139142206,0.25039237139142206,1.0,1.0,0.9896657284467824,0.9878764756868386,0.13628073134919705,0.11638235456759412,0.13017156444247954,0.1227128525693947,0.586912444945166,-0.001588791262080225,0.3491326278292873,,0.00045467912557488647,-0.0001256441168091681,0.9916517908438941,0.9916517908438941,0.9897433186107875,0.9897433186107875,0.3491326278292873
number_of_operations,0.9916517908438941,1.0,0.9779954910379005,,,0.9691721838443436,0.9981960444884526,-0.0486309061171783,-0.01567487665993674,,,-0.09397451137904476,-0.08599134075991663,-0.004614798582628056,,-0.4234290141008407,-0.004614798582628056,0.10978923614386639,-0.02292871611476767,-0.1854617965798415,0.03413446488439045,0.028044084395882046,0.077516025520262,0.13131674635841278,-0.6951316296912392,0.10237508551680853,-0.5758475174681437,0.2742852493698038,0.2742852493698038,0.991651790843894,0.991651790843894,0.9820739558333748,0.978155009731418,0.1380300026701408,0.11875849141638042,0.12847293433155216,0.12133251912523715,0.5795033506767246,-0.0012914398660807307,0.370268605370311,,0.0004812155137952361,-0.00013446020276990626,1.0,1.0,0.9779954910379005,0.9779954910379005,0.370268605370311
number_of_islands,0.9897433186107875,0.9779954910379005,1.0,,,0.9989061072386725,0.973529588278694,-0.0616059555396383,-0.020400763903636914,,,-0.10952539483120291,-0.10884847396563761,-0.014163337974337017,,-0.45401216488594626,-0.014163337974337019,0.10427684314459891,-0.04989953089283491,-0.1946374726780963,0.01525680754005441,0.01446215636792088,0.049754075529836884,0.13474447359756447,-0.6768726604584426,0.07888780656762506,-0.45461658603226,0.22231571804288142,0.22231571804288142,0.9897433186107877,0.9897433186107877,0.9725339591133794,0.9683704881505825,0.13466397941221095,0.11275998131679832,0.12798434334817907,0.1235769083565322,0.5943896168131586,-0.0014580485065708861,0.3328994633013767,,0.00042826546122759544,-0.00010531182188127871,0.9779954910379004,0.9779954910379004,1.0,1.0,0.3328994633013767
number_of_W_AGVs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
number_of_F_AGVs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
number_of_configurations,0.9819805060619657,0.9691721838443436,0.9989061072386725,,,1.0,0.9644223131676266,-0.06245506514442925,-0.0198929761386634,,,-0.11145267575750803,-0.11159457217201135,-0.013626425459873609,,-0.4620004901753251,-0.013626425459873552,0.10316167702460631,-0.049385408652330084,-0.19414080539217982,0.016007095287766792,0.015584489187119209,0.0426178459744514,0.14014320174715184,-0.6707520037360111,0.07099559435611624,-0.43944857330085674,0.2121359087167748,0.2121359087167748,0.9819805060619657,0.9819805060619657,0.9625973477387456,0.9576752638031064,0.1335353595292565,0.11107236639061273,0.12669872586255815,0.12330967396200139,0.5941913607495243,-0.001408762858073004,0.3261041175549753,,0.0004177132734873592,-9.818775427049269e-05,0.9691721838443433,0.9691721838443433,0.9989061072386723,0.9989061072386723,0.3261041175549753
number_of_precedence_edges,0.9881141543340121,0.9981960444884526,0.973529588278694,,,0.9644223131676266,1.0,-0.04538825021536819,-0.012397395426556091,,,-0.09089519608174404,-0.08253015072446362,-0.0044861191328543085,,-0.4223944297071117,-0.004486119132854248,0.10812664544433052,-0.016517214202397216,-0.18908927738406425,0.03508459457504625,0.0215329459161529,0.07116183386652936,0.13252087098100496,-0.6945382652035108,0.11243635298703006,-0.5619510153487081,0.3268526914866041,0.3268526914866041,0.9881141543340123,0.9881141543340123,0.9786705601644657,0.9736752400504317,0.13819641298619437,0.11997121081294164,0.12940548420885442,0.12214820607422207,0.5819697454157069,-0.0013427442668012702,0.3649773296572302,,0.00046577593678310316,-0.00017467731999892247,0.9981960444884523,0.9981960444884523,0.973529588278694,0.973529588278694,0.3649773296572302
F_route_mean,-0.05817412939629556,-0.0486309061171783,-0.0616059555396383,,,-0.06245506514442925,-0.04538825021536819,1.0,0.962127285615983,,,0.9649652095056374,0.9818831213203575,0.9681047673455015,,0.09062643660207573,0.9681047673455015,0.9020132961445373,0.3895964962815248,0.8797797079111824,0.8690813625478205,0.022707259902816784,0.1000349530914345,-0.3111416458650429,-0.6541903662141089,-0.1393969527752661,-0.11226692600515255,0.09068710595557039,0.09068710595557039,-0.05817412939629553,-0.05817412939629553,-0.08660792560440203,-0.04639238055576854,0.14395897175366343,0.14013521778072766,0.007204763818702238,-0.03720142475666056,-0.15130661156723263,0.00043362669720065994,0.10105211655401929,,3.6196919682374666e-05,-0.0002973467844797659,-0.04863090611717836,-0.04863090611717836,-0.0616059555396383,-0.0616059555396383,0.10105211655401929
F_route_median,-0.021674659751152327,-0.01567487665993674,-0.020400763903636914,,,-0.0198929761386634,-0.012397395426556091,0.962127285615983,1.0,,,0.9349168266921327,0.9209224339465019,0.9107924086438265,,0.11569612361626838,0.9107924086438265,0.8239765965981483,0.31567791408663237,0.872645097461846,0.8189306239086068,-0.018518431966454654,0.07189723202256933,-0.30349884171280145,-0.6493909376795639,-0.09029742326518342,-0.07702632623122059,0.10406052694407686,0.10406052694407686,-0.021674659751152268,-0.021674659751152268,-0.04863943008440039,-0.0063403408449626665,0.1411219070769209,0.13126098745879528,0.017057380092793787,-0.028033212820435523,-0.11570648104549916,0.0003659615542307488,0.0717569856525439,,7.639617024851691e-05,-0.00019371492339242805,-0.01567487665993676,-0.01567487665993676,-0.020400763903636883,-0.020400763903636883,0.0717569856525439
R_full_op,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
