CF_level,RI_level,TI_level,best_makespan,decoder_evaluations,feasible,instance_id,iterations,run_id,runtime,scale,seed,seen_by_stage,state_count,suite,time_limit,training_split
CF1,RI1,TI1,2713.0,14668,True,CB1_TRAIN_L_CF1_RI1_TI1_R01,1834,CB1_TRAIN_L_CF1_RI1_TI1_R01_trajectory,356.0138417620001,L,662031100,"{'0-20%': 334, '20-40%': 376, '40-60%': 374, '60-80%': 377, '80-100%': 373}",125,TRAIN_ONLY,356.0,TRAIN
CF1,RI1,TI2,4755.0,9906,True,CB1_TRAIN_L_CF1_RI1_TI2_R01,1239,CB1_TRAIN_L_CF1_RI1_TI2_R01_trajectory,356.00682386600056,L,662031101,"{'0-20%': 247, '20-40%': 249, '40-60%': 249, '60-80%': 246, '80-100%': 248}",125,TRAIN_ONLY,356.0,TRAIN
CF1,RI1,TI3,9216.0,9908,True,CB1_TRAIN_L_CF1_RI1_TI3_R01,1239,CB1_TRAIN_L_CF1_RI1_TI3_R01_trajectory,356.02606650799953,L,662031102,"{'0-20%': 248, '20-40%': 247, '40-60%': 249, '60-80%': 248, '80-100%': 247}",125,TRAIN_ONLY,356.0,TRAIN
CF1,RI2,TI1,2741.0,9978,True,CB1_TRAIN_L_CF1_RI2_TI1_R01,1248,CB1_TRAIN_L_CF1_RI2_TI1_R01_trajectory,356.03060708799967,L,662031110,"{'0-20%': 250, '20-40%': 247, '40-60%': 249, '60-80%': 250, '80-100%': 252}",125,TRAIN_ONLY,356.0,TRAIN
CF1,RI2,TI2,4708.0,13287,True,CB1_TRAIN_L_CF1_RI2_TI2_R01,1661,CB1_TRAIN_L_CF1_RI2_TI2_R01_trajectory,356.0062943699995,L,662031111,"{'0-20%': 247, '20-40%': 308, '40-60%': 368, '60-80%': 368, '80-100%': 370}",125,TRAIN_ONLY,356.0,TRAIN
CF1,RI2,TI3,9114.0,9803,True,CB1_TRAIN_L_CF1_RI2_TI3_R01,1226,CB1_TRAIN_L_CF1_RI2_TI3_R01_trajectory,356.0120012139996,L,662031112,"{'0-20%': 248, '20-40%': 244, '40-60%': 246, '60-80%': 243, '80-100%': 245}",125,TRAIN_ONLY,356.0,TRAIN
CF1,RI3,TI1,2704.0,15308,True,CB1_TRAIN_L_CF1_RI3_TI1_R01,1914,CB1_TRAIN_L_CF1_RI3_TI1_R01_trajectory,356.0068126650003,L,662031120,"{'0-20%': 381, '20-40%': 384, '40-60%': 382, '60-80%': 385, '80-100%': 382}",125,TRAIN_ONLY,356.0,TRAIN
CF1,RI3,TI2,4735.0,14172,True,CB1_TRAIN_L_CF1_RI3_TI2_R01,1772,CB1_TRAIN_L_CF1_RI3_TI2_R01_trajectory,356.0259963869994,L,662031121,"{'0-20%': 381, '20-40%': 382, '40-60%': 384, '60-80%': 376, '80-100%': 249}",125,TRAIN_ONLY,356.0,TRAIN
CF1,RI3,TI3,9115.0,9819,True,CB1_TRAIN_L_CF1_RI3_TI3_R01,1228,CB1_TRAIN_L_CF1_RI3_TI3_R01_trajectory,356.0354516870002,L,662031122,"{'0-20%': 245, '20-40%': 244, '40-60%': 246, '60-80%': 246, '80-100%': 247}",125,TRAIN_ONLY,356.0,TRAIN
CF2,RI1,TI1,2613.0,9937,True,CB1_TRAIN_L_CF2_RI1_TI1_R01,1242,CB1_TRAIN_L_CF2_RI1_TI1_R01_trajectory,366.0007229620005,L,662032100,"{'0-20%': 243, '20-40%': 251, '40-60%': 251, '60-80%': 248, '80-100%': 249}",125,TRAIN_ONLY,366.0,TRAIN
CF2,RI1,TI2,4119.0,9657,True,CB1_TRAIN_L_CF2_RI1_TI2_R01,1207,CB1_TRAIN_L_CF2_RI1_TI2_R01_trajectory,366.015289465,L,662032101,"{'0-20%': 239, '20-40%': 242, '40-60%': 241, '60-80%': 242, '80-100%': 243}",125,TRAIN_ONLY,366.0,TRAIN
