scale,scope,origin_family,count,share
L,neural_argmax,LOCAL_PERTURBATION,2,0.020833333333333332
L,neural_argmax,MATCHED_RANDOM,1,0.010416666666666666
L,neural_argmax,ORIGINAL_OPERATOR,34,0.3541666666666667
L,neural_argmax,RELATED_VARIANT,7,0.07291666666666667
L,neural_argmax,STRUCTURED_NEAR_NEIGHBOR,52,0.5416666666666666
M,neural_argmax,LOCAL_PERTURBATION,11,0.11458333333333333
M,neural_argmax,MATCHED_RANDOM,6,0.0625
M,neural_argmax,ORIGINAL_OPERATOR,24,0.25
M,neural_argmax,RELATED_VARIANT,9,0.09375
M,neural_argmax,STRUCTURED_NEAR_NEIGHBOR,46,0.4791666666666667
S,neural_argmax,LOCAL_PERTURBATION,15,0.15625
S,neural_argmax,MATCHED_RANDOM,9,0.09375
S,neural_argmax,ORIGINAL_OPERATOR,23,0.23958333333333334
S,neural_argmax,RELATED_VARIANT,25,0.2604166666666667
S,neural_argmax,STRUCTURED_NEAR_NEIGHBOR,24,0.25
