dimension,group,states,spearman,pairwise_accuracy,ndcg_at_1,selected_lift,selection_regret
scale,L,96,0.22204545396900074,0.5811417375405086,0.6577607867711082,0.010932916563227124,0.03000051805817937
scale,M,96,0.14566710725932475,0.5511528911500764,0.6506033075584995,0.007739436052496832,0.0323106912242427
scale,S,96,0.16545578522542248,0.5570154211929289,0.5740343492298691,0.003876709896239153,0.03928551383630681
CF_level,CF1,96,0.18341005850508518,0.5660107417160901,0.5758637729082318,0.00032871125331995716,0.03634648094430546
CF_level,CF2,96,0.1533625429311443,0.5535423849612193,0.6322560220856973,0.006084080128211,0.03358716379707814
CF_level,CF3,96,0.19639574501751852,0.5697569232062044,0.6742786485655475,0.01613627113043215,0.031663078377345284
search_stage,0-20%,72,0.15725842820156066,0.5572744869015254,0.6257816461869223,0.0075715821297810924,0.034938414227184085
search_stage,20-40%,36,0.15969689586087063,0.5546646325749263,0.5752898055268335,0.0035290389702238548,0.03793742651359086
search_stage,40-60%,72,0.2074667505707677,0.5745625589168789,0.597236481570276,0.007274413262718339,0.03625590939396543
search_stage,60-80%,36,0.21866197057770984,0.5750528070620642,0.7155485651720731,0.015670422327982245,0.02675946246159483
search_stage,80-100%,72,0.1569865166133787,0.5557176342077855,0.6414272783059839,0.005619690641014994,0.03191952938289615
