dimension,group,candidates,candidate_support_rate,selected_winners,selected_winner_support_rate
scale,L,2294,0.7262423714036618,96,0.6666666666666666
scale,M,2284,0.7311733800350263,96,0.7291666666666666
scale,S,2231,0.708650829224563,96,0.71875
CF_level,CF1,2272,0.7143485915492958,96,0.6458333333333334
CF_level,CF2,2272,0.7455985915492958,96,0.7291666666666666
CF_level,CF3,2265,0.7064017660044151,96,0.7395833333333334
search_stage,0-20%,1708,0.7131147540983607,72,0.6944444444444444
search_stage,20-40%,855,0.6982456140350877,36,0.6388888888888888
search_stage,40-60%,1691,0.735659373151981,72,0.7222222222222222
search_stage,60-80%,848,0.7264150943396226,36,0.6944444444444444
search_stage,80-100%,1707,0.7275922671353251,72,0.7361111111111112
