model,record_type,metric,value,x,lower,upper,count,mean_probability,positive_rate,mean_advantage,negative_outcome_rate
phase6l_score_free,summary,brier_score,0.23771850317150386,,,,,,,,
phase6l_score_free,summary,expected_calibration_error,0.010883838598119991,,,,,,,,
phase6l_score_free,summary,negative_log_likelihood,0.6668855396248787,,,,,,,,
phase6l_score_free,summary,mean_predicted_probability,0.5673297488005566,,,,,,,,
phase6l_score_free,summary,realized_positive_fraction,0.5659722222222222,,,,,,,,
phase6l_score_free,summary,reliability,0.00034374582971142273,,,,,,,,
phase6l_score_free,summary,resolution,0.007792794445301982,,,,,,,,
phase6l_score_free,summary,uncertainty,0.24564766589506173,,,,,,,,
phase6l_score_free,summary,brier_identity_residual,-0.00048011410796730547,,,,,,,,
phase6l_score_free,summary,auroc,0.5960245398773006,,,,,,,,
phase6l_score_free,summary,auprc,0.6536749021805863,,,,,,,,
phase6l_score_free,summary,calibration_slope,0.9003279119706078,,,,,,,,
phase6l_score_free,summary,calibration_intercept,0.02114457659990787,,,,,,,,
phase6l_score_free,summary,confidence_advantage_pearson,0.15851869266370236,,,,,,,,
phase6l_score_free,summary,confidence_advantage_spearman,0.17811003968966277,,,,,,,,
phase6l_score_free,summary,probability_std,0.09906154239186804,,,,,,,,
phase6l_score_free,summary,probability_iqr,0.14170855705314134,,,,,,,,
phase6l_score_free,probability_quantile,probability,0.03806398044122525,0.0,,,,,,,
phase6l_score_free,probability_quantile,probability,0.4395381158003038,0.05,,,,,,,
phase6l_score_free,probability_quantile,probability,0.45616548256734885,0.1,,,,,,,
phase6l_score_free,probability_quantile,probability,0.49785783104421955,0.25,,,,,,,
phase6l_score_free,probability_quantile,probability,0.561250128737532,0.5,,,,,,,
phase6l_score_free,probability_quantile,probability,0.6395663880973609,0.75,,,,,,,
phase6l_score_free,probability_quantile,probability,0.6909338029837966,0.9,,,,,,,
phase6l_score_free,probability_quantile,probability,0.7170405028273037,0.95,,,,,,,
phase6l_score_free,probability_quantile,probability,0.8618965960435646,1.0,,,,,,,
phase6l_score_free,threshold_fraction,fraction_at_or_above,0.5555555555555556,0.55,,,,,,,
phase6l_score_free,threshold_fraction,fraction_at_or_above,0.21180555555555555,0.65,,,,,,,
phase6l_score_free,threshold_fraction,fraction_at_or_above,0.020833333333333332,0.75,,,,,,,
phase6l_score_free,reliability_bin,calibration,,0.0,0.0,0.1,2.0,0.03893968205130531,0.0,,
phase6l_score_free,reliability_bin,calibration,,1.0,0.1,0.2,0.0,,,,
phase6l_score_free,reliability_bin,calibration,,2.0,0.2,0.3,0.0,,,,
phase6l_score_free,reliability_bin,calibration,,3.0,0.3,0.4,0.0,,,,
phase6l_score_free,reliability_bin,calibration,,4.0,0.4,0.5,71.0,0.46149738694517356,0.4788732394366197,,
phase6l_score_free,reliability_bin,calibration,,5.0,0.5,0.6,105.0,0.5465339721508815,0.5428571428571428,,
phase6l_score_free,reliability_bin,calibration,,6.0,0.6,0.7,87.0,0.6461354880467712,0.6436781609195402,,
phase6l_score_free,reliability_bin,calibration,,7.0,0.7,0.8,22.0,0.7311373947906897,0.6818181818181818,,
phase6l_score_free,reliability_bin,calibration,,8.0,0.8,0.9,1.0,0.8618965960435646,1.0,,
phase6l_score_free,reliability_bin,calibration,,9.0,0.9,1.0,0.0,,,,
phase6l_score_free,ranked_confidence_decile,outcome_by_decile,,1.0,,,29.0,0.7279138704879997,0.7241379310344828,0.018128185638748046,
phase6l_score_free,ranked_confidence_decile,outcome_by_decile,,2.0,,,29.0,0.6728253441253318,0.6206896551724138,0.015031754288214058,
phase6l_score_free,ranked_confidence_decile,outcome_by_decile,,3.0,,,29.0,0.6375609079462703,0.7241379310344828,0.012562531052589644,
phase6l_score_free,ranked_confidence_decile,outcome_by_decile,,4.0,,,29.0,0.6080304637502782,0.4482758620689655,0.004468784453855184,
phase6l_score_free,ranked_confidence_decile,outcome_by_decile,,5.0,,,28.0,0.5757109411928912,0.6428571428571429,0.006840692593236263,
phase6l_score_free,ranked_confidence_decile,outcome_by_decile,,6.0,,,29.0,0.5497411627001186,0.5517241379310345,0.008779118380261254,
phase6l_score_free,ranked_confidence_decile,outcome_by_decile,,7.0,,,29.0,0.5232487839220284,0.5517241379310345,0.004566604976581856,
phase6l_score_free,ranked_confidence_decile,outcome_by_decile,,8.0,,,29.0,0.496144813037099,0.41379310344827586,-0.0005150057680392274,
phase6l_score_free,ranked_confidence_decile,outcome_by_decile,,9.0,,,29.0,0.47037061287711845,0.5172413793103449,0.004889716612473277,
phase6l_score_free,ranked_confidence_decile,outcome_by_decile,,10.0,,,28.0,0.40649351766493813,0.4642857142857143,0.00013327175471442406,
phase6l_score_free,selective_coverage_curve,top_confidence_subset,,0.05,,,15.0,0.7525064075828684,0.7333333333333333,0.012132687392105072,0.26666666666666666
phase6l_score_free,selective_coverage_curve,top_confidence_subset,,0.1,,,29.0,0.7279138704879997,0.7241379310344828,0.018128185638748046,0.27586206896551724
phase6l_score_free,selective_coverage_curve,top_confidence_subset,,0.15000000000000002,,,44.0,0.712244931730293,0.7272727272727273,0.020045477678764245,0.2727272727272727
phase6l_score_free,selective_coverage_curve,top_confidence_subset,,0.2,,,58.0,0.7003696073066658,0.6724137931034483,0.01657996996348106,0.3275862068965517
phase6l_score_free,selective_coverage_curve,top_confidence_subset,,0.25,,,72.0,0.6897787732712078,0.6805555555555556,0.01579752012504308,0.3194444444444444
phase6l_score_free,selective_coverage_curve,top_confidence_subset,,0.3,,,87.0,0.6794333741865338,0.6896551724137931,0.015240823659850584,0.3103448275862069
phase6l_score_free,selective_coverage_curve,top_confidence_subset,,0.35000000000000003,,,101.0,0.6704535710490561,0.6633663366336634,0.013367839686631926,0.33663366336633666
phase6l_score_free,selective_coverage_curve,top_confidence_subset,,0.4,,,116.0,0.66158264657747,0.6293103448275862,0.012547813858351738,0.3706896551724138
phase6l_score_free,selective_coverage_curve,top_confidence_subset,,0.45,,,130.0,0.6533907556893072,0.6230769230769231,0.011346314779129733,0.3769230769230769
phase6l_score_free,selective_coverage_curve,top_confidence_subset,,0.5,,,144.0,0.6448853705304685,0.6319444444444444,0.011438095834579283,0.3680555555555556
phase6l_score_free,selective_coverage_curve,top_confidence_subset,,0.55,,,159.0,0.6365638457297506,0.6415094339622641,0.012004941379830521,0.3584905660377358
phase6l_score_free,selective_coverage_curve,top_confidence_subset,,0.6000000000000001,,,173.0,0.6289363414722018,0.6184971098265896,0.010992371290213833,0.3815028901734104
phase6l_score_free,selective_coverage_curve,top_confidence_subset,,0.6500000000000001,,,188.0,0.6210513026798631,0.6170212765957447,0.010678874414554878,0.3829787234042553
phase6l_score_free,selective_coverage_curve,top_confidence_subset,,0.7000000000000001,,,202.0,0.6137633752892561,0.6089108910891089,0.01006986028479142,0.3910891089108911
phase6l_score_free,selective_coverage_curve,top_confidence_subset,,0.7500000000000001,,,217.0,0.6061784948452407,0.5944700460829493,0.00946093777261022,0.4055299539170507
phase6l_score_free,selective_coverage_curve,top_confidence_subset,,0.8,,,231.0,0.5989974085995913,0.5844155844155844,0.00874102428681701,0.4155844155844156
phase6l_score_free,selective_coverage_curve,top_confidence_subset,,0.8500000000000001,,,245.0,0.592041672393136,0.5877551020408164,0.0088676930592791,0.4122448979591837
phase6l_score_free,selective_coverage_curve,top_confidence_subset,,0.9000000000000001,,,260.0,0.5846505736920848,0.5769230769230769,0.008311455353909439,0.4230769230769231
phase6l_score_free,selective_coverage_curve,top_confidence_subset,,0.9500000000000001,,,274.0,0.5776034795430022,0.5693430656934306,0.008046702566413362,0.4306569343065693
phase6l_score_free,selective_coverage_curve,top_confidence_subset,,1.0,,,288.0,0.5673297488005566,0.5659722222222222,0.0075163541706543685,0.4340277777777778
phase6j_j1,summary,brier_score,0.24032176752874326,,,,,,,,
phase6j_j1,summary,expected_calibration_error,0.04775835123713268,,,,,,,,
phase6j_j1,summary,negative_log_likelihood,0.6711842041463549,,,,,,,,
phase6j_j1,summary,mean_predicted_probability,0.5507968733718974,,,,,,,,
phase6j_j1,summary,realized_positive_fraction,0.5486111111111112,,,,,,,,
phase6j_j1,summary,reliability,0.009771986853251579,,,,,,,,
