gate_id,gate_index,p_min,lcb_lambda,delta_min,state_id,instance_id,scale,CF_level,search_stage,target_set_id,calibrated_probability,ensemble_advantage_mean,ensemble_advantage_std,lcb,ensemble_immediate_utility,realized_continuation_advantage,fallback_rejected,probability_rejected,lower_bound_rejected,support_rejected,immediate_harm_rejected,local_rejection_count,local_rejection_signature,first_local_rejection,intervened,overall_mean_lift_rejected,grouped_bootstrap_lift_rejected,scale_lift_rejected,scale_coverage_rejected,coverage_aggregation_rejected,gate_retained
p0.55_lambda0.5_delta0.0000,0,0.55,0.5,0.0,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,0-20%,ts_0b582a760c30728b549d,0.4007747098531176,0.7570034861564636,0.5541085004806519,0.4799492359161377,0.02979491464793682,-0.0027261462205700124,False,True,False,True,False,2,probability_rejected+support_rejected,probability_rejected,False,False,False,False,True,True,False
p0.55_lambda0.5_delta0.0000,0,0.55,0.5,0.0,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,0-20%,ts_9ee7b24ddf3a5502310d,0.4500688787008046,0.8394882082939148,0.5441831946372986,0.5673966109752655,-0.014729563146829605,-0.009520276953511373,False,True,False,True,True,3,probability_rejected+support_rejected+immediate_harm_rejected,probability_rejected,False,False,False,False,True,True,False
p0.55_lambda0.5_delta0.0000,0,0.55,0.5,0.0,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,20-40%,ts_6fcca90d49dd37ac36ac,0.4322816123751069,0.6199948787689209,0.5144519805908203,0.36276888847351074,0.031193681061267853,-0.028189550425273387,False,True,False,True,False,2,probability_rejected+support_rejected,probability_rejected,False,False,False,False,True,True,False
p0.55_lambda0.5_delta0.0000,0,0.55,0.5,0.0,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,40-60%,ts_3d367a2f8bdd7113cfcd,0.4178386854047669,0.7847263216972351,0.5523074865341187,0.5085725784301758,-0.0089243920519948,0.01167411823149528,False,True,False,True,True,3,probability_rejected+support_rejected+immediate_harm_rejected,probability_rejected,False,False,False,False,True,True,False
p0.55_lambda0.5_delta0.0000,0,0.55,0.5,0.0,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000164,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,40-60%,ts_15008b5b01451e20fef1,0.4775826297477032,0.8254875540733337,0.5870822072029114,0.531946450471878,-0.022362306714057922,0.0297029702970297,False,True,False,False,True,2,probability_rejected+immediate_harm_rejected,probability_rejected,False,False,False,False,True,True,False
p0.55_lambda0.5_delta0.0000,0,0.55,0.5,0.0,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000204,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,60-80%,ts_5b4646d47a36596223bc,0.4836960193278469,0.853894054889679,0.5306066870689392,0.5885907113552094,-0.014215745963156223,-0.0012575452716297787,False,True,False,True,True,3,probability_rejected+support_rejected+immediate_harm_rejected,probability_rejected,False,False,False,False,True,True,False
p0.55_lambda0.5_delta0.0000,0,0.55,0.5,0.0,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000241,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,80-100%,ts_9c166d7c413dd0fa7dab,0.4492177713990459,0.8022004961967468,0.5108878016471863,0.5467565953731537,0.004254055675119162,-0.013530135301353014,False,True,False,True,False,2,probability_rejected+support_rejected,probability_rejected,False,False,False,False,True,True,False
p0.55_lambda0.5_delta0.0000,0,0.55,0.5,0.0,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000269,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,80-100%,ts_a52db4b46d263b0a0ca9,0.4170252109311121,0.6138786673545837,0.5708987712860107,0.32842928171157837,-0.023269355297088623,-0.020298361457569088,False,True,False,False,True,2,probability_rejected+immediate_harm_rejected,probability_rejected,False,False,False,False,True,True,False
p0.55_lambda0.5_delta0.0000,0,0.55,0.5,0.0,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000012,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,0-20%,ts_d72a433aa1fba52470e2,0.4151698873032329,0.7992061972618103,0.5805380344390869,0.5089371800422668,-0.017801066860556602,0.02924648786717752,False,True,False,True,True,3,probability_rejected+support_rejected+immediate_harm_rejected,probability_rejected,False,False,False,False,True,True,False
p0.55_lambda0.5_delta0.0000,0,0.55,0.5,0.0,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000049,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,0-20%,ts_ec5ee5e6ec54b5331f5a,0.43977627944170594,0.7536940574645996,0.5558391213417053,0.47577449679374695,0.0016455091536045074,-0.005577590480912246,False,True,False,True,False,2,probability_rejected+support_rejected,probability_rejected,False,False,False,False,True,True,False
