state_id,instance_id,target_set_id,oof_fold,scale,CF_level,search_stage,origin_family,primary_origin_rule,origin_destroy_operator,selected_winner,categorical_reason_count,numeric_reason_count,reason_count,multiple_causes,maximum_absolute_robust_z,categorical_reasons,numeric_reasons,reason_signature
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_0b582a760c30728b549d,1,L,CF1,0-20%,STRUCTURED_NEAR_NEIGHBOR,near_low_slack,related,True,0,1,1,False,76923.07692307694,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_9157be4990e22e0cb713,1,L,CF1,0-20%,ORIGINAL_OPERATOR,operator_related,related,False,0,1,1,False,1000000.0,,numeric_robust_z:is_fallback,numeric_robust_z:is_fallback
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_e9a826292993e3d1202a,1,L,CF1,0-20%,ORIGINAL_OPERATOR,operator_critical,critical,False,0,1,1,False,76923.07692307694,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_065cd6bd36f2216e8f56,1,L,CF1,0-20%,LOCAL_PERTURBATION,two_operation_swap,related,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_1cdcde113a48867fe0ee,1,L,CF1,0-20%,LOCAL_PERTURBATION,related_replace_25,related,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_30ac9dc21ea6d6d2ddca,1,L,CF1,0-20%,STRUCTURED_NEAR_NEIGHBOR,near_same_island_chain,related,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_4854f283ea39273836f0,1,L,CF1,0-20%,MATCHED_RANDOM,matched_random_3,random,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_4ad71ea71e9e60f16cd3,1,L,CF1,0-20%,STRUCTURED_NEAR_NEIGHBOR,near_low_slack,related,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_6f73fff5abefe2b4ba85,1,L,CF1,0-20%,ORIGINAL_OPERATOR,operator_critical,critical,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_8ac4d332a7e5bf5d828b,1,L,CF1,0-20%,LOCAL_PERTURBATION,one_operation_swap,related,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_94085bf7c0f4702835ec,1,L,CF1,0-20%,RELATED_VARIANT,related_variant_4,related,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_9d83bcb4fcaaf719835d,1,L,CF1,0-20%,ORIGINAL_OPERATOR,operator_related,related,False,0,2,2,True,1000000.0,,numeric_robust_z:critical_overlap_fraction+numeric_robust_z:is_fallback,numeric_robust_z:critical_overlap_fraction+numeric_robust_z:is_fallback
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_9ee7b24ddf3a5502310d,1,L,CF1,0-20%,STRUCTURED_NEAR_NEIGHBOR,near_high_F_delay,related,True,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_a47addf6c1c87e842363,1,L,CF1,0-20%,ORIGINAL_OPERATOR,operator_random,random,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
