dimension,group,candidates,unsupported_candidates,support_rate,selected_winners,unsupported_selected_winners,reason_counts_json
overall,all,6809,1892,0.7221324717285945,288,85,"{""numeric_robust_z:bottleneck_overlap_fraction"": 68, ""numeric_robust_z:critical_overlap_fraction"": 1588, ""numeric_robust_z:is_fallback"": 288, ""numeric_robust_z:origin_family_count"": 34, ""numeric_robust_z:origin_rule_count"": 92}"
scale,L,2294,628,0.7262423714036618,96,32,"{""numeric_robust_z:bottleneck_overlap_fraction"": 8, ""numeric_robust_z:critical_overlap_fraction"": 543, ""numeric_robust_z:is_fallback"": 96, ""numeric_robust_z:origin_family_count"": 2, ""numeric_robust_z:origin_rule_count"": 10}"
scale,M,2284,614,0.7311733800350263,96,26,"{""numeric_robust_z:bottleneck_overlap_fraction"": 10, ""numeric_robust_z:critical_overlap_fraction"": 521, ""numeric_robust_z:is_fallback"": 96, ""numeric_robust_z:origin_family_count"": 5, ""numeric_robust_z:origin_rule_count"": 18}"
scale,S,2231,650,0.708650829224563,96,27,"{""numeric_robust_z:bottleneck_overlap_fraction"": 50, ""numeric_robust_z:critical_overlap_fraction"": 524, ""numeric_robust_z:is_fallback"": 96, ""numeric_robust_z:origin_family_count"": 27, ""numeric_robust_z:origin_rule_count"": 64}"
CF_level,CF1,2272,649,0.7143485915492958,96,34,"{""numeric_robust_z:bottleneck_overlap_fraction"": 18, ""numeric_robust_z:critical_overlap_fraction"": 549, ""numeric_robust_z:is_fallback"": 96, ""numeric_robust_z:origin_family_count"": 9, ""numeric_robust_z:origin_rule_count"": 28}"
CF_level,CF2,2272,578,0.7455985915492958,96,26,"{""numeric_robust_z:bottleneck_overlap_fraction"": 18, ""numeric_robust_z:critical_overlap_fraction"": 482, ""numeric_robust_z:is_fallback"": 96, ""numeric_robust_z:origin_family_count"": 15, ""numeric_robust_z:origin_rule_count"": 28}"
CF_level,CF3,2265,665,0.7064017660044151,96,25,"{""numeric_robust_z:bottleneck_overlap_fraction"": 32, ""numeric_robust_z:critical_overlap_fraction"": 557, ""numeric_robust_z:is_fallback"": 96, ""numeric_robust_z:origin_family_count"": 10, ""numeric_robust_z:origin_rule_count"": 36}"
search_stage,0-20%,1708,490,0.7131147540983607,72,22,"{""numeric_robust_z:bottleneck_overlap_fraction"": 16, ""numeric_robust_z:critical_overlap_fraction"": 423, ""numeric_robust_z:is_fallback"": 72, ""numeric_robust_z:origin_family_count"": 7, ""numeric_robust_z:origin_rule_count"": 17}"
search_stage,20-40%,855,258,0.6982456140350877,36,13,"{""numeric_robust_z:bottleneck_overlap_fraction"": 16, ""numeric_robust_z:critical_overlap_fraction"": 225, ""numeric_robust_z:is_fallback"": 36, ""numeric_robust_z:origin_family_count"": 4, ""numeric_robust_z:origin_rule_count"": 9}"
search_stage,40-60%,1691,447,0.735659373151981,72,20,"{""numeric_robust_z:bottleneck_overlap_fraction"": 17, ""numeric_robust_z:critical_overlap_fraction"": 356, ""numeric_robust_z:is_fallback"": 72, ""numeric_robust_z:origin_family_count"": 10, ""numeric_robust_z:origin_rule_count"": 33}"
search_stage,60-80%,848,232,0.7264150943396226,36,11,"{""numeric_robust_z:bottleneck_overlap_fraction"": 5, ""numeric_robust_z:critical_overlap_fraction"": 193, ""numeric_robust_z:is_fallback"": 36, ""numeric_robust_z:origin_family_count"": 3, ""numeric_robust_z:origin_rule_count"": 13}"
search_stage,80-100%,1707,465,0.7275922671353251,72,19,"{""numeric_robust_z:bottleneck_overlap_fraction"": 14, ""numeric_robust_z:critical_overlap_fraction"": 391, ""numeric_robust_z:is_fallback"": 72, ""numeric_robust_z:origin_family_count"": 10, ""numeric_robust_z:origin_rule_count"": 20}"
origin_family,LOCAL_PERTURBATION,1152,192,0.8333333333333334,28,5,"{""numeric_robust_z:bottleneck_overlap_fraction"": 9, ""numeric_robust_z:critical_overlap_fraction"": 189}"
origin_family,MATCHED_RANDOM,864,144,0.8333333333333334,16,4,"{""numeric_robust_z:bottleneck_overlap_fraction"": 7, ""numeric_robust_z:critical_overlap_fraction"": 141}"
origin_family,ORIGINAL_OPERATOR,2016,823,0.591765873015873,81,30,"{""numeric_robust_z:bottleneck_overlap_fraction"": 31, ""numeric_robust_z:critical_overlap_fraction"": 579, ""numeric_robust_z:is_fallback"": 288, ""numeric_robust_z:origin_family_count"": 34, ""numeric_robust_z:origin_rule_count"": 34}"
origin_family,RELATED_VARIANT,1051,243,0.768791627021884,41,9,"{""numeric_robust_z:bottleneck_overlap_fraction"": 6, ""numeric_robust_z:critical_overlap_fraction"": 193, ""numeric_robust_z:origin_rule_count"": 56}"
origin_family,STRUCTURED_NEAR_NEIGHBOR,1726,490,0.7161066048667439,122,37,"{""numeric_robust_z:bottleneck_overlap_fraction"": 15, ""numeric_robust_z:critical_overlap_fraction"": 486, ""numeric_robust_z:origin_rule_count"": 2}"
selected_winner,False,6521,1807,0.7228952614629658,0,0,"{""numeric_robust_z:bottleneck_overlap_fraction"": 68, ""numeric_robust_z:critical_overlap_fraction"": 1508, ""numeric_robust_z:is_fallback"": 286, ""numeric_robust_z:origin_family_count"": 34, ""numeric_robust_z:origin_rule_count"": 88}"
selected_winner,True,288,85,0.7048611111111112,288,85,"{""numeric_robust_z:critical_overlap_fraction"": 80, ""numeric_robust_z:is_fallback"": 2, ""numeric_robust_z:origin_rule_count"": 4}"
