model_family,p_min,lcb_lambda,delta_min,interventions,selected_lift,selected_lift_lcb,selected_lift_ucb,selection_regret,selected_winner_ece,scale_S_lift,scale_M_lift,scale_L_lift,scale_S_interventions,scale_M_interventions,scale_L_interventions,nonfallback_pass,probability_pass,lower_bound_pass,support_pass,immediate_harm_pass,coverage_pass,forced_abstention,retained
M1_SCORE_FREE_SELECTIVE_RISK,0.55,0.5,0.0,0,0.0,0.0,0.0,0.041381928543564005,0.09080883777803844,0.0,0.0,0.0,0,0,0,286,14,0,288,84,False,"{""L"": {""count"": 96, ""exception_pass"": false, ""upper_confidence_bound"": 0.020973761138156383}, ""M"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.012302365855701982}, ""S"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.014091850080487097}}",False
M1_SCORE_FREE_SELECTIVE_RISK,0.55,0.5,0.0025,0,0.0,0.0,0.0,0.041381928543564005,0.09080883777803844,0.0,0.0,0.0,0,0,0,286,14,0,288,84,False,"{""L"": {""count"": 96, ""exception_pass"": false, ""upper_confidence_bound"": 0.020973761138156383}, ""M"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.012302365855701982}, ""S"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.014091850080487097}}",False
M1_SCORE_FREE_SELECTIVE_RISK,0.55,0.5,0.005,0,0.0,0.0,0.0,0.041381928543564005,0.09080883777803844,0.0,0.0,0.0,0,0,0,286,14,0,288,84,False,"{""L"": {""count"": 96, ""exception_pass"": false, ""upper_confidence_bound"": 0.020973761138156383}, ""M"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.012302365855701982}, ""S"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.014091850080487097}}",False
M1_SCORE_FREE_SELECTIVE_RISK,0.55,1.0,0.0,0,0.0,0.0,0.0,0.041381928543564005,0.09080883777803844,0.0,0.0,0.0,0,0,0,286,14,0,288,84,False,"{""L"": {""count"": 96, ""exception_pass"": false, ""upper_confidence_bound"": 0.020973761138156383}, ""M"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.012302365855701982}, ""S"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.014091850080487097}}",False
M1_SCORE_FREE_SELECTIVE_RISK,0.55,1.0,0.0025,0,0.0,0.0,0.0,0.041381928543564005,0.09080883777803844,0.0,0.0,0.0,0,0,0,286,14,0,288,84,False,"{""L"": {""count"": 96, ""exception_pass"": false, ""upper_confidence_bound"": 0.020973761138156383}, ""M"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.012302365855701982}, ""S"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.014091850080487097}}",False
M1_SCORE_FREE_SELECTIVE_RISK,0.55,1.0,0.005,0,0.0,0.0,0.0,0.041381928543564005,0.09080883777803844,0.0,0.0,0.0,0,0,0,286,14,0,288,84,False,"{""L"": {""count"": 96, ""exception_pass"": false, ""upper_confidence_bound"": 0.020973761138156383}, ""M"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.012302365855701982}, ""S"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.014091850080487097}}",False
M1_SCORE_FREE_SELECTIVE_RISK,0.65,0.5,0.0,0,0.0,0.0,0.0,0.041381928543564005,0.09080883777803844,0.0,0.0,0.0,0,0,0,286,0,0,288,84,False,"{""L"": {""count"": 96, ""exception_pass"": false, ""upper_confidence_bound"": 0.020973761138156383}, ""M"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.012302365855701982}, ""S"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.014091850080487097}}",False
M1_SCORE_FREE_SELECTIVE_RISK,0.65,0.5,0.0025,0,0.0,0.0,0.0,0.041381928543564005,0.09080883777803844,0.0,0.0,0.0,0,0,0,286,0,0,288,84,False,"{""L"": {""count"": 96, ""exception_pass"": false, ""upper_confidence_bound"": 0.020973761138156383}, ""M"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.012302365855701982}, ""S"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.014091850080487097}}",False
M1_SCORE_FREE_SELECTIVE_RISK,0.65,0.5,0.005,0,0.0,0.0,0.0,0.041381928543564005,0.09080883777803844,0.0,0.0,0.0,0,0,0,286,0,0,288,84,False,"{""L"": {""count"": 96, ""exception_pass"": false, ""upper_confidence_bound"": 0.020973761138156383}, ""M"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.012302365855701982}, ""S"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.014091850080487097}}",False
M1_SCORE_FREE_SELECTIVE_RISK,0.65,1.0,0.0,0,0.0,0.0,0.0,0.041381928543564005,0.09080883777803844,0.0,0.0,0.0,0,0,0,286,0,0,288,84,False,"{""L"": {""count"": 96, ""exception_pass"": false, ""upper_confidence_bound"": 0.020973761138156383}, ""M"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.012302365855701982}, ""S"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.014091850080487097}}",False
M1_SCORE_FREE_SELECTIVE_RISK,0.65,1.0,0.0025,0,0.0,0.0,0.0,0.041381928543564005,0.09080883777803844,0.0,0.0,0.0,0,0,0,286,0,0,288,84,False,"{""L"": {""count"": 96, ""exception_pass"": false, ""upper_confidence_bound"": 0.020973761138156383}, ""M"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.012302365855701982}, ""S"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.014091850080487097}}",False
M1_SCORE_FREE_SELECTIVE_RISK,0.65,1.0,0.005,0,0.0,0.0,0.0,0.041381928543564005,0.09080883777803844,0.0,0.0,0.0,0,0,0,286,0,0,288,84,False,"{""L"": {""count"": 96, ""exception_pass"": false, ""upper_confidence_bound"": 0.020973761138156383}, ""M"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.012302365855701982}, ""S"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.014091850080487097}}",False
M1_SCORE_FREE_SELECTIVE_RISK,0.75,0.5,0.0,0,0.0,0.0,0.0,0.041381928543564005,0.09080883777803844,0.0,0.0,0.0,0,0,0,286,0,0,288,84,False,"{""L"": {""count"": 96, ""exception_pass"": false, ""upper_confidence_bound"": 0.020973761138156383}, ""M"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.012302365855701982}, ""S"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.014091850080487097}}",False
M1_SCORE_FREE_SELECTIVE_RISK,0.75,0.5,0.0025,0,0.0,0.0,0.0,0.041381928543564005,0.09080883777803844,0.0,0.0,0.0,0,0,0,286,0,0,288,84,False,"{""L"": {""count"": 96, ""exception_pass"": false, ""upper_confidence_bound"": 0.020973761138156383}, ""M"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.012302365855701982}, ""S"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.014091850080487097}}",False
M1_SCORE_FREE_SELECTIVE_RISK,0.75,0.5,0.005,0,0.0,0.0,0.0,0.041381928543564005,0.09080883777803844,0.0,0.0,0.0,0,0,0,286,0,0,288,84,False,"{""L"": {""count"": 96, ""exception_pass"": false, ""upper_confidence_bound"": 0.020973761138156383}, ""M"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.012302365855701982}, ""S"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.014091850080487097}}",False
M1_SCORE_FREE_SELECTIVE_RISK,0.75,1.0,0.0,0,0.0,0.0,0.0,0.041381928543564005,0.09080883777803844,0.0,0.0,0.0,0,0,0,286,0,0,288,84,False,"{""L"": {""count"": 96, ""exception_pass"": false, ""upper_confidence_bound"": 0.020973761138156383}, ""M"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.012302365855701982}, ""S"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.014091850080487097}}",False
M1_SCORE_FREE_SELECTIVE_RISK,0.75,1.0,0.0025,0,0.0,0.0,0.0,0.041381928543564005,0.09080883777803844,0.0,0.0,0.0,0,0,0,286,0,0,288,84,False,"{""L"": {""count"": 96, ""exception_pass"": false, ""upper_confidence_bound"": 0.020973761138156383}, ""M"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.012302365855701982}, ""S"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.014091850080487097}}",False
M1_SCORE_FREE_SELECTIVE_RISK,0.75,1.0,0.005,0,0.0,0.0,0.0,0.041381928543564005,0.09080883777803844,0.0,0.0,0.0,0,0,0,286,0,0,288,84,False,"{""L"": {""count"": 96, ""exception_pass"": false, ""upper_confidence_bound"": 0.020973761138156383}, ""M"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.012302365855701982}, ""S"": {""count"": 95, ""exception_pass"": false, ""upper_confidence_bound"": 0.014091850080487097}}",False
